asin	title	reviewer_id	reviewer_name	review_text	rating	summary	review_date	total_votes	helpful_votes	unhelpful_votes
1419838830	V for Vendetta Special Edition	A3QS1TJII26K9J	18thstreetstyle	An excellent and realistic film depicting many relevancies to our own lifestyle and the world we choose to believe in.	5.0	Changes your thinking..	2012-04-04	1	0	1
1419838830	V for Vendetta Special Edition	AKPTTY5WRXVF5	A. Almoyan	Great movie! Perfectly done by the brothers themselves. One thing I did notice was the quality, which was great don't get me wrong but it felt like I'd seen better for a bluray I couldn't put my finger on it.	4.0	Wow!	2009-05-04	4	0	4
1419838830	V for Vendetta Special Edition	A1K5JFHVT3YUO	"Aaron McGuffin ""Tuco"""	"Disc review:I ordered this bluray in used condition thinking the package might be scuffed up some but it wasn't. The bluray itself is excellent condition and I'm happy I bought it used. I have it on HD-DVD but instead of whipping on my HD-DVD external drive for my Xbox 360 I wanted to use my PS3 instead. It was easier to buy this used on amazon than to use Warner Bros. trade-in for blu program (and about the same price if not cheaper.)Movie review:V for Vendetta has been probably one of the most influential films in the past 10 years. It has a very ""anti-government"" theme that resonates with many people; conservatives and liberals alike. Released during the second George W. Bush administration, this movie depicts the fascist state that England becomes if the Nazis had won WWII. It stars Hugo Weaving as the shadowy avenger known only as ""V"" and Natalie Portman who plays news reporter Evey Hammond. Evey and V meet when Evey is attacked by some of the state's henchmen. If you've already seen the film you know the rest and if not.........watch it! You won't regret it. ;-)"	5.0	The movie I wanted at a damn good price	2011-07-28	1	0	1
1419838830	V for Vendetta Special Edition	A25TM6Q7ROIR0Y	ABC317	Truly a great movie!  I do not believe it did the best in reviews, but I highly recommend you checking it out at least once to judge for yourself!!	5.0	Great Movie!	2013-11-16	1	0	1
1419838830	V for Vendetta Special Edition	A35IX45KGV789	ABC	The movie was good. But the DVD full screen edition was 4:3 scale. Not the 16:9 scale that I was looking for.It did not described 4:3 scale full screen. Otherwise, I would just get the widescreen edition.	3.0	V for Vendetta (Full Screen Edition)	2012-11-29	2	0	2
1419838830	V for Vendetta Special Edition	A3HQXFLZ6WI70Q	Abdul Fazrul	Bluray review: awesome video, awesome audio. It's really impressive how orchestral music can invoke so much emotion and bring tears to the eyes.Movie review: It's an awesome movie.	5.0	Awesome bluray	2010-12-12	2	1	1
1419838830	V for Vendetta Special Edition	A1JHN38KHO1LVO	Abdulrahman A.	So many ppl told me to see this movie and it worth it I really enjoy seeing this movie.You all should see it right now! If you didn't	4.0	really awesome movie	2014-02-18	1	0	1
1419838830	V for Vendetta Special Edition	A32JKNQ6BABMQ2	"abe ""starman"""	"this movie borrows heavily from the george orwell classic ""1984"".the guy from ""1984"" is even in it.its all about this guy in a ""funky french guy meets the joker"" mask who uses terrorist methods to try and overthrow big brother.before you blow a gasket over the word ""terrorist"",hes not a kamikaze psycho in a turban hes more I.R.A. like.in other words hes fighting the good fight.this guy also has some sort of super powers they never really explain.he can dodge bullets like they do in ""the matrix"" and is super fast like ""spider man"".he is really good with a knife also.the chick in this movie is padme from star wars:episode 1-2 and 3.this movie combines elements of action,politics,sci fi and drama.it also has a ""violent opera"" feel to it like ""a clockwork orange"".its a really good sleeper film that wasnt hyped relentlessly while i was trying to watch wrestling but still delivered.so that was cool.this movie is good and  should see it!"	4.0	the 1984 of our time	2006-09-22	13	0	13
1419838830	V for Vendetta Special Edition	A3K6PX8WOWGI43	"A. Castro ""SPBTT"""	well, after watching this film for the first time, i didnt catch the idea of it, but after a second and third time, this film has become one of my all time favorites, its of course the history that makes us what we are and everything is connected with other things so i would not spoil the film, if you havent seen it go and rent it or buy it its worth every penny and a nice addition to a dvd collectionVi Veri Veniversum Vivus Vici	5.0	Remember, Remember the 5th of November Forever	2006-07-30	8	4	4
1419838830	V for Vendetta Special Edition	AJUFIGATSP9AQ	"A Customer ""film historian"""	With the feel of the graphic novel the film looks fantastic and has a story to match. I have watched it 5 times and it feels fresh! 5.1 sound is strong in dolbyhd as pic looks great. Review and screening on the 5th of November on Sony Denon Energy	5.0	Guy Fawkes Day Sci-Fi Wachowski Drama	2009-11-06	0	0	0
