asin	title	reviewer_id	reviewer_name	review_text	rating	summary	review_date	total_votes	helpful_votes	unhelpful_votes
B0002IQJ8W	Mean Girls (Widescreen Edition)	A2VAC9N76HJXBU		"don't get me wrong, i thought this was a brilliant movie and i really enjoyed the dvd extras. It was knocked down to three stars because there is no acknowledgement for the movies prior to this taht made this one possible. The entire arc for this story is based on Heathers. Tina Fey essentially said that although she had several anecdotes from ""Queen Bees and wannabes"" there was no storyline. The one of her choosing is remarkably similar to Heathers. The Plastics aka the Heathers ....so fetch aka so very....the nice girl turned evil aka Veronica(winona ryder's character). I'm not taking anything away from mean girls because it is important that younger generations get this message that the cast and crew of Heathers delivered in the 80's, but please give credit where it is due. If clueless can credit Emma and 10 things I hate about you can credit the taming of the shrew then there is absolutely no reason why mean girls should not credit Heathers, especially when the entire dak/satirical theme is borrowed from that movie with significantly less bravery ..just check the cutesy disneyfied ending!"	3.0	owes it's lifeblood to heathers	2005-09-06	0	0	0
B0002IQJ8W	Mean Girls (Widescreen Edition)	AGHWYL3EEN9QU		Don't judge a DVD by it's cover. It may look like the drama-ish, happy ending movies that Hilary Duff is in, but believe me, this is gold. It's so funny, you'll want to watch it over and over and over again. And guys will like it too. So, buy it. It's funny.	4.0	XOMG, I actually like it	2005-08-07	0	0	0
B0002IQJ8W	Mean Girls (Widescreen Edition)	A2ZHDCYYP1PL2K		"For all of you thirty-somethings out there who grew up on John Hughes' pitch-perfect illustrations of teen angst, ""Mean Girls"" will serve as a welcome breath of fresh air to all those leaden, overwrought, ridiculous versions of what it means to be a teenager showing on the WB. There has been a small number of films in recent years (""Clueless"" and ""Saved!"" come immediately to mind), that are nicely filling in the gap left when Hughes' brat packers became too old to be playing high schoolers (though actually they were too old to be playing high schoolers even back then). ""Mean Girls"" makes great points but veers away from ever taking itself too seriously. It treats teenagers and their problems with enough gravity to make us care but isn't afraid to make fun of them a little bit too...And come on, when we look back on our teenage years, don't we have to admit that what we thought were problems then were actually pretty lame?Lindsay Lohan has the makings of a big star if she handles her career carefully. She's adorable, with a natural screen presence that overpowers whoever she's on screen with. I'm looking forward to seeing what she does with herself in the next few years.See ""Mean Girls."" It's a blast, and I'm sure you'll enjoy it.Grade: A"	4.0	John Hughes Lives!	2005-06-07	0	0	0
B0002IQJ8W	Mean Girls (Widescreen Edition)	A1IZGGQ6HM8ATF		If this isn't the most wonderful motion picture that was ever made, then I don't know what is. It is absolutely spectacular. I fell for it so hard that I broke every bone in my body. Overall, Mean Girls is a spectacular movie that totally rocks! Get it? Bones? Rocks? Rocks break bones.	5.0	It's adorable,  it's fetch, it's grool, it's... it's... it's.... a blast!	2005-09-17	0	0	0
B0002IQJ8W	Mean Girls (Widescreen Edition)	A1G5SDPKGQSC4A		I honestly didn't think that Mean Girls was a mean movie at all. In fact, it leans very much towards the opposite. For those who believe otherwise, just remember... it could be worse.	5.0	not mean...	2005-09-17	0	0	0
B0002IQJ8W	Mean Girls (Widescreen Edition)	A27IIAAZMGI5TC		"In my opinion the plastics are very mean girls because of the things that they do to their fellow peers and because they are two-faced.  On the other hand they are nice when they want something there way.I had previously viewed this movie in the theaters when I was with the Kodiak High School Softball team in Anchorage.  Having the team view it with me made it ten times as funny as it actually was, not saying that the movie wasn't funny.  Then going and viewing it alone didn't make for as many laughs.  Here is a quote about Mean girls according to Roger Ebert, ""In a wasteland of dumb movies about teenagers, ""Mean Girls"" is a smart and funny one. It even contains some wisdom, although I hesitate to mention that lest I scare off its target audience. The TV ads, which show Lindsay Lohan landing ass over teakettle in a garbage can, are probably right on the money; since that scene is nothing at all like the rest of the movie, was it filmed specifically to use in the commercials?""Throughout this essay I will be referring to Regina George (Rachel McAdams), Gretchen Wieners (Lacey Chabert), and Karen Smith (Amanda Seyfried) as the ""Plastics"".  They are referred to by this name because of their popularity at their school and how they appeared to be so flawless. Cady Heron (Lindsay Lohan) eventually becomes apart of the ""plastics"".  Two- faced is also another term that is used which means, ""Marked by deliberate deceptiveness especially by pretending one set of feelings and acting under the influence ofanother"", according to Dictionary.com.  In other words it is having split personality (acting one way with one person and another way to a different person).The ""plastics"" tend to be very foul to their peers, for example they started a book known as the ""Burn Book"", which has many hateful things written about fellow classmates and teachers.  The book was then copied by Regina George and had the pages thrown in the school hallways.  This in turn started a lot of chaos and stress among everyone.  Regena got upset one time because one of her friends liked a guy that was at the mall with a new girl.  So to get back at him she called the mother of the girl and said that she was someone from planned parent hood and her test results were in.  So the girl ended up not being able to see him anymore.All of the plastics are two faced, but mostly Regina George.  For example Cady started liking Regina's ex-boyfriend, which in turn made Regina mad, yet Cady was told by Regina that it was okay to like him.  But to gain revenge Regina kissed him in front of Cady just to make her angry and then ended up dating him again.  Many times the girls would complement someone's outfit, then go and say how last season or ugly it was behind their backs. I thought that it was a way of feeling better about them selves.  One of the things that I found to be truly funny was when Cady gave Regina George a so called, ""Weight loss bar,"" that was written in Swedish.  The bars were actually what her parents gave to starving kids in Africa to help them gain weight.  She ended up having trouble fitting into her dress she wanted to wear for prom and had to wear a larger size.There were a few times when the ""plastics"" were nice, for example when they met Cady, but in some ways it still wasn't so nice even though they did ""allow"" her to hang out with them. The only way that she could continue hanging out with the ""plastics"" was by following their rules.  For example you wear pink on certain day and you are only allowed to wear your hair in a pony one day a week.  Regina then became much nicer after being hit with the bus, just because everyone felt so bad for her and she just felt so ugly.If I was someone at a high school that had girls like this, I would want nothing to do with them considering chances are they would just bring you down with them.  Yet high school isn't as fun when you're the one being made fun of."	4.0	Teenagers Life	2005-12-14	0	0	0
B0002IQJ8W	Mean Girls (Widescreen Edition)	A2JB39S46LF48L		I think the movie shows behavior of girls. Watch the movie is fun with as it as, but I advise to watchi the movie as hear to comments of playwritght,producer and director. They talk about inside story of production and mistakes. I think of interesting to we can hear the setting about supporting actors. And we can hear abut casts, and wecanlookrealfaces of disgusting character and interesting to know about why the casts was chosen the movie character. I recommend, first watch the normal, then watch the movie as hear comments by assistant voice of them.	4.0	I enjoy watching the movie	2005-09-13	0	0	0
B0002IQJ8W	Mean Girls (Widescreen Edition)	A36N91XVBALICN		"I went into this movie expecting to despise it because of preconceived notions of what a ""bad"" actress Lindsay Lohan is.  However, despite its too-obious jokes and ""teeny-bopper"" stigma, I found myself enjoying the movie.  I really liked it not so much because of the actors, but the ways that I can relate to the story.  As a recent graduate of High School, I see myself and my classmates in the characters.  I wanted to cry when all the ""unpopular"" girls praised the Plastics.  To them, the popular Plastics could do no wrong.  They were infallible.  When I was younger, I believed that in order to be happy, you had to dress a certain way and had to have a ""don't care"" attitude.  I've matured in the past few years, and I now realize that there is a bigger world beyond the witchiness and hypocrisy of High School.  Mean Girls shows how easy it is to get caught up in the hype of popularity.  To those young girls out there who liked this movie for the ever-popular Lohan, look deeper.  The truth will stare you in the eyes."	5.0	Not your average teen flick!	2005-07-10	0	0	0
B0002IQJ8W	Mean Girls (Widescreen Edition)	A1WL2EKE4TAEJP		"Just seeing the previews of this movie, I kinda shrugged it off as a typical crappy teen movie that's been released over recent years. The comments I've heard were mostly the same: ""It was a funny movie."" Hmm... okay, so it's funny. Sadly I would have to wait until its video release.The movie seemed quite popular. And it seemed to make Lindsay Lohan more popular than ever. So it came time for me to finally watch it and judge for myself. To my surprise, the movie was quite funny. No... make that: freaking hilarious. Never before had I laughed out loud so hard. It's been a very long time since a movie has done that to me. It's not the gross-out or sexual humor that seems to plague recent teen comedies (or just regular comedies in general). Well... there's still some sexual humor, but even that made me laugh harder.""The Plastics"" rule the school, and Lindsay's character, Cady, finds a hard time fitting in with not just high school, but public schooling. Cady grew up in Africa and was home-schooled, so the culture she grew up with doesn't apply so much with a normal high school. She's more of a foreigner here. Eventually she finds a small group of friends, but only later on does she get caught up in the wrong group. Enter the ""Plastics."" She was good friends with them... until one of them hurt Cady... y'know, emotionally. Then the name-calling, rumor-spreading ensues, and other mischevious sinister acts occur.The screenplay is written by SNL member Tina Fey (who plays Cady's math teacher here). Although extremely funny, the movie contains the same ""kiss-and-make-up"" formula that's seen in just about every other teen movie. But the humor nonetheless is enough to keep you laughing.The movie made Lindsay Lohan one of the biggest celebrities around, but I get the feeling that Lindsay's personality changed because of this movie. What happened to the tomboy-ish, ""punky"" chick we all saw in ""Freaky Friday"" and before? Like how Cady changed in this movie, Lindsay herself seemed to have changed... oh well, ""Mean Girls"" is an entertaining movie."	4.0	Hmm... funny flick	2004-12-01	0	0	0
B0002IQJ8W	Mean Girls (Widescreen Edition)	A3AULUO1X4XON7		"Let's get one thing straight here - I am by no means a fan of Miss Lohan. Her tabloid exploits and her so-so recording career totally put me off. A friend suggested we rent this movie, and I must say I enjoyed it so much I went out and bought a copy. All credit must surely go to Saturday Night Live alum Tina Fey. Her script is just incredibly funny. One of the best teen movies I have ever seen. It ranks with Sixteen Candles, Fast Times at Ridgemont High and Clueless, all classics of the genre. Without rambling on about the plot particulars, this film basically portrays an outsider's entry into the ""inside"" clique of a particularly nasty and bitchy group of popular girls. Lohan herself has impecable comic timing, the direction is spot on, and the ending is quite  touching and  even though it almost falls into cliche ( the outsider learning that the ""inside"" isn't what it seems to be) it works rather well. This is one of those rare movies I can proudly call a very pleasant surprise. Highly recommended."	4.0	a very pleasant surprise	2005-07-31	0	0	0
