asin	title	reviewer_id	reviewer_name	review_text	rating	summary	review_date	total_votes	helpful_votes	unhelpful_votes
B000A3XY5A	Crash (Widescreen Edition)	A3EE0H0NWQ9QVL	"&#34;Rocky Raccoon&#34; ""Hey, Doc, It's Only ..."	"""Crash"" is a clever and groundbreaking movie.  The story takes place in Los Angeles and weaves several situations involving prejudice and anguish; each character is usually portrayed as a victim and a villain at the same time. The movie seamlessly takes all of these people with their diverse backgrounds and their situations and brings them together so skillfully that any criticism of the movie being ""contrived"" seems provincial.  To reflect on any of the scenarios is unnecessary and perhaps a spoiler, for this movie is meant to be savored.  The acting is realistic; the action is riveting; and the story is marvelous.At the risk of damning with faint praise, I knew upon seeing this DVD, that it would win an Oscar for best film editing, but it obviously has more assets going for it than that.  After seeing essential films like ""Mississippi Burning,"" I felt that ""Crash"" has filled a need:  It correctly diagnosis our societal ills, but it also provides us with a way out of our human condition.  It transcends it by showing us our better angels, and it does so in a way that is plausible and not at all sentimental.  However, this film is no mere sociology class; it is fine entertainment.  It is entertainment which provides anguish and catharsis, which is what the best entertainment does.Perennial commentary has been fixated upon the Oscars.  While ""Brokeback Mountain"" was groomed to win Best Picture, it was a matter of choosing between apples and oranges. (By the way, I want the reader to know that I don't think you are ""phobic"" if you prefer ""Crash"" to ""Brokeback Mountain,"" and I am mortified by those who do.  It is a rash judgment, and rash judgments are what ""Crash"" is all about. ""BBM"" fans should see this film without prejudice and vice-versa.)  (I also predicted that the picture that won Best Oscar would be regarded like ""Ordinary People"" of 1980, and the loser like ""Raging Bull"".  There is such loyalty for each movie and great merits for both.)"	5.0	Can't We All Get Along?	2006-04-08	10	4	6
B000A3XY5A	Crash (Widescreen Edition)	A3EPQPSN9D9KYG	"A. A. Arnold ""A. A. Arnold"""	This movie shows how someone in authority or otherwise should always treat people likeyou want to be treated.  Never know what will happen in a day in this world.	4.0	Liked	2013-03-14	1	1	0
B000A3XY5A	Crash (Widescreen Edition)	A35R8PJSEURHHF	Aaron Merkel	The movie was interesting to watch, but I think only a small portion of the population is this racist, I mean, seriously. It was also annoying to see how a person's attitude changed unbelievably from the beginning of the movie to the end. There wasn't any real conclusion either. We just get a glimpse into the lives of these people and that's it, no ending.	2.0	Ugh, ok, whatever	2005-09-26	16	5	11
B000A3XY5A	Crash (Widescreen Edition)	A1NF0VC2R7S62O	"Aaron R. Soriao ""The Shady-1"""	"Too contrived? Too forced?  Too much racism in the movie?  This movie has a purpose...to either piss you off because you probably represent fully one of the characaters there or to enlighten you about what modern society really is...I think few people are just apalled at this movie because they hate to admit ""closet racism"" still exists today.  Do you expect every movie that deals with race to come out with an expected clean resolution?  Sorry but that's not how it is all the time."	5.0	A Powerful American Film	2005-09-28	7	4	3
B000A3XY5A	Crash (Widescreen Edition)	A1FD7KN5K0FHFM	ABHISHEK	For people who see everything in black and white this movie is a great eye opener. Throughout the world there are things more than just black and white; there are several shades of grey too.	5.0	Invigorating	2013-10-19	0	0	0
B000A3XY5A	Crash (Widescreen Edition)	A1IEIWUCTWZ59M	A. Brown	This is the most preachy after-school special type film ever made. Every second is pounding racsim into your brain. The characters say things nobody in real life would say. The white characters are all evil villains. For example, Sandra Bullock plays a selfish white woman who falls down the stairs and is suddenly cured of her racism. What a joke! The dialogue in this film is some of the worst in history and Sandra Bullock's performance is a laughing stock.Contrived plots and highly unlikely occurances all combine to make a total failure of a motion picture. This was named best picture at the Oscars just to keep the better movie Brokeback Mountain from winning. The conservative members of the academy couldn't deal with that film's subject matter so they named this best picture because everyone is against racism (or at least they pretend to be); however most people can agree to discriminate against gay people. It's very sad that America hasn't come any further in the struggle for freedom for all! If you buy this dvd, you deserve to lose your money! If you watch it, you will never get those 2 wasted hours back! Think about it!	1.0	One of the Worst Films in History!	2006-03-07	42	21	21
B000A3XY5A	Crash (Widescreen Edition)	AOVTMX3S6MV4M	ACERIDE	If you live in Los Angeles you can definitely relate to this movie, if you don't live in Los Angeles, it will probably make you afraid to visit the &#34;City of Angels&#34;. Everything you see in the movie really happens in this City at some point, although residents do not see it on a daily basis. Great movie, almost a documentary of the City, and it's all real.	4.0	A must see for L.A. residents	2013-02-24	0	0	0
B000A3XY5A	Crash (Widescreen Edition)	A1VY688L9N9QXD	A. Chopra	Paul Haggis has touched a very sensitive subject of racism in America, but the movie is so well written and directed, that it will hardly make anyone upset. The movie is about people living in Los Angeles, coming from different races, and their everyday brush-up with racists including the LAPD cops. A must see, if you always thought that LA is all about Hollywood, skyscrapers, and cosmopolitan town. The movie is very intense, and gives you enough to think about reality in big cities of America.This movie is not about we all discuss and share with people, but about what we actually think and believe, which we never want even our best friends to know. All the actors have done an excellent job, and the dialogue delivery is brilliant. Very realistic! Deserves all the five stars.	5.0	Excellent - movie, story, acting and direction!	2006-02-15	20	15	5
B000A3XY5A	Crash (Widescreen Edition)	A39QNMNO0JJU0W	adam77	A man, whose a little on the goofy side, makes a deal with the devil. If Elizabeth Hurly was the devil, I think there'd be a lot of men wanting to go to hel	5.0	bedazzled	2013-02-10	0	0	0
B000A3XY5A	Crash (Widescreen Edition)	A3JXOXKWOIETIY	"Adam Bernstein ""sixtiesuniverse"""	Crash, the winner of the best picture Oscar is, put quite simply, worthless.  Basically some scenes thrown together of car crashes in LA and pretentious moralizing about racism.  The characters (read caracatures) intertwine on the freeways of LA over race.  A big step down for Don Cheadle whose excellent film Hotel Rwanda allowed his greatness as an actor to shine through.  Sandra Bullock is annoying in everything she does and this is no exception. Most of the others here portray throwaway characters in unrealistic situations.  Avoid this one like the plague.	1.0	Worthless	2006-03-19	55	33	22
B000A3XY5A	Crash (Widescreen Edition)	A2JJEGF8YLZF1I	Adam Heflin	This is without a doubt, the best movie of 2005. The acting was brilliant, the story was brilliant, the directing, it was all just simply put amazing. The story was the most amazing part of it, the way everything just kind of fits in together. I haven't seen a movie like this since 'Light It Up'. Just an amazing movie, check it out.	5.0	Amazing	2005-07-18	7	5	2
B000A3XY5A	Crash (Widescreen Edition)	A3BU0QJ5O7JFAB	"adgblue ""adgblue"""	"""Crash"" is a brilliant story conveyed through excellent acting about race relations set in current-day Los Angeles. The characters in the story don't hold back on racist stereotypes that we've all felt or have felt around us. Everyone is guilty and everyone is innocent. The moral of the story is: while we may have many differences, we're no different at the core of our being. We all fear, judge, and hate. But when we give ourselves the opportunity to shed our ignorance, we can understand, appreciate, and love."	5.0	Crash	2006-03-20	12	3	9
