asin	title	reviewer_id	reviewer_name	review_text	rating	summary	review_date	total_votes	helpful_votes	unhelpful_votes
B00005JLWN	Equilibrium	AI15GGDG1Z8TV	300BLK	Good flick. Not a special effects masterpiece by any means.  But overal a good cult action flick worthy of any collection	4.0	Cult thriller	2014-01-17	1	0	1
B00005JLWN	Equilibrium	A1A1WCAIEOBZCR	&#34;DoctorObvious&#34;	I bet the bad ratings on this site for this film were done by pharmaceutical companies and the government.  This is an excellent story with a cautionary tale of the endgame of statism and tyranny.  I've owned it for years on DVD still enjoy how well it was done.	5.0	Amazing story of dystopia that is now more credible than ever	2013-09-14	2	1	1
B00005JLWN	Equilibrium	A20UPV88I160S2	45cubs	i am not sure exactly what people found about this movie that would leave them with the impression this is worth watching.THIS IS A HORRIBLE MOVIE DO NOT WASTE YOUR TIME!!!!!! EMBARRASSINGLY STUPID,LOW-BUDGET SPECIAL EFFECTS.FELT LIKE WORK SITTING THROUGH THIS GARBAGE.NOT WORTH THE RENTAL PRICE.WHO WOULD BUY THIS CRAP TO KEEP?	1.0	what are you people watching?	2013-08-09	6	2	4
B00005JLWN	Equilibrium	A1PUV4XTMT14L3	"Aaron Demner ""FungusTrooper"""	For some reason, I love this movie. It's a dumb action movie, it's predictable, and the story isn't even that great - but I love it.The setting, the action, the stunts, the visuals.. all amazing. A great cast of actors really bring it to life, too.If you want to stop thinking and start being entertained, try Equilibrium.	5.0	My Favourite Movie	2013-03-06	1	0	1
B00005JLWN	Equilibrium	AGUFAWDQJZC4Z	Aaron	First off, I  would rate  Equilibrium as a 5 star film,  however  this review concerns the blu ray itself.  If you could even call it a blu ray.  Aspect ratio is cropped from 2.35  to 1.78 ( lame) and there is no multichannel HD  audio track.  Are you kidding me?!  Equilibrium is a great movie but this blu ray just doesn't do it justice.  Don't buy this.  Instead get the Miramax double feature of  Equilibrium  and  Renaissance.  The films  are compressed to fit on one single layer blu ray but at least it is done well with proper aspect.  It at least has DD  though I  would prefer at least DD+  or better yet DTHD or DTS-HD	1.0	Stereo?  Really?	2013-05-16	3	1	2
B00005JLWN	Equilibrium	A74V2EOSPDJ2O	Aaron Hines	The concept of this movie was very cool. Unfortunately the execution was pretty lame. Christian Bale was his usual lame self, boring and unemotional (though on some level, it's what the roll called for).	2.0	Not amazing, but okay...	2014-05-31	0	0	0
B00005JLWN	Equilibrium	A3W1O23RDWGLBX	Aaron Judy	Chritian Bale stars in this action film of little known around town.  Incredibly filmed. The cinematography and sound, yes sound are brilliant.  One of the best action films ever.  I have a copy in my video library.	5.0	Better than most action films.	2013-06-10	1	0	1
B00005JLWN	Equilibrium	A1POO8HA01AD96	Aaron Zambrano	This new blu-ray has horrid video encoding and audio mixes. There is another one on amazon that has the 5.1 Dolby Digital and true 2.35:1 aspect ratio. It still isn't the best (the japan release has the best audio mixes.) But it is better than this one.Equilibrium [Blu-ray] That's the one I got. It is the Canadian release done by Alliance(has double sided box art one in english one in french) and is actually good.	2.0	Get the other Blu-ray version	2011-05-21	16	14	2
B00005JLWN	Equilibrium	A2RBFF7VTDR7ZS	Abby	It is not often that moviegoers are given the opportunity to view an unforgettable Sci-fi flick such as Equilibrium. Most so- called &quot;Science Fiction&quot; flicks now days, aside from the classic star trek movies, are Hollywood simply trying to please a mass audience that seems to only respond to blood and gore and sex scenes. Equilibrium gives us true Sci-fi fans the feeling that we are reading a classic Ray Bradbury novel, complete with great characters, subject matter that leaves you pondering for days and not to mention some of the greatest action sequences ever put on the big screen. Not only do these action scenes entertain to no end, but they also boggle the mind with the amount of intelligence it must have taken to come up with the &quot;sword fighting with guns.&quot; WOW!	5.0	A Science Fiction Masterpiece	2003-07-14	0	0	0
B00005JLWN	Equilibrium	A3HQXFLZ6WI70Q	Abdul Fazrul	I don't like to write reviews about the movie itself. I purchase based on actors, directors, etc. I check out movie reviews from imdb if I am not sure. I only buy movies that I know I will enjoy (I enjoyed this movie but the movie feels like an 80s movie about the future). About the bluray itself: Awesome video and audio. No complaints.	4.0	Cool movie	2011-09-30	0	0	0
