asin	title	reviewer_id	reviewer_name	review_text	rating	summary	review_date	total_votes	helpful_votes	unhelpful_votes
B00005JOHI	Pride &amp; Prejudice	A2PYMGVA2FKJWP	1117	This movie is wonderful! The book is much better but this movie does it justice. It's based on a classic and it is great! I received it very quickly and in PERFECT condition! I was expecting a few scratches but it is perfect. The price for this movie is GREAT. its about twenty to thirty dollars at book stores or movie stores. I'm so glad I found it here. Thank You amazon!!	5.0	Loved it!!	2011-05-07	1	1	0
B00005JOHI	Pride &amp; Prejudice	A2L1HJV86BH9JQ	2Bookworms	"My wife loves this film and watches it over and over again. But if you can stand the wait you may want to hold off purchasing this movie until the Pride and Prejudice 2-disc Deluxe Gift Set is released on November 13, 2007. (Sources: DVD Times and DVD Active)Further Details:Universal Studios Home Video have announced the Region 1 DVD release of Pride and Prejudice (Deluxe Gift Set) on 13th November 2007 priced at $39.98 SRP.This two-disc set will also include the Original Soundtrack CD and a Collectible Book.Disc 1: Widescreen Main Feature2.35:1 Anamorphic WidescreenEnglish, French and Spanish DD5.1 SurroundEnglish SDH, French and Spanish subtitlesAudio Commentary with Direcor Joe WrightConversations with the CastJane Austen, Ahead of Her TimeA Bennet Family PortraitHBO First Look: Pride & PrejudiceDisc 2: Full Frame Main Feature1.33:1 Full FrameEnglish, French and Spanish DD5.1 SurroundEnglish SDH, French and Spanish subtitlesAudio Commentary with Director Joe WrightThe Politics of DatingThe Stately Homes of Pride & PrejudiceGalleries of the 19th CenturyPride & Prejudice Family TreePlease note that the ""new"" extra features that appear in this box set are actually the same as those found on the UK Region 2 DVD release."	5.0	2-Disc Deluxe Gift Set Coming Soon!	2007-08-23	6	4	2
B00005JOHI	Pride &amp; Prejudice	A3EE0H0NWQ9QVL	"&#34;Rocky Raccoon&#34; ""Hey, Doc, It's Only ..."	"There is a sweep and grandeur to ""Pride and Prejudice,"" which gives the movie an instant appeal.  Based on the Jane Austin classic, the scenes move forward at a brisk pace to keep our interest, but it is the portrayals that make the movie continually engaging.The Bennet family is of small means.  The father, and, particularly, the mother, are interested in seeking suitors for each of their five daughters.  Focus is primarily on Elizabeth (Keira Knightly), or ""Lizzie,"" the protagonist, who is treated like the ugly duckling of the five.  She is captivating for her wit and intelligence. We immediately have an affinity to her, for she never suffers fools gladly, and she has the brazenness to confront those of higher standing who may belittle her.  So, the situation is ripe when an aristocrat, Mr. Darcy (Matthew MacFadyed) and his friend, Mr. Bingley (Simon Woods), pay a visit to the household.  After some social invitations and gatherings, Mr. Bingley takes a fancy to Jane, her favored elder sister, but it provides opportunities for Lizzie to mingle with the seemingly cold and aloof, Mr. Darcy.  There are many instances when the two meet and work out their desires and distastes for one another.  He regards her as saucy; she finds  him to be arrogant.  Many partial disclosures of his past help to make a portrait of him that she increasingly detests.  There is a diversion when a guest suitor, Mr. Collins, a respectable and scrupulous moral figure, visits the household and forces his affections upon her.  There is also a key crisis when the youngest daughter is taken by a suitor in a situation that may be described as compromising.  Once affections are fully realized, Lizzie is confronted by Mr. Darcy's aunt, the indomitable Lady Catherine de Bourg (Judi[th] Dench).The new production of ""Pride and Prejudice"" has many merits.  The scenes unfold with a grace and movement that is instantly appealing.  Especially the dancing and mingling scenes are choreographed with finesse.  Similar British movies with great acclaim are sometimes tedious affairs, but this one is winning.  The characters, including the nervous mother, the affectionate father, and the likable Mr. Bingley, are exemplary draws.  The portrayals, especially by Knightly, MacFadyed, and Dench are enthralling.  The novel, which I confess I've never read, is probably followed closely--it would be hard to imagine otherwise--but I don't wish to put up pretenses or consult other reviews.  However, it is easy to appreciate the skillfulness that Austin uses through her mouthpiece, Elizabeth, to confront the attitudes and mores of the upper classes.  Maintaining her charm and dignity, she is able to answer to the impossible standards suitors make upon their chosen mistresses for courtship.  Like ""Lady Chatterly's Lover"" and ""Jude, the Obscure,"" which I have read, ""Pride and Prejudice"" overthrows the mores and conventions of aristocratic arrogance with style and skill.  The movie captures the spirit well."	5.0	To Be Savoured	2006-06-04	10	5	5
B00005JOHI	Pride &amp; Prejudice	AKFEKU1Z6D09N	"A. Ambridge ""Abundant Living"""	This is a sweeping romance that will leave you  almost breathless and wanting more of Elizabeth and Mr. Darcy!  This is one of my absolute favorite movies made after Jane Austin's classic tale.  The acting is superb and very moving.  It is a modern day take on a classic story.	5.0	Best movie of all time!	2014-01-29	0	0	0
B00005JOHI	Pride &amp; Prejudice	A120NC1SO8HM7X	"A. Amis ""the coquis that reads"""	Alright, so where do I begin?  Well, overall I thought this was a great movie which followed along with Austen's story quite well (in light of the time constraints which movies must adhere to).  I loved all the characters- each was true to the nature that Austen intended them for.  I thought the chemistry between Lizzie and Darcy was great, just enough romance but not too overpowering.  Clearly the people that made this movie read the story.  I only wish that the story continued on, alas Austen never wrote the sequel so I am kinda glad a second movie hasn't been made (it just wouldn't be the same).  I only gave this four stars because something was wanting, I just can't put my hand on what (possibly the ending scene- could have been better).  Anyhow, if you loved the book let me assure you, you'll like the movie, if not love it (I watched in three times the day it came out)!	4.0	lovable	2006-03-07	9	6	3
B00005JOHI	Pride &amp; Prejudice	A3FG7C7MN6BP0A	"Aaron Pilkington ""xpilky1"""	My wife made me go see it the first time and I was not very excited.  It actually turned out to be a great movie!	5.0	Great Movie	2006-08-13	9	4	5
B00005JOHI	Pride &amp; Prejudice	A2HWVNT4PVJ9UT	AberrantWolf	I really enjoyed this telling of the classic tale. Sure, if glosses over some parts as films must; but the setting and costumes looked so much more authentic than any other film I can recall which depicts life in this era. Plus it's just a classic story in general. Highly recommended.	5.0	Fantastic Film	2013-01-07	0	0	0
B00005JOHI	Pride &amp; Prejudice	A1OP06TJKSCLLI	"A Book Lover ""Carol"""	"This adaptation seems more like Emily Bronte than Jane Austen but it's one of the few films which have motivated me to go to a movie theater this year. I was surprised at how well Keira Knightley interpreted Elizabeth Bennett and though Matthew MacFadyen isn't as perfect as Colin Firth was as Fitzwilliam Darcy, this may just be ""prejudice"" on my part. Even my Anglophobe husband enjoyed this film but I think that it may be because of lovely Rosamund Pike who plays Jane Bennett. Donald Sutherland is a nice surprise as Mr. Bennett and Dame Judy Dench is magnificent as always in her role as Lady Catherine De Bourg. Go see it if only for the scenery and the feel of the Regency period. You won't be sorry."	5.0	Not Entirely True to the Book but Entrancing None the Less	2005-12-02	6	4	2
B00005JOHI	Pride &amp; Prejudice	A3N0X0HS0S6FPG	Acadia93	"While this is a decent version of the movie and I did buy a copy; it is really like owning the ""Cliff Notes"" version for evenings when I don't have time to see the whole spectacular movie that was by A&E; starring Colin Firth and Jennifer Erhle. The characters in this version, directed by Joe Wright are not well developed, you do not have a chance to fall in love and understand them. The portrayl and development of the rest of the Bennet family, aside from Elizabeth, is rushed and mediocre.  Elizabeth herself swings in her moods from giggly girl to proud woman; yet no constancy of character.  Mr Darcy (Macfadyen) is a saving grace in this film. His facial expressions and delivery save his character and he does the part justice.  You just wish for more scenes with Mr. Darcy.Overall, I like the movie for a dose of Pride & Prejudice on a night when I don't have time for the ""real thing"". But for those of you who really love the book and love this genre of film...treat yourself to the A&E;/BBC version.  You will not be disappointed."	3.0	Doesn't measure up to the A&E/BBC Version	2006-06-02	10	6	4
B00005JOHI	Pride &amp; Prejudice	A2GDEPPC8BAZRY	"A. Casalino ""V^^^^^V"""	"Once again, I have had the pleasure of finding one of Jane Austen's classic novels brought to the big screen -- and once more I couldn't fancy myself happier.  Ah- would that there were hundreds of such renderings!Jane Austen's PRIDE AND PREJUDICE is amongst all in the whole vast world of literature the dearest to my heart.  Therefore, even a version that deigns tamper with a decade-old perfection serves to excite my interest.  Indeed- for I was simply ecstatic when, in 1995, A&E; and the BBC collaborated to create a grand and brilliantly performed portrayal of that book.  At a length of nearly 6 hours, no aspect of this wonderful story had been neglected - and I knew that such a true commitment to the literature, combined with such passion for the tale, is a precious rarity in film. Now, years hence, that 1995 picture still resonates.  Comparisons are to be inevitable, no doubt.  I'd already been well reconciled to the fact that a two-hour version of the story, no matter how well done, could only suffer in the comparison to that A&E; production.  I therefore resolved to judge this movie by its own qualities -- And what fine qualities they turned out being!  Brilliantly directed by Joe Wright, this sensual and earthy interpretation just warms my soul.Keira Knightley takes on the role of our heroine: Elizabeth Bennet, the 2nd oldest of the five daughters of Mr. and Mrs. Bennet (Donald Sutherland and Brenda Blethyn).  Matthew MacFadyen plays our hero: Mr. Darcy, the handsome and aloof owner of a great estate in the north of England.  The two go down the dance, waltzing through misunderstanding and mischance - wit and romance, dexterously stepping along fine lines of social propriety and distinction of class, through rejection and redemption, conjuring the many diversions of country life in Regency England. Yes, we Janeites all know the story.The casting herein is essentially very agreeable.  Knightly is lovely and makes for a fine Elizabeth, and the camera adores her- though when Darcy finds her appearance only ""tolerable, but not handsome enough to tempt me,"" it strikes one as rather unbelievable.  She effortlessly captures Lizzy's wry spirit and spark of humor, though I must admit I found her a little bit wanting in that quiet depth or the brilliance of mind that role calls for.MacFadyen's take on Darcy is more dark and brooding than actors in the past have portrayed him.  And though I enjoyed watching him, I cannot say that he did very well in expressing the changes Mr. Darcy undergoes:  I did not see an aristocrat stuffed with pride, whose passion for Elizabeth blossoms as he becomes transformed by her spirited influence.  Rather, he just seems to convey the same brooding manner all along - and his only problem appears to be that he is misunderstood.As for the supporting players, I think Sutherland was excellent as the bemused Mr. Bennet - and his scene with Lizzy at the end was exquisitely drawn.  Blethyn played her part very well, too - her Mrs. Bennet was every bit as laughable and endearing as Austen wrote her.  Judi Dench was wonderfully formidable as Lady Catherine de Bourgh.  The roles of Mr. Collins, Jane Bennet, Mr. Bingley and Wickham were also excellently played.Visually, this film is just stunning.  I've rarely, if ever, seen more exquisite scenery in a movie. The camera work is mesmerizing.  The cinematography here is certainly Oscar-worthy.  I can even forgive the overly rusticated state (complete with chickens, pigs, & all manner of livestock traipsing throughout the house) of Longbourn, the Bennet family home.  This, in fact, only serves to give charm to this beautiful and totally unique rendition of a most beloved story."	5.0	Picturesque and Pleasing	2005-12-03	22	18	4
