asin	title	reviewer_id	reviewer_name	review_text	rating	summary	review_date	total_votes	helpful_votes	unhelpful_votes
0792833171	The Wizard of Oz	A33G35LUZPOCZA	0369	This product got to me very fast great company. Thank you so much for getting this to me before Christmas. This movie is my Mother-in-laws favorite and it was great to get it before she got here	5.0	Outstanding	2011-12-23	0	0	0
0792833171	The Wizard of Oz	AVM1Y0ZLXMKR0	"123 ""unappreciated scholar"""	Great movie- a true classic. Both adults and children enjoyed this film thoroughly! I'd forgotten how good this movie really is. A must.	5.0	Timeless	2014-02-10	0	0	0
0792833171	The Wizard of Oz	ASYLFJ5GNEA1D	18	I was ecstatic when my mom bought me this (>.&lt;) I just love the movie and the extra disc with its features were a perfect complement.	5.0	Two-Disc 70th Anniversary Edition	2012-06-21	1	0	1
0792833171	The Wizard of Oz	A1IWG16D1FD1GQ	1John 4:7-12	I was absolutely thrilled to see this movie in my mailbox only a few days after I ordered it. I watched it immediately and loved every single minute of it!! It is even better to me now that I am older. I have no children, so this movie was just for me and I must say it is refreshing to watch Wizard of Oz, because we live in a world full of violence and inappropriate language - you won't find any of that in this movie! This is a keeper and I was honored to add it to my video library. I did some research on the Wizard of Oz and found out that Shirley Temple was supposed to play the part of Dorothy. As it turns out, I did not need to research the Wizard of Oz because the 75th anniversary edition has all the information in it for me about Shirley Temple wanting the part of Dorothy and all of the other wonderful details. I hope adults consider watching this movie because there is more to take away from it as an adult, simply because the older and wiser we become the more we are able to glean. The movie proves to young ones that everything you need is inside of you. You just have to call on it. this was proven in the movie by all of the characters going to the Wizard of Oz to ask him for certain traits they felt they lacked. However, as it happened, they were never given anything from the Wizard of Oz except for phony traits that hung around their neck. The things they desired, such as  courage and a heart were actually inside of them all along. By watching this movie kids can learn that if one simply needs something, one can tap into what God has already put in them and allow it to flow, freely!! This movie is for everyone: disabled persons, babies, children, teens, adults and elderly alike!! If someone is unable  to see the movie they will find great satisfaction from simply listening to it! The audio is very animated!! Make yourself some vegan popcorn and enjoy the movie!!	5.0	A Classic That Thrills Me, even today!!	2013-12-17	0	0	0
0792833171	The Wizard of Oz	ARYVP4NERAKH5	&#34;E&#34;	When I need to concentrate on my task, I play this movie for my toddlers and they'll bugging me for at least a good hour!  But sometimes I end up not accomplishing my task because I ended up watching it with my kids!	5.0	Great movie for getting my kids to stop bothering me!	2013-04-23	0	0	0
0792833171	The Wizard of Oz	A3EE0H0NWQ9QVL	"&#34;Rocky Raccoon&#34; ""Hey, Doc, It's Only ..."	"There's little left to be said about 'The Wizard of Oz'.  It is #6 on AFI's top 100 list.  It is one of the enduring classics, passed on from one generation to the next, and it's components have an iconic familiarity still strewn in commercials, references, and other imitations.All that's left for me to state is how much it can be taken for granted.  Watching the film recently on DVD reminded me of how much familiarity can lead to contempt.  It had been since the eighties since I last saw this movie, and it renewed my awe for this snappy, innovative, and thoroughly entertaining trek from Kansas to Oz.What struck me was the brilliance of color, the extravaganza of song and dance--not just by the four core characters, but by the Munchkins and the citizens of Emerald City.  I took in as for the first time the beautiful set designs, the great musical numbers, and the brisk pace as the scenes spring before your eyes and the story unfolds.  It's easy to forget how effective Margaret Hamilton was as the Wicked Witch of the West, or the choreography of dancing, or the flight of the flying monkeys, or the transition from black and white to color that separates the two worlds and takes Hollywood into it's early flights in color film.As it has been said time and again, 'The Wizard of Oz' is the cinema equivalent of ""Jack and the Bean Stalk"".  It is a powerful voyage for children as it brings to the surface their fears only to vanquish them and make them feel secure as never before.  (In this regard, maybe only 'Home Alone' has been able to do in post modern times a fraction of what 'The Wizard of Oz' can do.)One last thing:  I insisted on watching this classic again with the help of Amazon.  Being able to obtain 'The Wonderful Wizard of Oz' for free on Kindle let me do what I recommend to my students:  It let the muscles of my mind (my imagination, or my personal DVD player) to conjure the images anew from Frank Baum's wonderful book.  It was a revelation worth seeing for the comparative value of each.  I think the movie makers made judicious decisions with timing and editing and made the film the gem we know it to be today.  Maybe they weren't able to recreate the South land with all it's china characters, but they knew how to keep an audience captivated.  Certainly there were accommodations to tailor make the story for the audience.  In the book, the Wizard of Oz has them kill the witch to get their wishes granted; in the movie we know they only have to get the broom.  Of course by now this shouldn't be a spoiler, but the magic causality was traded for dream sequences, which everyone, including maybe David Lynch, have borrowed from.(Finally, can you imagine what 'The Wizard of Oz' would have been like if Shirley Temple had gotten the part of Dorothy?  Or if Buddy Ebsen would have played The Scarecrow?  Most of us shudder to think of it, but I'll bet '..Oz' would have been a blockbuster then, but not nearly the classic it is now.)"	5.0	Reasons to Revisit 'Oz'	2012-09-01	0	0	0
0792833171	The Wizard of Oz	A1Y09QLADQYQJG	&#34;T=H=E --- 'Older Than Dirt' --- Time Tra...	"I just cancelled my review --- again --- this ISN'T actually a review. It's a WARNING:Since Amazon lumps everything with the same ""TITLE"" together, it is possible for someoneto be reading the reviews under THIS product-grouping, and accidently order a soundtrack,8-track-tape, VHS-cassette tape, DVD... or even the Blu-Ray that I highly recommend!"	5.0	"There almost two-thousand reviews for ""THE WIZARD OF OZ"".... be careful!"	2013-06-08	1	1	0
0792833171	The Wizard of Oz	A1CLHVXET5PO19	"80's Girl ""Nette"""	October hurry up and come! Now this is how you put out a special edition. So far the best one I've seen done right is The Back to the Future Trilogy.	5.0	Off to see some awesome special features	2005-08-29	8	2	6
0792833171	The Wizard of Oz	A3Z0UWJX5H56B	Aaron Kramer	This is as much as you can possibly stand of that movie.  I was a fan before.  Now I am an expert.	5.0	"""Wizard of the Oz"" to the MAX"	2007-03-08	2	2	0
0792833171	The Wizard of Oz	A2NP0TUIFDOLJ6	abass	I really like the whole set. It was fun to watch and learn about the behind the scenes stuff. Shipped quickly and great price!	5.0	Great!	2012-12-20	0	0	0
