asin	title	reviewer_id	reviewer_name	review_text	rating	summary	review_date	total_votes	helpful_votes	unhelpful_votes
6302595916	A Christmas Carol (Colorized) [VHS]	A3HS5U2UUSQP0N	"&#34; Anti Microchip &#34; ""Jesus Christ can ..."	With all the newer versions of this movie from the likes of Jim Carrey, and various others it's hard to convince people the old tried and true is the best. Yes this film is in black and white, and yes the transfer quality (probably due to the age of the original) is not quality by modern standards. However, this film actually can't rely on special effects and the actors actually have to act. Both of these are rare by modern standards.I also have to admit I like the direction of the older versions of this film. There are no hammy cheese ball moments just for the sake of having them. I actually felt that Alastair Sim was confronted with his nefarious lifes work, and that he was forced to himself for who he was. The message being that it's not too late to change. Faced with his own mortality the main character finally saw that he couldn't take his money with him, that his exsistance was shallow, and that he was responsible for his own unhappiness. In the end he changed. In this I actually feel this film captures the meaning of the original better than any other I've seen (which I admit I haven't seen them all).So give it try. Put away the modern computerized versions and give real acting a chance.	4.0	A classic christmas film	2010-11-08	4	1	3
6302595916	A Christmas Carol (Colorized) [VHS]	A1166FE81ADOUR	50s sci-fi Fan	"The most remarkable thing about ""A Christmas Carol"" is the way the intrisic morality of the story keeps it evergreen.The film versions seems to refect the values of their time: the 1935 version on the double DVD seems somewhat stale reminder of the remote British Empire, while the 1951 Alastair Sim interpretation has much of the uplifiting cheer of the many English comedies in austere post-war Britain.The evergreen aspects of the film are also found from the 1978 Rich Little send-up of the famous and infamous of his day and the Christmas Eve 2010 ""Dr. Who"" version with Dr. Who playing the spirit of Christmas Past may become a cult film.Time will tell which Christmas Carol is the most enduring. The Alastair Sim offering, apart from the family feel good aire, has a touch of ""Wall Street"" about it as an 18th. century Gordon Gekko greed-is-good charater drives Scrooge's business partners to the wall. Scrooge and Marley coldly demand 51% of the firm to save it from bankrupcy.Sim is well able to use those trademark doe eyes to show an inner cruelty and meanace in a Scrooge on the verge of his lifetime downward spiral into bitter cynicism...an alienation from humanity sealed by the loss of his beloved sister; dying in childbirth as his own mother died giving her birth.Yet this is a story of redemption and Scrooge finds a grace denied Marley. Sim's portrayal of Scrooge makes believable that even the deadest heart may be brought to life.The restored version is well served by low-key black and white, but I didn't go much for the colorized version...the color seemed, to me, to destroy this very mood and a be a pointless gimmick to show how clever the computer technicians were. The main value the included 1935 version was to show the viality of the Sim film.A good DVD to collect."	5.0	A Christmas Phenomenon	2010-12-20	0	0	0
6302595916	A Christmas Carol (Colorized) [VHS]	AVBYL0BIAZ8IB	Aaron J. Palmer	"This version of ""A Christmas Carol"" is one of my all time favorite movies.  There are countless adaptations of Dickens' novel, but this one is still my favorite.  First, though it is not the most literally faithful adaptation of the novel, I think it comes closest to expressing Dickens' original themes, especially the idea of imaginative sympathy.  Second, no other actor has come close to topping Alastair Sim's portrayal of Scrooge.  George C. Scott, Albert Finney, and Patrick Stewart perform the role admirably in their versions, but Alastair Sim makes you believe in this character more than any of the others.  In the beginning, he is exactly as Dickens' described him--cold, heartless, and very much alone.  Scrooge's transformation is handled with grace and emotion.  The music perfectly complements the emotional beats.This DVD release is particular is quite a good one.  It contains the original black and white version, and the picture quality is as good as one could expect for a movie that is now more than 50 years old.  There are no special features to speak of, but this is a fine, basic DVD transfer."	5.0	Classic	2007-03-09	1	1	0
6302595916	A Christmas Carol (Colorized) [VHS]	A2PS1KAU6MGELR	A Customer	Alas, for Jacob Marley's ghost when he responds with this line after Scrooge has told him: &quot;But you were always a good man of business.&quot;  This English version of *A Christmas Carol*, which has the film title of &quot;Scrooge,&quot; has always been the definitve version of the story for me.  The sets, the costumes, the exterior shots, and the actors and actresses all have what seems to me to be a distinctive &quot;English&quot; look to them.  Even Tiny Tim's teeth and Alastair Sim's teeth have an English trademark look to them.  This DVD version of this classic film presents an excellent opportunity for the film fan to judge the effect of colorizing on a film.  The DVD presents the original black and white version on one side of the disk, and the colorized version on the other side.  I first saw the film in black and white...and have always thought of it in that fashion.  In that aspect, the black and white presentation offers some interesting aesthetic and dramaticeffects which can be compared with the effects which the colorized version produces.  To my sense perceptions, the black and white version increases the &quot;coldness&quot; of the feel of the film...of the snow...and the huddling of people to keep warm...and it seems to increase the perception of Scrooge as a cold person.  Even in scenes where there should be a sense of warmth, such as when Scrooge is in his room huddled in his chair ready to eat some &quot;hot&quot; soup, the effect is still one of coldness.  The black and white aspect of sets and people seems to heighten the dramatic impact, making for a solemn, lonely, spiritless feel to the characters and events...which is certainly in keeping with the intent (until the transformation).  Alastair Sim's acting is so profoundly good that he does transform the tone of the black and white into a warmth of reclaimed humanity.  When he goes in humility and some fear to his nephew's house, not knowing how he will be received, and asks forgiveness for his foolishness, the black and white aspect cannot dull the warmth and humanity.  But, that having been said, I must also say that the moment I turned the disk over and began the film in the colorized version, I knew I was experiencing...and was going to experience...a different set of sensory impules...and different resulting feelings and aesthetic impressions.  For the opening sequence is of a book being opened...in the colorized version, the book's cover is colored...but it is tastefully done...and the pages are a warm ivory color.  The effect to me was enormously pleasing...then when the actual characters appear... the colorizing adds to the facial expressions...one now notices arched eyebrows, grimaces, smiles...there is a real humanity that is brought out by the color.  People's personalities are not &quot;washed out&quot; by the black and white...the distinctiveness of individual personality seems more alive with the color. This colorized version is done well...the color is tastefully done...the inside of Scrooge's house becomes more distinctive, and one notices objects that tend to go unnoticed in the black and white version.  The brown colored bannisters of the stairway are one example...as well as the statue at the bottom of the stairs.  The wooden surfaces glow with a warm brown... and Scrooge's (Alastair Sim's) eyes are an interesting, mesmerizing ice-blue color.  Formerly I would have said, as something of a film purist, that the black and white version of the film would be the one which I would watch...and show to others.  But now, I have become a real fan of the colorized version...maybe it is the novelty because I have not seen the colorized version as many times as I have seen the black and white version...but I firmly suspect that it is something deeper and more aesthetically and psychologically compelling in relation to the use of color... at least with this film (I once saw a horrible, inept, attempt at colorizing &quot;Miracle on 34th street&quot;...but I do not fault this present attempt).  I found nothing wrong with the sound on this disk...  The most haunting moments in this film, for me, are at the beginning when Tiny Tim is looking in the shop window...and the mechanical clown is laughing...Tim laughs too, for he thinks it is in amusement...but then Tim sees someone buy the boat which he obviously wanted...the look of loss and hurt on the young actor's face is unforgettable...and yet the heartless mechanical clown continues to rock back and forth with laughter...now, as if mocking Tim...Tim looks at the clown... and still in his good-hearted spirit manages a smile and a laugh, too.  My god...what an incredible piece of filmed humanity...and feeling.  There are other incredibly moving moments in this filmed version.  For me, it will always be the best.	5.0	&quot;Business?!!  MANKIND was my business!&quot;	2001-07-04	10	8	2
6302595916	A Christmas Carol (Colorized) [VHS]	A3QDI33E8BCM7	Adam	I started watching this movie every Christmas eve with my parents when I was young and still love it today it always puts me in the Christams mood and I love watching it with my kids.	5.0	A Christmas Carol	2010-12-11	0	0	0
6302595916	A Christmas Carol (Colorized) [VHS]	A1ESJN9F9JUVIH	Adam Love	"This 2-disc restored 1951 edition of the timeless classic is presented in the ORIGINAL 1.37:1 format.  If only other studios would pay the same attention to detail with their ""restored"" movies.  It may seem like a small difference, but where would YOU trim off an equal amount of a famous painting in order to cram what was left into a smaller frame?"	5.0	PRESENTED IN ORIGINAL 1.37:1 FORMAT	2010-03-10	3	3	0
6302595916	A Christmas Carol (Colorized) [VHS]	A3MNPSG11YDA1M	Adopt a Pet	This is my absolute favorite version of A Christmas Carol and I couldn't let this offer pass by.  This is a holiday tradition in my house and we always waited to see when it was scheduled on television. Now we can enjoy whenever we want to watch,	5.0	Favorite version	2014-01-25	0	0	0
6302595916	A Christmas Carol (Colorized) [VHS]	A3P01JK5ZY6DID	"A. Guyton ""eluraluna"""	"I know most folks just love Alastair Sim's Scrooge, but good grief. He completely misses the character that Dickens wrote. Sim makes him a whiney, spineless insect, who keeps complaining instead of learning. And what's with ""Alice""? The whole point in Dickens is that the girl who has the strength to leave him- and thus turn her back on a life of wealth in favor of the possibility that money isn't everything- goes on and has a life with a wonderful family and happiness, not that she becomes some martyr-esque thing in the poorhouses of London. And what's with the whole series of Scrooge in business? There is so much in the original novelette, why add so much unnecessary evil? And the scene with Fan's death? Isn't it enough that Fred is his nephew- shouldn't the bond of blood be enough to remind us of the responsibilities of family (and its rewards) without making Scrooge a complete deadbeat? Besides, Sim's reaction to the scene is downright melodramatic, making him seem even whinier.Being a great fan of the book, I find this version badly acted, badly adapted, and in bad taste. There are worse versions. But this one misses the spirit of the Dickens characters, and the real messages Dickens was trying to communicate- messages that are still relevant, and were relevant in 1951 as well: the importance of family, the need for social responsibility and sensibility, the joys of the season, and interconnectedness of humankind."	2.0	Sorry, but I am a fan of Dickens' Scrooge... the character.	2003-01-25	28	4	24
6302595916	A Christmas Carol (Colorized) [VHS]	A2POXGAFBRSDI7	A Huge Fan of the Movie	"This is the most heart wrenching and inspirational version of Charles Dicken's tale I have ever seen on the screen.  Alistair Sim should have won an Oscar for his portrayal of Scrooge. If you can keep a dry eye when Scrooge revisits his dying sister's bedside--or when he asks his nephew's bride to ""please forgive an old man..."" than you might be as cold as old Scrooge was himself!  And the scene on Christmas morning is glorious--you will find yourself mimicking the dialogue to your family!"	5.0	Fantastic	2002-12-04	5	5	0
6302595916	A Christmas Carol (Colorized) [VHS]	A2V29IO9JQQF5P	A. Jones	A masterpiece of film making in every sense of the word, Sim gives one of the best performances ever and I do mean ever as Scrooge. You also get a top notch English cast and a very fine quality film, it's as if the classic book has come alive, you won't ever see a finer version than this one.If you only own one Christmas movie, this is the one to own make no mistake, it still holds up and it still entertains.10 out of 10	5.0	Don't Be A Scrooge, Buy This Gem	2011-01-19	1	1	0
