asin	title	reviewer_id	reviewer_name	review_text	rating	summary	review_date	total_votes	helpful_votes	unhelpful_votes
B00005JPA6	Pan's Labyrinth (New Line Two-Disc Platinum Series)	A18YZSZVEZ5HA3	01bex	the box was in great shape . no flaws or complaints on my end. i would definately by from this seller in the near future =)	5.0	good	2013-08-05	1	0	1
B00005JPA6	Pan's Labyrinth (New Line Two-Disc Platinum Series)	AX8UXTLF70B8Q	3-006	As many of you know, Pan's Labyrinth is the story of a young father-less girl (Ofelia) who is taken from her home by her mother (Carmen) to live with a Captain in Franco's regime (Vidal) whom she has married and whose baby she is carrying. The film took place in the 1940's during Franco's reign, the Spanish Civil War having ended several years before. The fascist Franco was an incredibly violent man with incredibly violent and sadistic men working in his government and, unfortunately for Ofelia, her new step-father, whom she meets for the first time in the early part of the movie, is one of those incredibly violent men. Vidal is stationed in a mountainous area in which bands of remaining insurgents are hiding out and attempting against all hope to someday overthrow Franco. Vidal's job as Captain is to root out these insurgents, or freedom fighters, and kill every last one of them. This assignment along with Vidal's character as a human being results in some very gruesome scenes, though many are virtually bloodless. The film ends on a surprising and surprisingly satisfying note, as the writer/director del Toro is able to achieve a spectacularly fitting ending for a spectacular story.Ofelia, completely oppressed by her cruel stepfather who does not want to have anything to do with her, uprooted, living in an unfamiliar place in the middle of the woods with no other children, observes acts of extreme violence and cruelty (the area being a virtual war zone) which occur routinely and become part of everyday life, but this is a life that she wants no part of. As a result, and due to her ravenous appetite for fantasy books and old-time fairy tales, Ofelia, already troubled and possessing an overactive imagination, finds an old stone structure in the forest nearby and her subconscious begins to create (although there are those who argue otherwise) a fantasy that allows her to escape her dreadful reality and provides her with hope. This fantasy world, I believe, is strictly the imaginings of a very creative yet troubled girl who is living in a horrible world and uses all the images placed in her head from all the reading she has done to subconsciously create a place where she is important, where she has the freedom to make choices and, ultimately, to be able to live in a beautiful world with a loving family and be happy.There have been some rumblings about the violence in this picture. It is R-rated for a reason and that reason is violence. It would not be good parenting to take a child to see Pan's Labyrinth, or most (if any) R-rated movies. This, to me anyway, is just basic common sense. Now, about the purpose and necessity of the violence...The acts of violence that occurred in this film happened in the thousands in the general period when the story took place. But it is not like the situation in Spain under Franco and during the Spanish Civil War is anything unusual. The world can and is and has been and will always be a terribly violent place that all too often affects the lives of children, perhaps even more so than that of adults. Every violent scene in the 'real world' of Pan's Labyrinth was necessary and helped explain a character or the time period. Any violence in the 'fantasy world', del Toro says was necessary as he was attempting to write a fairy tale depicted as they have been from time immemorial. We all know that such fairy tales are exceedingly violent and designed to give the listener chills. Most must be at least somewhat familiar with these classic fairy tales and the fact that they are often gruesome and horrific beyond belief. They were told to give the young listener the chills and shudders just like what Pan's Labyrinth provided to its adult audience.I also believe it was 100% necessary to show the Captain's facial wound because it allowed us to witness the unbelievable resolve of this individual. There have been countless men throughout history who have possessed this resolve and brutal determination that was shown with Vidal.I simply don't believe that any viewer can offer a decent or reasonable argument that the violence was unnecessary or gratuitous. I believe that many people found the movie sad and it left them depressed because they could not handle, on an emotional level, honest realistic storytelling. Should you be afraid to show this reality? Of course not. And if you don't want to watch or read a fictional story that contains these terrible realities then don't.As far as the look of the film, the non-cgi artistry that is exhibited in this movie is absolutely stunning. I think it is becoming a lost art in Hollywood and I fear that people like Stan Winston will be the last of the great make-up artists. This was such an exhilarating movie to watch on many levels, one of those being the visuals. I loved the contrast between the real world and the fantasy world and I found both equally captivating and exhilarating. As far as the acting ... all I can say is that it is phenomenal. I was amazed at all the performances, but Ofelia's was mind-boggling good.We are lucky to have been given the opportunity to watch such a great, artistic, stylish, well-written, well-acted film as Pan's Labyrinth that provides such a powerful emotional impact on the viewer. There are far too few films of such profundity and overall brilliance as this and I hope those in Hollywood reflect on this after they get back on their chairs after falling upon learning that it only cost approximately 5 million to create.Awesome entertainment, intellectually gratifying, this is the best movie I have seen in many years and one of my all-time favorite films. I cannot wait to enjoy it on several different levels again and again ... and again.	5.0	Sheer Brilliance	2007-02-15	20	15	5
B00005JPA6	Pan's Labyrinth (New Line Two-Disc Platinum Series)	AZIT12FBL4VZD	32434	I liked this movie.  It was very creative and unique.  A mix of fantasy  and reality.  Though I wish it were in English.this movie is not for kids.  Though i thought too much time was spent in the 'real world.' its worth watching.	4.0	Very creative movie	2008-02-23	2	1	1
B00005JPA6	Pan's Labyrinth (New Line Two-Disc Platinum Series)	A3EE0H0NWQ9QVL	"&#34;Rocky Raccoon&#34; ""Hey, Doc, It's Only ..."	`Pan's Labyrinth' is a powerful movie voyage that juxtaposes the horrors of war with an enchanting world of the imagination.  Set in Francisco Franco's Spain as his infant Fascist government comes to power,  the film takes place in 1944, while the Allies are defeating the Axis, and Franco is fighting guerrillas in exile.  Ofelia has felt the grip of both worlds.  A near adolescent, she is torn between the reality of war that has taken her father, and the portals of imagination that help her flee from harm. She has a brutal step-father, Captain Vidal, who has impregnated her mother, Mercedes, and displaced them from her familiar surroundings to a military stronghold in the country.  As complications come upon Mercedes' pregnancy, Ofelia is horrified to see her mother hemorrhaging.  An avid reader, her books start to come to life as the details of her new arrangement become more menacing.  Characters from an underground world, such as a faun, offer her adventure and  solutions to key problems above.  They are often linked to the world of reality with tangible portals, such as chalk, a book, and keys.  Walking sticks become fairies, and so forth.  In the meantime, the audience is given the full force of truth from which Ofelia is partly spared.  There's the business of war:  espionage, fighting, and torture.  'Pan's Labyrinth' effectively blends together a tale of innocence and cruelty where both worlds meet and have meaning.I couldn't help but think that this movie is an artful leap from the old `Calvin and Hobbes' comic strip with, obviously, more weighty subject matter.  I also am reminded of  PC adventure games like 'Myst' that propel players to different realms.  (Any of these comparisons are merely meant to be hints or suggestions.  The genius of this movie comes to fruition on its own terms.)  Pan's Labyrinth' has fine special effects, but don't expect to have a myriad of creatures jumping out at you on the screen like blockbuster films. This movie, rather, tells its story well and explores the worlds of reality and imagination in a special way that reflects upon both.	5.0	Pan's Portals	2007-02-03	0	0	0
B00005JPA6	Pan's Labyrinth (New Line Two-Disc Platinum Series)	A1NOLEWY3EBW01	683	"Everything about ""Pan's Labyrinth"" (or ""El Laberinto del Fauno"" is amazing. The special effects, the cinematography, the twisted-fairytale storyline, the acting, the theme song, etc. One word to describe this film would be ""epic"". It's like a thriller-fantasy-action-drama film with a tint of horror. It all blends in perfectly. It should have been nominated for even more Oscars than it did at the 79th Academy Awards, and even though it's in Spanish, it should have at least been nominated for ""Best Picture"". It's that good. I guess for somebody who's reading this review and never saw the movie probably already know the plot (the plot is in a LOT of the reviews that were written for this movie), so I don't have to explain.I love how the film takes place in 1944, the time of the Civil War. That time-setting was perfect for the movie. It also has a well-crafted beginning. It makes you know you're going to get a great fantasy-thriller film. As the movie progresses and it finally gets to the scene with the faun, it starts getting way more interesting. The special effects with all the creatures and insects and fairies were done extremely well. Also, the cinematography is beautiful. The most well-done scenes in the film is when the screen has a blue-ish tint to it, and the very colorful scenes. ""Pan's Labyrinth"" deserved the three Academy Awards that it got (Best Art Direction, Best Cinematography, Best Makeup).The scenes with the ""tasks"" and the final 30 minutes altogether are intense and well-executed. The ending also has one of the best endings I've seen. It even makes me want to see the credits. The film is really that amazing. For any film lover who hasn't seen ""Pan's Labyrinth"", you need to see it!"	5.0	One of the best Spanish films of all time!	2011-04-01	1	1	0
B00005JPA6	Pan's Labyrinth (New Line Two-Disc Platinum Series)	A1ZMP9N721MXPQ	"70Randy ""Randy"""	The blurb on the cover of the DVD I have indicates that this film is in the tradition of Tolkien's Lord of the Rings. What an insult to the great master. I found the mythical characters so poorly depicted as to be ludicrous. The guy with the eyes in his hands is so ridiculous as to be truly laughable. The story is fine and the acting of the 'humans' fine also. Overall I see nothing to rate this picture four stars.	2.0	I must be missing something?	2007-06-04	23	5	18
B00005JPA6	Pan's Labyrinth (New Line Two-Disc Platinum Series)	A19XJO5GTK0CFP	"A. Achen ""Lady Contra"""	I love this movie! Even in you don't really like reading subtitles if you can't speak Spanish... you will enjoy this one... you better!	5.0	Pan's Labyrinth	2008-02-27	2	0	2
B00005JPA6	Pan's Labyrinth (New Line Two-Disc Platinum Series)	A2I5YQYPSABBVU	A. Andrews	Not what I expected as a movie, but enjoyed it . Probably made it more interesting that I had no clue to what I was ordering, It was a referral.	4.0	pan's labrinth	2014-05-31	0	0	0
B00005JPA6	Pan's Labyrinth (New Line Two-Disc Platinum Series)	A35R8PJSEURHHF	Aaron Merkel	Talk about a misleading preview!!  I was excited to see a young girl's journey into a mystical world where she would have to survive her way through; however, the mystical world is seen only a short time during the movie.  Is the fantasy world real or not?  What is really going on?	4.0	So where is the fantasy adventure?	2007-05-16	30	4	26
B00005JPA6	Pan's Labyrinth (New Line Two-Disc Platinum Series)	A32BOCO1P1F4XO	"Aaron Stack ""Book Worm"""	"This film is one of the few ""Masterpieces"" of cinema that truly lives up to it's accolades. The story is both oddly beautiful and heartbreaking at the same time; that is no easy feat.Visually the movie is absolutely a feast for your eyes on HD DVD! The lead actors are all charismatic and in full command of their characters ( especially the young Ophelia). I was particularly impressed with the work of Doug Jones as the Faun ( and as the horrifying ""Pale Man"").I strongly recommend this to any Adults that still have a imagination and also to those that long gave theirs up. This movie is definately not for the young although it IS for the young at heart.Pan's Labyrinth will stay with you long after the credits have rolled."	5.0	Pan's Labyrinth will stay with you.	2007-12-31	2	2	0
