asin	title	reviewer_id	reviewer_name	review_text	rating	summary	review_date	total_votes	helpful_votes	unhelpful_votes
B0000633ZP	Star Wars II: Attack of the Clones [VHS]	A2WI2RBREBP7LJ	001	this has got to be the second worst movie ever created by man.  a bad B movie that is supposed to be an A but really hovering around E-.  it is close, but i still think the first movie was even worse than this one, EP1 the absolute worst movie ever!  but EP2 is the worst in the category of love scenes-- the writing and acting is so atrocious that there really are no words in the english language that can describe how bad it is.  not just painful to watch, but startlingly so.	1.0	oh man--	2003-03-07	12	7	5
B0000633ZP	Star Wars II: Attack of the Clones [VHS]	A30QOWWCVV5TIZ	"|||'||||'|||||'''||''||||| ""234526634"""	"It is doubtful that any movie in the history of American Cinema faced as imposing a wall of negativity at its release as the one that loomed before Episode II. To say that a large percentage of viewers had a bad taste in their mouth because of Episode I is an extreme understatement. I defended 'Phantom' as ""not as bad as"" people were saying. Sure I wanted all 'gungans' to die horrible deaths, especially Jar-Jar, but we had all the story elements plus some ingenious characters. At the end of its run I had decided that despite errors in canon and the abominable comic relief, I liked the film and 2002 was way too far away. As we got closer to the release date, I started to worry that all the comments about the whole franchise being trashed may have some merit. What if this one was an awkward disaster, flailing even further into the swamp of failure than the first? I intentionally didn't look up any synopsis or look for any spoilers; I wanted my reaction to be raw and immediate, based on what I was taking in. So it was that I found myself in line opening night; midnight showing, of course. I didn't really have any hope in mind one way or the other aside from ""please don't let it suck"". As I was standing there, I overheard a snippet of conversation from some youths who obviously had done some advance research, and one of them said ""Oh yeah that's right! We get to see Yoda fight in this one!"". For a few seconds, I didn't hear anything after that. Hold the phone. We get to see Yoda........fight?? OK, all thoughts of gloom and disaster are jettisoned. Is that a flicker of Optimism? Maybe so. We're seated. Down go the lights. Drum roll. ""A long time ago in a galaxy far, far away..."" Fanfare. We're off. It's all urgency, action, and an overarching sense of danger and chaos. Whoa. I've seen this 'look and feel' somewhere before. Maybe it's too early to tell, but George may be back on his game. We've got crazy things happening left and right. Alliances are being forged and broken; acts of war and treason are being committed. Holy crap, there are more Jedi on the screen than I've ever seen before! And then one of the most memorable film sequences I've seen in my whole life. It's a desperate fight, and the good guys have exhausted almost all their energy. Death seems certain, and destruction is inevitable. Why are we looking at a doorway and floor? Why- hey a shadow...why is it familiar---? Holy crap. The theater erupts. I'm gripping both arms of my chair so hard it hurts, staring bug-eyed at the screen. I've got tears in my eyes. Judge him by his size does Dooku?? This is going to ROCK!!! There is a sustained explosion of whirling, twisting light onscreen. I hope the theater manager will be understanding and send me a bill, payable in installments, for whatever I might do to this chair. Whoa the pillar!-oh....my....word. It's wrapping up; we see huge ships, and battalions of white-clad soldiers stretching to the horizon. Where have we seen those before? The March swells. It's over. I'm sitting deflated in my chair as the masses file out, talking excitedly. I would like something to drink and a listing of showtimes immediately please. Well done, George. Well done."	5.0	See my review below...	2006-03-20	13	10	3
B0000633ZP	Star Wars II: Attack of the Clones [VHS]	AO2Q55IPOD4VV	"999 ""000"""	Who cares what critics say? Or what fake star wars fans say. Behind Return of the Jedi this is the best one. The story was wonderful and the the film painted a beautiful picture of the star wars galaxy. The action was amazing and Yoda's fight scene vs. Doku was magnificent. It was a masterpiece all through out.	5.0	The second best Star Wars movie!	2004-10-06	2	1	1
B0000633ZP	Star Wars II: Attack of the Clones [VHS]	ADKS6PC8YEIX7	"""aaaaaaaone"""	Just watched the Attack of the clones and it is well worth the effort to go and see. The fight scenes have a very nice plausability until you get to the free for all near the end. Anakin is slightly too mad all the time. A little unrealistic for the first half of the film. That said the movie is A+. Very nice duck and weave story telling with a few unexpected suprises. The biggest laugh in the theater was about Yoda. You have to see the movie to understand. Good use of the force skills throughout the film. Too bad Lucas decided the force was green blobs in your blood rather than spiritual. That was the worst let down of Phantom meanace. I went to a theater that claimed it was digital. If it was they should abandon any further attempts at digital presentation. The upper half of the screen was slightly out of focus. In total, nothing will ever beat seeing Star Wars in the theater in 1977 as the total change in movie making and the boldest attempt up until that time for a movie going science fiction experience...but Clones is my best of the series. I would like to see it in the theater again, but will wait for the DVD since no theater near me can do it justice.	4.0	The best of the series	2002-05-16	2	0	2
B0000633ZP	Star Wars II: Attack of the Clones [VHS]	A3Q5S9VH832QW5	AA	"THE PLOT:This is where it all began. This is where the volcano of hate and resentment inside Anakin erupts and commences his slide to the dark side.In ""Episode II, Attack of the Clones"" the little boy we first met in ""The Phantom Menace"" has grown up to become a man and a Jedi, well almost a man and almost a Jedi. With his growing skills to pilot a cruiser and weild a lightsaber, Anakin achieves the confidence of taking on the most powerful enemies. He is put in charge of protectecting Padme, the beautiful senator from Naboo while his master, Obi Wan investigates the far reaches of the galaxy for the enemies of the Republic. Anakin's growing indicipline and impatience as he argues with Obi Wan on smallest issues is noted by Amidala and the Jedi council.But what none of them knows is that they are all puppets in the hands of the dark lord, acting through his most powerful device, Chancellor Palpatine.I don't want to give away too much and ruin it for you but I will say this, each character in Star Wars has an important role to play, no matter how insignificant or irritating we find him in the beginning. Jar Jar, the menace of Episode I fulfills his destiny when he represents Senator Amidala and Naboo in the Senate and foolishly puts forth a motion to grant emergency powers to Palpatine, a move that made Palpatine the dictator.Shimi, mother of Anakin, is abducted by Sand People. Anakin goes to rescue her and when she dies in his arms, he goes overboard and kills all the sand people. ""I killed them. I killed them all. And not just the men, but the women and the children. I hate them"", he later tells Padme. This dialogue and the one where he says he will become most powerful Jedi and learn how to stop death itself are the keys to his corruption.The Bounty Hunter: he is the one of provides his DNA for the clones of the army.THE DVD:The dvd actually contains some deleted scenes. What you will find surprising is the end. They actually showed Anakin's mechanical hand in Padme's as they kissed after their wedding. I don't remember this scene from the theatrical version.The 2nd DVD contains upto 8 deleted scenes. The one that I found most interesting was that of Padme adressing the senate and opposing the creation of the army.FINAL WORD: I didn't like Hayden Christensen when I saw the movie the first time but now I think he he played his part of a troubled youth well. Natalie Portman looks even more beautiful in this movie and Ewan McGregor makes a convincing Obi Wan.The DVD is definitely worth buying and adding to your collection."	5.0	The Clones Attack and the Sith is Born !!!	2005-05-26	4	2	2
B0000633ZP	Star Wars II: Attack of the Clones [VHS]	A1JBG89Q5UHFSV	"""aaronbe"""	Thank God that we have The Attack of the Clones to save Star Wars from that 7-12 year old type movie The Phantom Menace. No more of Jar Jar who helped destroy TPM along with terrible acting and storyline. Isn't it weird that just now people are starting to say how much the Phantom Menace [stank]? George Lucas can even start to barely admit it was not that great. Yet they will argue that it set a record for the box office and was very successful. However, after 2 days after the Phantom Menace was released, I went to see it and it was less than half full. I wonder why? After 4 days of the release of AOTC, the theaters are still packed. Maybe Lucas began to realize that special effects don't make a great movie. TheThe ending was great in AOTC. The acting was better, but a little shaky on Anakin's part sometimes. The ending was slow and the love scenes at some times quite laughable. If it weren't for the beginning, it would have been a even greater movie. The effects were amazing and also the way the did Yoda throughout the movie. The one thing that never has gone wrong is the music. John Williams is a master and will continue to do nothing but help star wars. Only one thing, don't compare it to the Trilogy especially The Empire Strikes Back. Sure you might see some polls that rate AOTC as the best star wars movie ever (starwars website)  but that is just the biggest bunch of [junk]. AOTC is a good movie but doesn't hold a candle to the Trilogy. In the Trilogy you have better acting, better story, better screenplay etc. The only thing that is better in AOTC is the special effects. Take your pick on which combination you would like to have. George Lucas is a good story writer and good directer, but if you want the ultimate movie get back Irvin Kershner (ESB) as a director.	4.0	A Great Movie. Just Don't Try to Compare it to the Trilogy	2002-05-26	0	0	0
B0000633ZP	Star Wars II: Attack of the Clones [VHS]	A1TZXBOTCM25HN	Aaron Dill	I have read some really harsh reviews on Attack of the Clones.  I don't think it was such a bad movie.  I saw it in the theatres3 times and the movie was much better on the big screen then on DVD. The real positives of the movie, a beautiful score by John Williams, one of his best. An intriguing plot that keeps you guessing.  The fight of the Jedi Knights in the arena and best of all, the ending lightsaber duel with the energetic Yoda.Hayden Christensen is a perfect Anaking Skywalker.  He is charming, whiney and down right full of himself (like alot of young people).  Natalie Portman is rather wooden as an actress, but great acting and dialogue is not why you watch a Star Wars movie. My main complaints, the look of the movie on DVD is too bright, since most of the movie was CG created, it tends to look like your watching a video game. When the actors are shot in front of a blue screen and composited on a miniture set the background looks too unnatural. Was it necessary for Anakin to ride an ugly CG tick/armadillo creature?  Was it to show off to Padme, or was ILM trying to impress the audience with yet another CG creature. It would have been far more effective, if he had done tricks on a nice horse.  They have horses on Naboo don't they?The CG Yoda moves better than a puppet, but the face lacks the depth and texture as in the previous movies. I feel the abundance of the CG effects took over the movie. Like an artist, Lucas tends to put too much paint on his canvas.  The simplicity of the original Star Wars will never be outdone. You can't fault Lucas though, he gave his audience everything he had and it was enjoyable and much better then episode 1. In the next movie though I hope Lucas narrows the Star Wars universe and focuses more closely on his live action characters instead of the ones made of pixels.	3.0	Theatrical experience of Attack of the Clones was better	2003-04-01	5	1	4
B0000633ZP	Star Wars II: Attack of the Clones [VHS]	A25GTWYWNXLF9E	aaron	The worst thing to come after a boring Phantom Menace, is the almost as dull Attack of The Clones.The acting other than Ewan McGregor is not good, although Hayden C. wasn't bad....good other times, wierd other times too. The worst part is the romance between Natalie Portman and Hayden....not very good, and very cheesy. Just acted out without passion. And clones? Yawn....why not a bunch of (ok, thousands, ok!) of good characteristic troops who are summoned , drafted, etc. into battle. Why just clones? Not very formidable opponents. I thought Stormtroppers were suppose to be seperate beings..not clones. And a droid army. OOOHH.....how special. Cant thay make warriors vs warriors anymore? Yoda digital? eh....whatever. And why is he so funny and passionate in Ep V and soOOO SERious here? Disapointing. THe saberfights were so awesome, yet SOOOO short-why??? Jango didn't seem to be the excellent hand-to-hand combatant and warrior he claimed to be.....wasn't very skilled. or VERSATILE of weapons. Just a few. THought he was a bounty hunter. Didnt show him off enough.And anyways, not good enough. Effects? Great! Ya. Just not the best story or setup.	2.0	Yawn..oh, go get 'em clones...zzzzzz	2003-04-02	6	5	1
B0000633ZP	Star Wars II: Attack of the Clones [VHS]	AVBYL0BIAZ8IB	Aaron J. Palmer	I've now seen this movie many times.  Initially, I loved it, and thought it was so much better than Ep. I.  Now that I've really thought it through, I'm not so happy with it.  The acting is almost universally horrible, but a lot of that can be attributed to two things:  Poorly written dialogue and spending most of the time acting in front of blue screens.My main objection to this movie is really the effects work.  Lucas has just gone CG happy.  The movies have become more about showing off fancy (and a lot of times bad) CG effects rather than telling the story.  For example, what purpose does Anakin riding on that cow-like thing serve?  None.  None whatsoever.  It's showing off CG work, and bad CG work at that.  I'm not sure what it is about ILM CG, but it just looks bad to me.  It never looks convincing, like Gollum from the Two Towers does.  I think it may be that it just looks TOO polished.  I just know that even their best stuff (Yoda) just doesn't quite cut it.The high points of the movie:  The last 45 minutes or so are, in my mind, as good as anything in the Star Wars series, right up to the ominous ending.  Again, I question the need for some of the CG generated factory scene, but it was at least entertaining and fairly convincing.  The battle scenes were great, but I cannot help thinking I'm basically watching an animation at this point.  Oh well, it was pretty enjoyable overall, and who the hell I'm I to tell George Lucas how to make his movies?	3.0	Too much CG, too little story	2003-08-18	2	1	1
B0000633ZP	Star Wars II: Attack of the Clones [VHS]	A1U8X667192VMZ	AARON MILLER	What can I say but that Attack of the clones is absolutely amazing from start to finish. I was able to get tickets for the May 16th opening and it was worth my money and then some. I admit that I can`t stand Episode I, I still can`t watch it today I was let down completely by it, but, Episode II far surpassess every film I`ve seen since the Matrix, possibly Star wars A New Hope, People say that the dialogue is weak.....I`m sorry but the dialogue is pure fantasy thats suits its fantasy universe nothing more its not trying to be Shakespere is it? It comes down to if you want to know about Darth Vader and whats going to happen then it couldn`t have been done better.  All I can say is Well done george lucas for a fantastic ride of a movie thats dazzling from beginning to end.	5.0	Best film until Satr Wars III arrives!	2002-05-18	1	0	1
