asin	title	reviewer_id	reviewer_name	review_text	rating	summary	review_date	total_votes	helpful_votes	unhelpful_votes
B0009AK57Y	Doctor Who - The Complete First Series [Region 2]	A18WBFDVBHBUXD	2KindAlys	Enjoyed it a lot, image quality was great, love that Amazon instant video now has caption available (at least that has been my experience with Dr. Who episodes so far).	5.0	Love it	2013-07-11	0	0	0
B0009AK57Y	Doctor Who - The Complete First Series [Region 2]	AZDCKOKZK0RCB	Aaron	For those who long for The Good Old Days of Doctor Who, this isn't it. The 21st century Doctor is more fast-paced than incarnations of old. We focus more on the companions and their lives. They no longer exist just to say, &#34;What is it, Doctor?&#34; My favorite actor will always be Tom Baker because he was my first Doctor. First-time viewers will suffer the same nostalgia decades from now.It might be helpful to go back and view old episodes just to get a running start. Maybe even just the special shows The Three Doctors, The Five Doctors, and The Two Doctors will be enough to give historical flavor, even though these will not have Tom Baker. Okay, add The Keys To Time set of six. Maybe Baker's first episode Robot just so you can see Sarah Jane Smith. And some of Pertwee while banished to Earth so you can experience UNIT, and the lovely Jo Grant at his side. And any episodes with Daleks. And Cybermen. And the Master. And....?	5.0	He's back!	2014-04-11	0	0	0
B0009AK57Y	Doctor Who - The Complete First Series [Region 2]	A35O57UJZBOMUI	Abernachy	This was my first foray into the series and I thuroughly enjoyed it. The tenth doctor to this day is still my favorite with Dalek being my favorite episode of the series. If you have any inkling fr Science Fiction definitely check this show out. Also, thanks to this series I have been able to introduce the genre to the wife and now she loves a lot of my favorite shows like Farscape and Bablyon 5.	5.0	Great Sci Fi show for fans and those new to the genre.	2014-01-18	0	0	0
B0009AK57Y	Doctor Who - The Complete First Series [Region 2]	A2LFKPTHSAXHS4	A Customer	I love Doctor Who and this was a great season and all the other seasons are awesome too! WHOVIAN FOREVER	5.0	I LOVE DOCTOR WHO	2013-07-27	0	0	0
B0009AK57Y	Doctor Who - The Complete First Series [Region 2]	A2EEUQ81DTY7G3	A Customer	Having just completed watching Doctor Who: the complete first series in bits and pieces over the past fortnight I can honestly day what a treat it is. This series is a startling re-imagining of the world's longest running television show and is destined to satisfy both long-term fans and entrance newbies alike.Kudos should certainly go to writer/director and producer Russell T. Davies who grew up with the show and has treated this revival of it with the type of iconic reference it deserves. Of course, much of the congratulations must also go to the beautiful Billie Piper as Rose and the acclaimed Christopher Eccleston who offered to step into the shoes of the mystifying Time Lord and intergalactic do-gooder known only as the Doctor.Both Piper and Eccleston give superb performances, totally involving us in their characters - and it's interesting to watch their growth as friends and companions as the series progresses. Gone are the makeshift cardboard sets and men in rubber alien suits, for this Doctor has been updated to current sensibilities, reflecting the hip, stylish and youth culture of England today.The long downtrodden, flimsy budget was eradicated, and the show was reinvigorated, with top-notch special effects and strong scripts, and even some surprising co-stars. With the series as a whole really pushing the boundaries of what television can offer.These thirteen episodes are loosely linked the tenth Doctor finds he is immersed in a sequential scheme to influence the events of his life. Over the course of thirteen episodes, the Doctor and Rose travel to Earth's past, present, and future to unravel the mysteries of the Bad Wolf. Of course the clues are subtle and the masterminds behind the conspiracy are not revealed until the very last episode. Meanwhile, however, Rose is whisked away to all sort of wonderful places, both in the past and the present.The stories are tight, mesmerizing, speedy, clever, amusing and throughout the course of the series we are introduced to a variety of characters: there's the cocky and brash American time traveler - and perhaps even bisexual Captain Jack (John Barrowman) who accompanies the Doctor and Rose in the final four stories; Rose's mother Jackie (Camille Coduri), who hates the Doctor for constantly whisking her daughter away into danger.There's also Mickey Smith (Noel Clarke) Rose's on again off again boyfriend whose wimpy demeanor tends to put the good Doctor off. The stories also present us with an amazing amount of strength and power - we are transported to the 19th century where we meet Charles Dickens (played lovingly by Simon Callow) and then swept 5 billion years into the future where we witness the end of the world from a satellite orbiting in space.There's a Dalek invasion force numbering in tens of thousands, exotic aliens in the form of flatulence forming Slitheens, shop window dummies that kill, 19th Century Cardiff where mysterious blue ghosts form through the gas lights, a giant space ship which obliterates Big Ben, and the London blitz where people have gas masks embedded into their faces. Rose also gets to visit her father the moment before he died, in the process; however, she causes a rift in time and space.Of course, nothing ever stays the same and one of the unique qualities of the show is that the cast keeps changing. Whilst Billie Piper stays on for the next series - which is rumored to have an even bigger budget as the first, and is currently screening in Australia and other Commonwealth countries and has recently wrapped up in the UK - we are given a new Doctor with Scottish actor David Tennant taking on the prized role.There's certainly nothing cheesy or cheap about this series and it features some suburb acting by Eccleston and Piper and it is certainly going to be a fitting legacy for the series as a whole. Now one can only wait with bated breath for next July when the second series will hopefully be released on DVD and where the Doctor will be faced with even more intergalactic archenemies including the return of the dreaded Cybermen! Mike Leonard July 06.	5.0	"""I can take you on lots of adventures through time and space"""	2006-07-30	3	3	0
B0009AK57Y	Doctor Who - The Complete First Series [Region 2]	ADOUBP7AMWGKU	"Adam Cole ""adamjoncole"""	"I've been a Doctor Who fan since the 1970s and was delighted when I heard the series was being revived. I was feeling pretty pleased for the first few episodes - the show had been updated, the effects were better, and the Shakespere-style acting of yesteryear was gone. The new Doctor was also a nice change, demonstrating that the character can be variable enough to go from being an aristocrat (Jon Pertwee) to somebody's goofy handyman uncle (Christopher Eccleston. It also helped that two of my favourite old enemies - the Autons and the Daleks - reappeared in this series. The Daleks, in particularly, were really nicely revamped and actually seemed scary (though more through their actions than their appearance). HOWEVER, I noticed a lot of problems with the new series that I believe - once all the hype and backslapping about the series dies down - will start to work against it. These are:1. CLIMAX-RESOLUTION: Probably the biggest problem. Each episode has a fast paced plot... until the end. Then, quite noticeably, the story runs out of puff. It's as if the writer (especially Russel T. Davies) suddenly realises that the story is supposed to end now and he hasn't worked out how to do it. For this reason, the climax of most of the stories seems like a tacked-on, half-hearted effort (e.g., ""Parting Of The Ways""). Typically we get to see a brief struggle between the Doctor and the villain/problem, followed by an almost instantaneous victory. The victory is rarely due to the intelligence of the characters, and usually involves pure luck or a really simple solution that takes a couple of seconds to complete. Even worse is when the solution is an utterly implausible cop-out like the one we see in the final episode. There is almost no dramatic tension toward the end of each episode and no sense of concern that the Doctor might not win. Rather, we just get to sit and wait for the next easy solution to pop up.2. EASY ENEMIES: The villains the Doctor encounters in this series are typically pretty fearsome - until it comes time to actually face them. Then they go down in a heap without any fight at all. We first see this with the Autons, being defeated within seconds with a simplistic gimmick. I spent most of the series thinking ""Gee that was easy. Why were they so worried?"" At least the Daleks got to do a bit of damage until their ultimately ridiculous defeat. It's when you realise they've been defeated in such a pathetic way that you might start wondering ""Did the writer actually put any thought into this story?"" The old series had its flaws, but it never came up with extreme grasping-at-straws style solutions.3. ROSE: I got the impression that the writers were trying to shove the Doctor's new companion down our throats every chance they got (most of the series centred on her). There's never been a companion in the series that has been as over-hyped as Billie Piper's Rose Tyler. Old fashioned as I am, I liked it when the Doctor's companions had a bit of class, or if they lacked it, at least had intelligence. The character of Rose is certainly not intelligent and is about as classy as Roseanne Barr. It doesn't help that she speaks like she failed the fourth grade, and can't seem to say the letter ""r"" without turning it into a ""w."" In the episode with the flatulent aliens, I kept wondering when she was going to join in, or at least ask the Doctor to pull her finger.4. AWFUL COMPANIONS: The additional ""companions"" also aren't great. Rose's mother Jackie is even less classy than Rose and can't seem to say anything without throwing a fit. Rose's boyfriend Mickey is a major loser who seems to be in the show as both the comic relief and the ""token black guy."" The biggest letdown was Captain Jack, supposedly a swashbuckler-type character (although we never really see this), whose main claim to fame (and apparently the only thing about him that the writers considered significant) is that he is gay. Wow. In the classic series, the companions used to have a bit more to them than this lot does.5. EARTH: For some unfathomable reason, the writers of the show decided to confine almost every episode to Earth or a satellite close to it. It's as if they aren't able to think beyond a London or Earth setting. Confining the series to one planet is a big mistake and it's going to get boring fast.6. DUMBING IT DOWN: I had the sense that the show had been dumbed down as much as possible in order to make it appeal to a bigger audience. I know they wanted the show to have the best chance it could, but this kind of display just smacks of selling out to me. The old series worked with all its high scientific concepts, regardless of the fact that none of us really understood them.7. CHEESY MELODRAMATIC MUSIC: The music is either ""stirring music"" for the emotive scenes (sounding like the soundtrack of a bad 60s romance movie) or ""spooky music"" (which sounds like Enya doing a warm up) for supposedly deep scenes.8. MORE WILL-THEY-WON'T-THEY RUBBISH: Finally, they had to include a soap opera element, with the possibility of a romance between the Doctor and Rose. Name one TV show these days that doesn't have the will-they-won't-they component. Again, another case of selling out in order to get viewers.In short, I found the series disappointing and I really didn't want to. The whole thing seemed to me like a lot of bells and whistles, designed to draw in viewers, but lacking the necessary substance beyond the surface glitter. Great special effects cannot cover for poor writing indefinitely. Eventually, when the novelty fades, people are going to start wondering why they praised this show so highly, and they'll probably start casting a fond eye back to the way it was. Trust me, I'm already there."	3.0	Dumbing Down A Legend	2006-11-11	52	28	24
B0009AK57Y	Doctor Who - The Complete First Series [Region 2]	A2NSX3ASG1MFI6	Adam Stoneman	I loved the new show and I loved Chris Eccleston as The Doctor.  Saw an episode of it at a friends house and after a week of going over the episode again and again in my head, had to buy it.	5.0	Great revival of an older series	2013-12-29	0	0	0
B0009AK57Y	Doctor Who - The Complete First Series [Region 2]	A32QTPSGSW84G6	Adina	I've been told by most of my family and friends that I would enjoy this show, but I was hesitant because i heard the first season wasn't as great as some if the later seasons. While there are moments that are tacky and lines that feel forced, I really love the idea of everything that happens in this season. I loved Christopher eccelston as the doctor, so I'm sad to see him go. Definitely a must watch!	5.0	Great show!	2013-04-09	0	0	0
B0009AK57Y	Doctor Who - The Complete First Series [Region 2]	AD877HAOT6PKV	Adriane	As expected, doctor Who is fun, interesting, and unexpected. I love Billie Tyler as Rose but my favorite Doctor will always be David Tennant	5.0	Doctor Who delivers	2014-04-30	0	0	0
B0009AK57Y	Doctor Who - The Complete First Series [Region 2]	A3SA871GU1RGXN	"aFoundObject ""designGrrrl"""	I was a huge fan of the &#34;old school&#34; Dr. Who from the BBC and decided to give the newer series a try. While I found the episodes to be really hit-or-miss, they still encapsulated the same fun spirit that I've come to expect with Dr. Who. Eccleson is a great, eccentric Dr., but his chemistry with Rose is pretty blah. I'm already into the second season and it gets way better, so stick with it.	3.0	Not a bad start	2013-02-18	0	0	0
