asin	title	reviewer_id	reviewer_name	review_text	rating	summary	review_date	total_votes	helpful_votes	unhelpful_votes
B0002PYS7Y	Arrested Development: Season 1	ATZUXIMB7PQ9U	"1060creative ""Peter"""	The pilot show was the best of Season 1! Now, that being said, I didn't love every episode of the season. But I'm told if I stick with it, it's very worth it. So I will.	4.0	Great start!	2013-05-30	0	0	0
B0002PYS7Y	Arrested Development: Season 1	A2IBT43RWS5UH3	47 ronin	I'm late to watching this, but found it enjoyable.  Neat to see all the stars when they were so young.	4.0	Really enjoy the show	2013-02-26	0	0	0
B0002PYS7Y	Arrested Development: Season 1	A2DHRZSPDGF09N	9spades	Arrested Development is among the most original comedies in recent history and very addictive.  Definitely worth watching as long as you have about 25 hours to watch the entire season and another 20 hours to watch seasons 2 and 3 (which have less episodes).  When you watch a few episodes you'll probably end up watching all of them.	5.0	Excellent.	2013-09-09	0	0	0
B0002PYS7Y	Arrested Development: Season 1	ARIJ0R32DXE6B	aabouniaj	Very funny show! Intellectual humor and unique. Jason Bateman is great in this and lots of funny awkward moments. I wish they would make more seasons.	5.0	One of my favorite shows	2013-05-28	0	0	0
B0002PYS7Y	Arrested Development: Season 1	A3F38B9MOLRBEQ	AAguiar	Hilarious! I couldn't stop laughing! I will have to watch again!!! Already started second season - it is so addictive! Love it!	5.0	A must watch comedy!!!	2013-08-31	0	0	0
B0002PYS7Y	Arrested Development: Season 1	A2GOAEF0ZRNG13	Aaron	Arrested Development is currently THE funniest and smartest show on television. The writing is razor sharp, the pacing just perfect and the cast!! Perfectly cast and brillianly acted, this show is just to good for regular television which may explain the lackluster ratings.  It's too cool and smart for average viewers weened on formulaic pap usually found on sitcoms.  BUT-kudos to FOX for renewing the program for another season. If you have'nt seen it, pick up this set and immerse yourself in it. Then start watching and supporting this great show.  I have neglected to describe the show's premise because one of the joys of it is to become acquainted with the large ensemble cast and get hooked on the show, and you will.  This show will become a classic!	5.0	The Best Show on TV !!! Period!!	2004-09-16	22	21	1
B0002PYS7Y	Arrested Development: Season 1	A255OJZCK5FYM8	"Aaron James Kocourek ""Aaron Kocourek"""	The early seasons are the best, if you are into quirky comedy like the Office you have to get this series! Arrested development is by far a awesome show!	5.0	Classic	2013-02-05	0	0	0
B0002PYS7Y	Arrested Development: Season 1	A30NH98O69N9NZ	Abby Robertson	I fell in love with this show during the first episode.  It is truly the funniest show on TV.  I rented the DVD from Blockbuster before I bought it, and spent maybe five or six hours straight watching it.  It's hilarious.  You can't pick out a favorite character because they're all equally funny.  Buy the DVD. WAtch it over and over.  Tell your friends to buy it and watch it.  Watch the new episodes on TV.	5.0	"""Arrested"" How I Love You (It's A Lot)"	2005-04-18	4	3	1
B0002PYS7Y	Arrested Development: Season 1	A3519FXP75YED6	"A. Becerra ""Oh, save me, Jebus!"""	Without a shadow of a doubt, the best show on TV.When you first step into the world of AD, you will be bombarded. You won't know how to take it in, really. But then you enter the fabled threshold. And then it hits--the realization that you are watching the best TV has to offer.Season One of Arrested Development hits a glorificent, unrelenting stride very few shows have ever come close to--and this is just its freshman season. It is unrivalled, unparalleled, untouchable--except by its own equal, Season Two.So do yourself one of the greatest favors you'll ever be greeted with, and get yourself this set. You'll wonder how you ever scrounged around this Earth without it.Oh, and watch the Season Finale of Season Two this Sunday. Everyone knows that this show, above all other shows, deserves another season, so let FOX know that.Come on! Hermano.	5.0	Greatest Show On Television	2005-04-15	3	3	0
B0002PYS7Y	Arrested Development: Season 1	A1W0MYGHRBZU6A	A. Card	I can watch these episodes over and over again. The nuances of each character are portrayed flawlessly by each cast member.This season was purchased for my mother and she just laughs out loud (which is no small feat). She tells me she is looking to buy the next season now. So glad that I found this show and hoping that the people that brought this series together would create something else as hysterically funny.	5.0	Best Cast on a TV Show Ever!	2009-05-26	2	2	0
B0002PYS7Y	Arrested Development: Season 1	A1HLZLGEHLNYKF	A. Carter	This is the kookiest show, and SO funny. It's really best to watch the episodes right in a row, because the running gags/themes are more obvious than if you watched each episode one at a time. My husband and I have watched all three seasons of AR multiple times and we still find jokes we didn't notice before, and they never stop being hilarious.	5.0	Best show ever	2013-04-24	0	0	0
B0002PYS7Y	Arrested Development: Season 1	A3P7NSY3XTLRFL	A. Dalton	I love this series.  I purchased seasons one and two when I was looking for a new show to get in to.  I had only watched this once or twice on tv, and liked it, so I decided to try it out.  Every episode is hilarious, and the actors are amazing.  I am seriously upset that the show has been cancelled, and feel bad that it took me and others this long to appreciate how unique and funny this show is.	5.0	Development cut too soon	2006-07-05	4	3	1
B0002PYS7Y	Arrested Development: Season 1	A2Q7MHG02P7C3D	"adam ""adam"""	"I should be studying for finals tomorrow, but I would rather review AD.  It seems that a lot of the people on here love this show.  I think it's funny because many of these reviewers didn't originally like the show or saw it on tv by accident and started wathing it, which puts a smile in my heart.  My story is very similar.  I saw about five minutes of one of the first episodes on tv and didn't like it.  Then I heard it won Emmy for Best Comedy, and since I am a lover of comedy, I thought ""Well I should at least try it out because I wouldn't want to miss out watching a great television program"".  So I watched an episode from the second season a few months after seeing that one episode from the first season and thought ""Meh"".  But I did like how the episode all came together at the end like a good comedy should.  I wanted to keep watching it, though and the next episode was one of the greatest pieces of writing I've ever seen.  After seeing only two episodes, I borrowed the disc 3 dvd from a friend who rented it, and watched the episode ""Let Them Eat Cake"".  I wasn't even sure if I really liked it that much, but the show just grabbed me and sucked me in.  After seeing only 3 episodes I knew I had to have these dvds so I put them on my Christmas list.  Hooray!  When I opened it Christmas morning I watched it and over the next few days finished the entire season.  Now I love the show.  I even put it in my five greatest shows of all time, which consists of Seinfeld, The Simpsons, South Park, Family Guy, and Arrested Development.  I love Gob, George Michael, and Michael.  The show is perfect and I want to watch The Office, since that's supposedly, from what I heard, a show crafted the same way as Arrested Development.Now for the second part of my ""Arrested Development Rules"" ""essay"", I want to just say that TG2 from Virginia, the reviewer about 3 reviews below me doesn't know what he/she is talking about.  Obviously if 3 people give the show a 1 star, 6 people give it a 4, and over 110 give it a 5, the people who gave it a 5 or 4 aren't wrong, you are.  You are outnumbered like 120-3.  How could you be right?  I suppose you just don't get it and that's okay.  Maybe when you're older.  Enjoy the dvd everbody!"	5.0	One Of My Top Five Shows	2005-01-27	0	0	0
B0002PYS7Y	Arrested Development: Season 1	A3G8XTN0TZ0O10	Adam B	Arrested Development is great...that is why I signed up for the Netflix free month to see season 4. Prime gives me all the 1-3 I need, streaming on my TV.	5.0	Great show	2013-05-30	0	0	0
B0002PYS7Y	Arrested Development: Season 1	ADW2PZZCJ3EYF	Adam D. Hayslett	I've been a fan of the show since the pilot and I've never written an amazon review, but this program and the dvd collection are both so fantastic that I feel it's my duty to spread the word. I would have paid 50 bucks for my 1st season dvd set because I watch at least 3 or 4 episodes a day. It's most definately the best dvd investment I've ever made. Buy it,  you will not regret it.	5.0	Genius	2005-05-14	6	5	1
