asin	title	reviewer_id	reviewer_name	review_text	rating	summary	review_date	total_votes	helpful_votes	unhelpful_votes
B00003CXXI	Shrek (Special Edition) [VHS]	A2FONFYLZNNN3Q		People don't like Shrek?  Look at my right eye twitchin'!Do you like THE PRINCESS BRIDE?  M.P.&amp; THE HOLY GRAIL?  Does the mere mention of a line from one of those two films make you giggle?  Laugh hysterically?  Do you value that?  Me too.Get ready for another one of those quotable fairy tale movies that will have you drying your eyes, running to the bathroom, and &quot;Mak'n'waffles!&quot;  Eddie Murphy adds a beautiful foil character to the film, allowing us to grow to love a green, snail-eating farter like the Big S.  He (Murphy) does not save the film, as he does MULAN, because the film is bigger than he is.  He fits.  And fits well.  And Cameron Diaz as the Princess?  Priceless!  I've gotta go preorder!	5.0	Great &quot;Buddy&quot; Film	2001-09-19	3	2	1
B00003CXXI	Shrek (Special Edition) [VHS]	AXJTNYD3UK1BP	"1smileycat ""1smileycat"""	This is one movie that never makes it to the bottom of our pile of movies! I have young children and they almost have the movie memorized! (as do I!!)Shrek is about an Ogre and a talking Donkey on a journey to rescue a Princess from a fire-breathing dragon so that Shrek can get his swamp back from all of the Fairy Tale creatures that have been evicted by Lord Farquaad in an attempt to make himself more popular.There is so much adult humor in this movie!!  In all the times I've seen the movie - I still catch something new I missed the first 25 times around!! The animation is awesome! There's even a song at the end with all of the fairy tale creatures involved - be sure not to stop & rewind too early!!This movie will keep you watching and laughing the whole way thru! Worth buying! Gather friends and watch as a group- the laughs will be even bigger!!**a word of caution to parents, there is one (and only 1 time, I think) naughty word in here...what's another name for a donkey?  Once explained to my kids - they don't even 'hear' it.**1smileycat :-)	5.0	Funny! Fun! You'll watch it Over & Over!	2003-06-12	4	4	0
B00003CXXI	Shrek (Special Edition) [VHS]	A3MIIBSYT0O79W	"2Cute@B4Got ""2Cute2B4Got"""	This movie is truly one of those rare jewels that comes along once every ten to twenty years.  It is destined to be a classic that appeals to both young and old.  I laughed and I cried.  My daughter and I enjoy this movie so much, we watch it at least twice everyday (We have owned the video since Thanksgiving 2001).  Moreover, this movie delivers a very strong message.  I am a movie buff, I have seen them all.  For me, this movie stands right up there with the classics.	5.0	This will be a classic	2001-12-29	0	0	0
B00003CXXI	Shrek (Special Edition) [VHS]	A2DB0MFER06YKO	A 10-year old viewer	I loved to see this movie.  This is Eddie Murphy's funniest movie.  I want to see it again & again & again.  I would recomend this to anyone.  My aunt actually laughed.  This probably can make anyone laugh out loud.  My favorite chacter is the donkey.  You might not agree with me but that's ok.  There is a very cool suprise at the end.  I won't tell u.  The main plot is for Shrek (Mike Meyers) and the donkey (Eddie Murphy) to rescue the princess (Cameran Diaz.)	5.0	the real green giant	2001-10-21	1	1	0
B00003CXXI	Shrek (Special Edition) [VHS]	A1C9K3I20UPVQA	"A. A. Silva Barron ""Alejandro"""	When I first saw Shrek I said to myself that I had to buy the dvd once it was available to the public. Then the official press realese came out stating all the &quot;wonderful&quot; extras the dvd had... It sounded  terriffic that I started counting down the days until Nov 2.Dreamworks threw all the effort away with this DVD, the extras suck big time, they are not even funny. The characters interviews are a waste of Memory and processors time. And why they repeat some of the same features in both DVD's?The set is full of games that are somewhat worth the price of what you are paying, but if you are not into learning how to draw Shrek's face, and singing along with the characters, the games are just a waste of space.Dreamworks still has a lot to learn about the dvd making from Disney. Disney Dvd's are by far a better experience and a better deal in terms of real special features that are a complement to the actual film.Nevertheless  Shrek is a great Film a must see...!	3.0	Great Film...lame DVD	2001-11-19	1	1	0
B00003CXXI	Shrek (Special Edition) [VHS]	A3JRAKUG0TB81C	"A. Bagchee ""Tech Snob"""	I know all aspects of the great story and comedy has already been covered by the 78 reviews written before me. I had read the the Wall Street Journal article on how Linux was used for achieving frame rates 10 times faster than what used to be possible on a Windows or SGI based workstations. As a programmer I really wanted to see the difference it made.The verdict? Its astounding!! Everything from shadows to textures is captured like never before. If you thought Bugs Life is as good as it gets, go watch this. After seeing the results SKG Productions has gotten through Linux, Pixar (makers of Bugs Life et al) is also in the process of ditching Windows for Linux :-)Get this on DVD. The joy you'll get is worth every penny you pay for it.	5.0	Technological Wizardry!	2001-05-25	0	0	0
B00003CXXI	Shrek (Special Edition) [VHS]	A32JKNQ6BABMQ2	"abe ""starman"""	there is this ogre whose crabby throughout the entire movie.a really obnoxious donkey,a nagging princess.yep you guessed it!a movie full of crappy characters.they used nickelodeons formula of gross out to carry it along.DISNEY SUCKS!10 years from now when everyone realizes it too.remember,i said it 1st right here on amazon.a cranky ogre and a jackass go to save a princess.thats it.the kids eat it up for some reason,but still prefer a lot of other far better childrens movies.its very low on the pixar food chain.there is fart,poop,and puke jokes all the way through.even the suprise ending is far less than stellar.every character in this one sucks.they have personalities not compatible with other lifeforms.mike myers did the voice?well,theres one more failure for his long list.they made a 2nd one with the money they made off all the suckers who saw the 1st one.it probaly sucks too.	1.0	aw man!	2004-09-10	35	1	34
B00003CXXI	Shrek (Special Edition) [VHS]	A1LFWNV8B7TRH7	"Abraham P. Backus ""abackus"""	Great fun for all of us.  I agree that some of the humor may walk the line (like the simpsons), but it is really funny.  It isn't the same worn out potty humor of Jim Carrey or Mad TV. I don't laugh much, so my wife was suprised to see me laughing like crazy toward the end of the movie.  Everyone in the theater enjoyed the matrix scene and the macarena scene and all the other references to other films.  I kind of think that this was the point of a lot of the humor in the movie.  For those that watched the movie and don't understand this or have a problem with it, rethink the music you listen to and the software you use.  Then just get over it.  If shaggy can do it, so can dreamworks.If you're looking for some type of &quot;masterpiece&quot; movie, I would recommend watching &quot;eyes wide shut&quot;.  For a very good and refreshing laugh, watch Shrek.	5.0	I laughed	2001-05-26	1	0	1
B00003CXXI	Shrek (Special Edition) [VHS]	A3DGB4HN3QCGAL	A. Burchfield	I guess I'd give this movie 3 1/2 stars if I could, some of the humor would be a little too adult for small kids and I didn't care for some of it either. I did like most of the characters and their voices, Shrek was one of the best. The computer animation was fantastic, much better than Final Fantasy, I thought you could almost think the characters were people in rubber suits. I think that I read the animators gave the people a little less than realistic movement in order to preserve the cartoon aspect, that seemed evident at times. The plot was predictable but then most movies since the beginning have been.	3.0	Didn't care for some of the humor, voices &amp; animation great	2002-01-06	2	0	2
B00003CXXI	Shrek (Special Edition) [VHS]	A35W9QVDRADEA1	"""acousticsgirl"""	I expected this film to be clever and witty, more like Toy Story or Antz.  I don't see the difference between this and many of the weak comedy entries this year.  This felt like a studio trying to break in to the smart funny Pixar world, and failing.  After Prince of Egypt I expected something classier and better quality than this dreck.  I can't believe this was the highest grossing movie of the year.  And even worse- critics have given it high marks!  I just don't get it.	2.0	How much toilet humor can you stand?	2001-12-14	2	1	1
