asin	title	reviewer_id	reviewer_name	review_text	rating	summary	review_date	total_votes	helpful_votes	unhelpful_votes
1419819100	Polar Express	A3BHQI408PGJOE	1st Grade Teacher	The Polar Express is a favorite Christmas movie for my students and our whole family!  We watch it every year!  Timeless!	5.0	Highly Recommend this movie for children and adults alike!!	2013-12-07	0	0	0
1419819100	Polar Express	A6R8QACOPF9FR	2bugged	Kids love this movie! I only wish it was the dvd and Blu ray combo so we can take it with us on a trip	4.0	Polar express	2012-12-18	0	0	0
1419819100	Polar Express	A23WMXH1HXAXT2	8742	i have wanted this movie for over two years now. i am really glad to be able to get it thanks	5.0	polar express 3d	2013-02-08	0	0	0
1419819100	Polar Express	AUNNHETBM5FFH	Aaron1100	I've always seen this every Christmas with my young nephews and always enjoyed it. It was time to add it to my own favorite DVD collection when I'm not able to visit them at Christmastime. Always reminds me of them!	5.0	A favorite every Christmas!	2013-12-29	0	0	0
1419819100	Polar Express	A1KW5V38C5A7NJ	Aaron	I usually buy &#34;Prime&#34; only.  But I took a chance on this DVD because of the price.  The DVD arrived a lot sooner than promised and was &#34;like new&#34; just like it was advertised.	5.0	Fast Delivery and As Described!	2013-09-19	0	0	0
1419819100	Polar Express	AR04THYTE76DL	aaron smith	the movie was shipped fast. it was in great quality. i will shop with them again i have very awesome experience thanks so much	5.0	The Polar Express	2012-10-16	0	0	0
1419819100	Polar Express	A266IFC7GKYEWF	Abby O'Neil	Love how it encourages kids to keep believing in the magic of Christmas!  A fun holiday tradition to start with your family!	5.0	Great movie	2014-01-07	0	0	0
1419819100	Polar Express	A16HQM8DBFRN92	Abdul-Infinite	This movie is absolutely spectacular.  If cold weather gets you down this movie will put you back in the Christmas spirit and make you appreciate the beauty of cold and icy weather like never before.  Watching this movie you can physically feel the cold, but like the kids in the movie running around in pajamas it allows you to see and feel its beauty in comfort.  The train take you on a magical journey where you meet a nomadic character who lives as a train-hopper and serves as your gaurdian angel, and in the end if you overcome your fears you get to meet the most magical one of all, Santa Claus.  The frost that glistens and shines literally jumps off the screen at you from the frozen train.	5.0	see the beauty of the icy cold winter magic	2014-01-03	0	0	0
1419819100	Polar Express	A3UT41TWD7N0D5	AbeStreet	This movie is a nice adaptation of a respected children Christmas story.  It's the story of a boy, perhaps a pre-teen, and his struggle to believe in Santa Claus.  On Christmas Eve he is whisked away on the Polar Express to the North Pole.  He, along with some new friends he encounters on the train, encounters a series of adventures on his way to the North Pole.  Once there he finally comes to terms with what he believes about Santa Claus.The movie includes all the scenes from the book and adds quite a few characters, events, and action sequences to the story.  Even with these additions to the story the theme is still the same as the original story in the book.  The story is somewhat darker than the traditional Christmas specials and movies marketed for children.  The story takes place late at night and because the children in the story are put in life threatening situations this movie may scare young children more than it entertains them.I may no longer be able to hear Santa's sleigh bells but this movie made me wish that I could.	4.0	I can no longer hear the sleigh bells, but I wish I could	2005-12-01	2	2	0
1419819100	Polar Express	A3NA9OV7V6JV6Z	ABM	This is a sweet movie that fits nicely with the few other great movies for the holidays. One of the things I like best about it was how the seemingly smartest and best cared for children took under their wings a shy poor boy who needed their help to come out of his shell. I watch this movie at least once a year during the holidays.	5.0	Sweet movie	2012-12-01	0	0	0
