asin	title	reviewer_id	reviewer_name	review_text	rating	summary	review_date	total_votes	helpful_votes	unhelpful_votes
0788882988	No Country for Old Men	A341EIR49GETZ7	1of1	you cant beat this movie an if u think u have a better one im yet 2  c it seen it 5 pluzn times.an im not stopn ther	5.0	dam guud	2011-11-26	2	0	2
0788882988	No Country for Old Men	A1ALOIPRR8Q06J	"2 cents ""meaningless memes"""	"Go to film critic Jim Emerson's blog, ""scanners"". Just google ""Jim Emerson"" and you'll find it.Read Jim Emerson on NO COUNTRY FOR OLD MEN and read a letter Emerson received from a viewer of the film. I promise you that these two commentaries on this film will help you better appreciate it.What I want to say here is something people have to understand is that a movie is not only about what it is about but also HOW it's about, what it's about. OK? Meaning is to be found in the way the story is told and what is left out of a picture sometimes adds to the picture. Less can be more and what is not there can say just as much, if not more, than what is.Let go of super conventional western/American hang-ups about having a concise, tiddy ending. It ends exactly where it needs to. The way the movie comes to a close has to do with what the story itself is about. Try to be more open minded and you can appreciate more."	5.0	A Classic.	2008-03-09	0	0	0
0788882988	No Country for Old Men	A3EE0H0NWQ9QVL	"&#34;Rocky Raccoon&#34; ""Hey, Doc, It's Only ..."	"Times have changed. Surely that's what Sheriff Ed Tom Bell (Tommy Lee Jones) has in mind when he visits an old friend and commiserates about how things ain't like they used to be.  ""This land's hard,"" muses his friend.  Another police friend has examples of kids with green hair and bones in their noses who have left out ""Sir,"" and ""Ma'am"" out of their vocabulary.  They both shake their heads over ""The dismal tide"".But, really we're not all that ready for the events that happen, either.  Significantly, a chilling psychopath, Chigurh (Javier Bardem) goes on a rampage, slipping out of a U.S. border town deputy's hands with the coolest and calloused of skill. He's involved with a drug ring, one that has a shoot out that's left about a dozen dead in the desert.  Besides a gun that has the force of a lightening bolt, his weapon of choice is an electrical device--one that's meant to quickly put cattle out of their misery (something like a hydrolic nail dispenser).  Just like Tommy Lee Jone's portrayal of Two Face in 'Batman Forever'Batman Foreverhis bitterness of fate has his victims choosing heads or tails in a coin toss, meant to mirror the randomness of bitter fortune in his own life.  The difference is that in the 'Batman' movie it was campy; here it comes across with deadly solemnity--one that hits you right between the eyes.  The only one who comes the closest to understanding him is Carson Wells, (Woody Harrelson), a man with corporate ties whose one conversation reveals quite a lot.So it goes with the rest of the movie.  A Vietnam vet, Llewelyn (Josh Brolin), takes the center stage.  While hunting antelope in the desert, he comes across the aftermath of the shootout and discovers a cache' of money.  He isn't too forthcoming with his wife, Clara Jean (Kelly Macdonald), but he's on a mission as someone who hasn't seen too many breaks in his own life.  Chigurh's stalking has so many twists to it that I found myself craning my neck as if I had to look around the corner from getting shot.  It's all cat and mouse, and the villain seems to almost possess an unnerving omniscience for anyone who gets in his way.  Chigurh eventually uses Clara Jean as bait for Llewllyn to give the money back.  While I've seen many movies where the villain uses the spouse as bait, this movie rendered it so refreshingly original, I felt I was watching this plot component for the first time.It has been said that the Coen Brothers are masters of plot.  Here they draw from the same-titled novel by Cormac McCarthy.  While I haven't read the novel, I am grateful that, although I'm a big Coen Brothers fan, they didn't resort to kidnapping in any frame of the movie.  Besides that I never knew where this movie was going.  There's still the ingenuity of the Coen Brothers' irony, but they rely heavily on one of the most chilling portrayals of any villain I can think of in cinematic history.  This movie is also the most violent of any I've seen this year.  (Considering I've seen '3:10 to Yuma' and 'Eastern Promises' among them, that's saying a lot.)For all it's innovation and startling violence, 'No Country for Old Men' has to be one of the tensest and best movies woven together all year.(The special features are worthwhile.  I must note that if you're looking for a definite commentary for the ending, you'll need to look elsewhere [although they certainly explain the theme well which is at least half of the framed ending.]  ""Working with the Coens"" goes for less than eight minutes.  Commentary on the movie is worthwhile and clocks in at about 23:00.  There's also a worthy third section that is approximately seven minutes long. For me I couldn't get enough.  If you don't mind going behind the curtain to see the secrets of the magic show, then the extras are quite worthwhile.  [Within Amazon Miles Moore's commentary ""Yes, Virginia, There's a Plot Resolution in 'No Country for Old Men'"" illuminated a lot for me.  Some other discussions suffice.]  I think Cormac McCarthy wanted people to have the theme and concepts stuck in their heads rather than a neat resolution.  Real life is often like that.  I keep thinking of real life serial killers:  Son of Sam and The Zodiac Killer.  Justice catches up to them, but some things in life are elusive--just like the movie.  I like being able to glimpse Sherrif Bell's head at the end.  ""You don't know what He (God) thinks,"" says Bell's friend, played by Barry Corbin.  (This character is essential for assuaging Bell from stepping into the chasms of pride and despair.)  I think there's hope ""kindled"" in Bell's mind at the end, but you can buy this film and watch it over and over again and decide for yourself.)"	5.0	"""The Dismal Tide"""	2007-11-24	7	3	4
0788882988	No Country for Old Men	A38UEOX7HCVNUE	"926 Daytripper ""926daytripper"""	No Country for old men has an interesting plot but you might be very disappointed in the ending....there is none!  Waste of time	2.0	No ending....	2014-01-25	1	0	1
0788882988	No Country for Old Men	A27UQVIHOV925Q	Aaron	I recommend this movie to anyone that's into realistic, real-life type genre. it'll get your heart racing because you sometimes forget that it's just a movie. well, at least I got that into the movie.	5.0	Just something about it.	2013-07-21	1	0	1
0788882988	No Country for Old Men	ACU0THLIAXPVF	A. Balow	"Once again the Oscars prove that they have no ability to label what is a ""good"" and entertaining movie.  This is the biggest over-hyped, 2-hour long ""AVERAGE"" movie I have seen in quite some time.  I love movies, love them...and in my opinion have a very wide range of tolerances towards movies that want to bring the viewer into the film, surround them with characters and scenarios, but those wonderful movies also leave you at the end with closure.I understand this was an ""artistic"" movie as so many other people have commented.  But to say that it is a theatrical masterpiece is pushing the limits!"	2.0	Another Over-Rated Oscar Movie	2008-03-14	13	4	9
0788882988	No Country for Old Men	A10HUY256SGEQI	Abhilasha Satwah	This is an awesome movie, but for those that are looking for special features, don't expect much. Great movie regardless.	4.0	Great movie	2013-01-17	1	0	1
0788882988	No Country for Old Men	A1MO7U1JN0O8ZG	A. Brodie	"It's a lofty statement, but hear me out.  The film is a perfect meditation on violence and how it is destroying our country as we know it.  The film is not meant to be senseless violence, to all you idiots out there who decided that that's all the film was.  As is the case with all Coen Brothers films, you need to look deeper than what is on the surface.  I mean, at first glance, Fargo is a disturbingly unsympathetic kidnapping and murder story.  But once you look into the subtext, and you really focus on what all of the individual events mean, everything makes sense, and the true genius of the film is revealed.No Country for Old Men is exactly like that.  While it is a perfect modern western in all of its amazingly done shoot-outs and suspense scenes, there is so much more to everything that happens.  Anton Chigurh isn't just a psychopath after money at all costs.  He is an omen, a prophet of destruction, leaving death behind wherever he goes.  He flips a coin because chance is a part of fate, and it determines who lives and who dies.  All of the violence in the film isn't made for just pure cinematic enjoyment...it is made to show just how out of control our society can get, and how powerless the law is over such cruelty and depravity.The ending perfectly sums everything up.  I will not give anything away, in that it is a customer review, but focus on what each individual scene towards the end means.  I'm so sick and tired of people critisizing the ending because it is ""dull"".  The ending was made to express the themes and ideas brought into play by the rest of the film in a beautiful, poetic way.  So please, stop critisizing the ending just because you don't get it.  If you understand it, and still don't like it, that is a different story, as you're entitled to your own opinion.  But just don't complain about the film just because the Coens made it have a meaning, and it wasn't just stupid mindless violence."	5.0	One of the best films ever created	2008-04-03	4	2	2
0788882988	No Country for Old Men	A1LBAC84TLIGAX	"ACEMAN1 ""HERE TO PISS YOU OFF"""	I enjoyed No Country For Old Men, it was an entertaining and compelling film, but it was flawed at the same time. So, I would have to disagree with Roger Ebert's proclamation that this film is flawless. This film has a lot to offer to people who have a dedicated taste in movies and who don't get bored easily.WHAT IT'S ABOUT: A drug deal in Texas goes sour, drug dealers end up dead. Then a man discovers the crime scene, and takes some things he shouldn't have (Some guns and $2 million in drug money). After he takes this money he sets off a deadly game of kill-or-be-killed when the killer comes back for the money and discovers it's gone. He hunts the man who took the money and won't let up, and even kills anyone who gets in his way to finding this man.MUSIC: There is no music, it's like watching an Albert Hitchcock film. This is one of the reasons I find the movie to be flawed is the complete absence of music.ACTION: This film can be suspenseful, bloody, and just downright violent. There are quite of few shooting scenes as well, which adds to great action.ENTERTAINMENT: Usually this film is quite entertaining, but sometimes the dialogue goes on for toooo long (The coin toss scene is the biggest one). This film has its share of satisfying, suspenseful, and surprising moments of violence, but then I can't help but get pissed at the terrible ending (You don't end a movie like that, dammit!). You will enjoy this film if you have fairly decent taste in movies, but be warned of the long dialogue and bad ending.OVERALL: If you're not sure about it, rent it first. This film caters to more specific tastes in movies, so be warned.THE GOOD: Good bloody action, suspenseful scenes, and quite a few surprising moments.THE BAD: Awful ending, no music.	4.0	AN ENTERTAINING AND COMPELLING MOVIE  8.5 OUT OF 10	2008-08-14	1	0	1
0788882988	No Country for Old Men	A2ZZBS3FI4K3W4	"acrid.one ""acrid"""	"When this movie initially dropped into movie theatres Fall of '07, the hype behind it was not nearly as big as when it was introduced as a competitor in the Academy Awards race, Obviously.This picture is not your average, ""Every detail mapped out, motive and plot is clear-as-glass kind of Flick"". If you're looking for that, rent a Michael Bay film (Transformers, Pearl Harbor)The actors portraying the characters are all on point; the art of acting at it's finest in my opinion. Josh Brolin's role is, for lack of a better phrase, a ""beer drinking redneck"". Quiet as kept, this Vietnam War vet wants nothing more than to smooth out a situation that, in some ways, unexpectedly landed in his lap. The suspense begins when we find out that a homicidal maniac(Javier Bardem) is after that same incentive. Tommy Lee Jones is the rugged Texas Sheriff placing the pieces together as the story unfolds; this role was made for him.As it was put in another review, the principle of the film is ""fate and circumstance"", a signature style of the Coen Brothers. The consequences of the character's actions impact the film greatly, so don't upset yourself at a sudden twist of outcome; this picture displays the fact that resolution and success is not always a likely result, sometimes matters go unsolved and/or astray. I can not recommend this film enough; ultra violent yet never lacking substance. At times it seems to slow, but give it a while as it will definitely pick back up with a new situation. Definite rent and/or purchase."	4.0	Believe the hype.	2008-04-11	0	0	0
0788882988	No Country for Old Men	A3MV1KKHX51FYT	Acute Observer	"No Country for Old Men, 2007 filmSheriff Tom Bell had this job since age 25, and talks about his experiences. A deputy is attacked by a prisoner who gets away to kill a man. Another man hunts antelopes and sees a group of cars with dead bodies around them! A pickup truck there is filled with packages. He sees a dying lone man with a satchel full of $100 bills. A drug deal gone bad? He leaves with the satchel of money and returns home to his wife. After dark he returns to the crime scene. [A fatal mistake?] He is chased by men and a vicious dog. He runs away, then shoots the dog. A customer talks to a store owner on strange topics. At night men look over a car. The law is on the trail of a killer, and finds the drug deal scene with the bodies. The killer visits the trailer park to look for Llewelyn. So does the Sheriff. Moss looks for a place to hide that satchel - in an air conditioning duct! Telephone records leave a backtrail.That entry wound in the forehead left no bullet! Moss buys a shotgun, then returns to the motel. An electronic device is used to locate that satchel! [A lesson in found treasure?] But Moss escapes. A man is hired to search for that killer. Moss searches the satchel and finds that device. But someone is still on his trail! There is a silenced shooting. Night time shooting does not cause an alarm? Moss dumps that satchel by the border, then crosses the border to find a doctor. That killer stages an explosion so he can loot a pharmacy and steal medicine and supplies to treat wounds. Mr. Wells finds Moss in a hospital and bargains for the money; he warns him about that killer. The sheriff talks to Mrs. Moss about her husband. The killer finds Mr. Wells in his hotel and talks for a while. The killer knows where Moss is, and asks for the money.Crimes are detected when something happens to attract attention. Moss continues to hold on to that satchel. A friendly stranger helps an old woman with her suitcases. A man stops to help a stranded motorist. [It's the law in some states.] The Sheriff finds Moss at the motel after others have found him. He visits an old man to talk about quitting. Mrs. Moss finds an uninvited visitor in her home. He flips a coin, and leaves. There is an accident at a stoplight. The killer walks away, his arm in a sling. The Sheriff talks to his wife about his past life; he is now retired. And then the film ends!What happened to the rest of the story? Until this it was better than earlier Coen Bros. products because it was adapted from a successful novel. Do the Coen Bros. have a fatal flaw that prevents them from making a good product?This is a story about a chase for unearned wealth, like ""The Maltese Falcon"" but without the happy ending. There is a coldness to this story and its characters that seems unusual. Note the phrase ""last man standing"" in the beginning. Does this movie have any redeeming social value? The fatal flaw of Llewelyn was taking a satchel of money that didn't belong to him, and not reporting the dead bodies to the police. It brought grief and misery instead of promised joy. Then, he went back to that crime scene and got identified by the other criminals (who must have had night vision binoculars)."	3.0	A Drug Deal Gone Bad	2011-10-28	4	2	2
0788882988	No Country for Old Men	A1GMWZ241WHISV	"Adam Haas ""Xoxidine"""	One of the most intense and amazing films I have ever seen. No Country had it all. Though slow to start, you are rewarded with amazing characters and tense situations. There is virtually no music in this film. They primary sound is the wind which calms and intensifies the film throughout. Highly recommended if you are a fan of great drama/action flicks.	5.0	WOW	2008-04-21	3	0	3
0788882988	No Country for Old Men	A2SM773IH5BX8H	"Adam Lancaster ""ASL"""	Has become on of my favorite movies of all time.  Movie directed by Cohen Brothers and they did a good job just as usual.  The acting and direction was amazing!!	5.0	Wow is all I can say!	2013-12-06	1	0	1
0788882988	No Country for Old Men	A15QYUAM6RDXB	Adam T	This is a non-Hollywood, quirky, violent, action movie. And the &#34;bad guy&#34; is really, really excellent. Tense, tight, well paced. Certainly not for everyone and perhaps not a good date-night movie but for the tough out there, recommend.  This is a suspensful movie.  Worth while.  Very fun to watch.	5.0	Great movie.	2012-12-23	0	0	0
0788882988	No Country for Old Men	A14C2R4O3W45H0	Addicted to Amazon	The 'bad guy' in this film is just plain evil, and always one step ahead of the good guys.  Beyond the evil, there's also disturbing twists of fate.  Yes, I realize I've sold the film for some...  I do have to give the film credit for good acting with 'real' people.	2.0	Totally twisted	2014-05-26	0	0	0
0788882988	No Country for Old Men	AW14FEQO4JF64	adollarfifty	Psychosis as an air-borne disease. I looked for the coupon to mail in to get the ending, but there was none.	2.0	As trite as cynicism could make it.	2008-05-14	9	3	6
0788882988	No Country for Old Men	AMWEXP3XIS1T5	A E Thomas	This was the first time I used the service and it worked perfectly.  I have an older desktop hooked up to my 63 inch flat screen and the movie didn't stop once.  I use the service again.	4.0	I liked the service	2013-09-24	1	0	1
0788882988	No Country for Old Men	ABLQ6RDBAB5BG	A. Frank	"I've never been able to stomach C. McCarthy' books- too terrifying, too much testosterone, most likely.  This is one grand exception in which I would interject my sex (female) as a primary reason for disliking something.  But I am and I do.  So had I known the source of the plot, I would never have sat down to watch this.  But I did, and inspite of the shaking and wincing and trips to the other room, it was brilliant.  At some point I began to see Chigurh as Death and very much like Bergman's Death in the Seventh Seal, and then this movie began to unfold likewise.  Chess or coin toss, Death is occassionally moved to allow a sense of chance, though most likely because in the end, it doesn't matter.  The Seventh Seal makes sense of otherwise faulty scenes, eg., what is the purpose of Woody Harrelson's Character?  I found him to be like Skat up in Bergman's tree, asking if there aren't any exceptions to be made for actors, whjile Death persists in cutting the tree down.  I was also reminded of the end of the Seventh Seal,  when the wife of the knight remarks something like ""Oh you and your visions and dreams.""  Chigurh seems to be the only one exempt from Death.....  I just erased a bunch of plot comparisons because you don't really want me to tell you the whole movie, but  Outside of plot comparisons, the filming has a similiar beauty about it - landscape shots are stunning in their starkness-and even when littered with bloated murdered bodies there is striking artistry.  My favorite lines in the movie are from Moss' wife at the end, which is a perfect summary of the one thing every victim of a predator should know in their heart.  There is little if any sound track (I don't remember any), adding to the minimalist drama of the film.  Very interesting, but not really for the squeamish."	4.0	violent and brilliant	2009-11-10	3	1	2
0788882988	No Country for Old Men	A1LKIDHAT67TME	"A. Freeman ""Seeing Bear"""	One strange movie but not boring.As a mother/grandmother, I'd lock this one away from the kids.	3.0	No Country for Old Men  with Tommy Lee Jones	2008-08-31	3	2	1
0788882988	No Country for Old Men	A319Y83RT0MRVR	AIROLF	I was totally confused by this film. I must be missing something because I don't understand what the fuss is all about. I'm not even sure that I find Javier Bardem's performance that compelling either - the character is interesting but Bardem's execution? I'm not sure how much it adds to the character.	3.0	unjustified high praise	2009-05-08	5	2	3
0788882988	No Country for Old Men	A1PXJJLH2ZN5PN	A. Jarvis	i'm amazed at the positive reviews of this movie. it was terrible in my opinion. very slow, couldn't understand half what everyone was saying. about as bas as 'the happening'...i got nothing out of this movie....let the comments ensue lol.i watched it for free and feel like i got ripped off	1.0	terrible	2009-01-22	15	3	12
0788882988	No Country for Old Men	A2SNGXHTBD6VFQ	"A. Katulski ""weldorbutch"""	This movie made no sense. The actor's were ok but as I said before, good guys win,bad guys lose!	3.0	?????????????	2008-03-22	11	0	11
0788882988	No Country for Old Men	AAFFN6MXVXV4V	A. Killion	you know how many people i know in el paso?  exactly this many.this movie is just stupid good.  so good it's stupid.  i can't get over how awesome this movie is.  seriously.  and the scenery in blu-ray definitely jumps and definitely makes this worth owning on blu-ray.	5.0	amazing	2008-04-18	5	1	4
0788882988	No Country for Old Men	AN39URIQD9ZRA	AkulJay	"As the story dealt with the chase of the protagonist by a vicious killer, the movie was very riveting till the last 20 minutes or so. The end was as anti-climatic as it possibly can, and at that time one realizes that this was another ""Pulp Fiction"" like movie in which heinous criminals are celebrated, and law-enforcement is either absent or entirely inept.This could not be the reality since if nine murders, including one of the police officer, were committed in Texas, the entire state and FBI would be chasing the culprit. In this demented fantasy, only one sheriff is wee bit concerned and he spends most of his time in banal musing/discussions, whence comes the title.The ""main"" character in the movie is so dim that on finding a lot of cash in a box, belonging to smugglers, he wants to keep the money but never counts it, nor does he change the box! Had he counted the loot, he could easily spot a transmitter in there and even a retard would have changed the briefcase or box. All the cleverness is ascribed to the savage killer who is so super-human that he can wiggle out of handcuffs and can be present at any place he desires, with a silencer-equipped machine-gun no less, and police is unable to find him.A society where such depraved movies are feted and get most big awards obviously has people whose psyche is very sick deep down. It is a saving grace that this movie was far from popular with the general public and N.Y. Times critic had called the book: ""Sinister High Hokum""."	1.0	A Demonic Fantasy	2008-03-02	81	23	58
0788882988	No Country for Old Men	A2FP90NW2U8PDN	Alan Hogan	If mass-produced movies make you gag, standout No Country will go down easily.This adaptation of Cormac McCarthy's novel won an Oscar for Best Picture.  To those who had seen the movie, that came as no surprise.What makes No Country so captivating is the moral dilemma posed at every turn.  The very human characters must choose between not just the typical good atd evil, but between hubris and resignation, between money and love, and between trust and going it alone.  The often-bloody consequences of these choices force the viewer into a stunned silence as he or she evaluates what is really most important in life.Unless you can't stand violence, there is no reason not to see this movie.	5.0	Excellent, Original, and Startlingly Real	2008-03-01	5	2	3
0788882988	No Country for Old Men	AM1TNNK47LAN2	"Alaska Girl ""Always reading"""	Very fast service. Received in good time and item is as shown. son enjoyed the movie. Great sale as always.	5.0	Great movie!	2013-03-11	4	1	3
0788882988	No Country for Old Men	A2S1I8ZZPK95FP	Alec	An absolutely fantastic film, and the Amazon video version of it was very high quality. It offered multiple audio options. We chose Stereo, which sounded great.	5.0	Great movie, great transfer	2013-03-28	3	1	2
0788882988	No Country for Old Men	A1LFAZHEOKCCON	Alexander Cusick	This is a good movie with cool shots of out west. Slow moving but worth it if you have the time. Develops from a typical western style movie into kind of a psychological thriller.	5.0	Rough life is real	2013-06-05	4	2	2
0788882988	No Country for Old Men	A1L9T258BHJZFE	Alexander	This is a movie that requires the viewer to pay attention and to use their brains in order to understand the film. The Academy got it right with the awards granted to this picture.The Tommy Lee Jones character was one that I could easily relate to; he's burned out at the end of his career, preferring to spend time in the coffee shop rather than re-visiting the bloody crime scene like some gung-ho young deputy. Notice his nervousness and hesitation at the motel when he sees that the room lock has been punched - he doesn't want to, but he has to go in. The ultimate realization that he is overmatched by the changing times causes him to retire, and none to soon as the final scene so clearly demonstrates.Recall the scene where Anton is talking to Moss on the phone and doesn't want to get blood on his shoes - what does Anton do after he leaves the house where Carla Jean was?The car accident scene was wonderfully staged - I loved the part of a seriously injured Anton buying the shirt from the kid, just as Moss had done earlier at the Mexican border.The picture is just of chock full of scenes that convey satisfaction to the intelligent viewer. For the rest of America, well have no fear because the next Jennifer Aniston mindless drivel vehicle is right around the corner.	5.0	No Movie For The Thoughtless	2010-08-19	8	4	4
0788882988	No Country for Old Men	AJANT00X1MMJE	Alex Fisher	Great way to get the consumer to build up a Blu-Ray collection, double-dip a year after the original release.	1.0	Shame on the studio for double-dipping	2009-02-16	14	3	11
0788882988	No Country for Old Men	A22LS6RRKQ3NLO	Alex	Such a great movie. A must watch! Pretty cool that you can watch it live stream on Amazon. Definitely the way to go.	5.0	No Country For Old Men	2013-07-03	1	0	1
