asin	title	reviewer_id	reviewer_name	review_text	rating	summary	review_date	total_votes	helpful_votes	unhelpful_votes
0790729725	GoodFellas	AZ1VJW1GBHCE5	7DogNight	I usually enjoy De Niro - and he gave a good performance in this movie.  But the story line told of a group of people who have absolutely no class.  Plenty of money, hostility, and aggression, but totally lacking in civility.  The macho excessively ritualized manners were laughable.  If I wanted to be exposed to this I'd move to the Jersey Shores.  Really found it obnoxious.	2.0	Not to My Liking	2013-09-19	0	0	0
0790729725	GoodFellas	ABHKBHETXHSYR	Aaron (cisco1@slic.com)	An excellent way to ruin an INCREDIBLE movie is to put it on dvd and then make me have to get up and flip the damn thing halfway through.  I don't have to do that with The Deer Hunter which is 3hrs long.  I honestly think  that you ruin the whole feel of the movie in those few seconds.  And  finally isn't this the reason most of us avoided buying laserdisc players?	1.0	Goodfellas is a flipper, of all the rotten luck!!!!	1999-10-13	6	4	2
0790729725	GoodFellas	A211I17C9VED52	Aaron Davies	The Blu-ray really enhances the picture quality of the movie.  I bought it primarily to see if the blu-ray was worth it on older movies, and I believe it is.	5.0	What a difference	2008-08-10	2	2	0
0790729725	GoodFellas	A25TM6Q7ROIR0Y	ABC317	A classic!!  This is such a great movie.  A true mobster genre fan has to have this in their collection.	5.0	Great movie!!	2013-11-02	0	0	0
0790729725	GoodFellas	AAKGTWGAFT1LQ	A C SHIELDS	This is a film about the Mafia but there are other aspects that make it such a memorable film , such as being in a gang no matter what the cost and the demands of keeping up a certain lifestyle .Martin Scorcese takes you on a ride that is a little draining but the actors show you why that is . The people either burn out , go to jail or die .One could say that the moral of the film is that ' crime doesn't pay ' , but that would be too simplistic and there are more layers to the film .The commentaries are informative and the Special Edition is very welcome .Buy this version of the film to get a better perspective on the whole thing .	5.0	A cautionary tale and a modern urban horror film	2005-12-27	2	2	0
0790729725	GoodFellas	A1N3VPXSAO87IB	A Customer	This is one of the best film's of the 90's and next to the godfather, the best mafia film ever. The dvd however leaves a lot be desired. number one you have to turn it over halfway thourgh the movie. they couldn't put the whole movie on one side this is riddiclious, i can atleast watch the vhs without intruption of turning it over. The  other problem is there are no features at all and that is pittiful for such a great film. Warner brother's please put this out in 2 disc special edtion, untill then I will stick to my vhs and recomend you do to.	1.0	horribile dvd, great film	2003-12-25	14	8	6
0790729725	GoodFellas	A3I0OHOCV4VWJH	"Adam S. Mussell ""asmussell"""	Great movie, not really needed on as DVD format, but if you have some money to burn and don't like VHS get it. Will always be a mob classic. Some of Liotta's best work and any movie with De Niro and Pesci has to be good. If you don't like violence then look somewhere else.	4.0	Goodfellas DVD	2002-01-06	1	0	1
0790729725	GoodFellas	A2PLEQNAV61VC0	"A. Dennis ""skateboarding saved/ruined my life"""	I don't see the point in writing a long drawn out synopsis of the movie Goodfellas because if you haven't seen it then quite simply you're blowing it big time.One of the best movies ever created... EVER.The bonus features for the 2 disc special edition are great. Interviews with everyone involved from the production crew to all the main actors.Having the standard version of this movie on DVD is okay, but you can't call yourself a true fan of Goodfellas unless you own this edition.[trivia: Saul Bass is the designer who created the artwork for Goodfellas. He also came up with the opening titles, which are as important to the movie as the rest of it. Bass designed nearly ALL of Alfred Hitchcock's film posters (Vertigo, Rear Window, North by Northwest, The Birds, etc).]	5.0	a MUST have	2008-02-13	2	1	1
0790729725	GoodFellas	A3P5DOF3JFQPGU	"Adolfo Guerrero ""elclassiko"""	This Special Edition is great. The movie itself is pefectly done and directed, also the cast is one of the best when it comes to mafia movies.There's just a little problem.....I don't know if is my DVD copy but at the scene where Jimmy(Robert Deniro), Henry(Ray Liotta) and Paul(Paul Sorvino) are together discussing about Henry's problems certainly a vertical line appears in the middle of the screen. I rewinded it to make sure it wasn't my t.v. but the line appeared again, like i said before maybe it was just my DVD copy. Other than that there's no problem.So those of you who enjoy mafia movies this one is definitely a must have on your collection....	5.0	A must for your mafia collection!	2007-03-30	2	1	1
0790729725	GoodFellas	AXMC4BWOUFBYC	Adrian Leigh	This is a classic, possibly the best movie on the American mafia ever made.  A must see for everyone.  Watch it!	5.0	Goodfellas	2014-01-29	1	0	1
