asin	title	reviewer_id	reviewer_name	review_text	rating	summary	review_date	total_votes	helpful_votes	unhelpful_votes
B00003CWQ2	Fight Club	AAQ9ECTGUSUVT	01001101 01100001 01110010 01101011	Fight Club is a metaphor for embracing our humanity, in all its gory glory, in the face of crushing modern pressures to settle for sterilty and comfort instead.  I watched this movie repeatedly before I took the plunge and quit my soul sucking corporate job.  It's been a ride ever since.If you liked Fight Club, check out American Beauty, Office Space, and The Matrix.  They all riff on basically the same (worthy) theme.	5.0	It's not about the violence	2008-05-22	4	3	1
B00003CWQ2	Fight Club	A1GD1G8XXPRYQ8	"1337 ""It'll either be night to treasure or a ..."	Fantastic movie. I had mixed feelings and feelings that the movie would get destroyed eventually, because it looked like there was a sect, and people shaved their heads, I felt like they were like nazi at some point. I was like: what the hell is this movie? God I hate nazis. And I was wrong. Thought this was the end, but it wasn't. A movie changed. The dude turned out to be crazy. In fact he is insane, but it also changes. The ending when he tries to pull a plug on everything he achieved, I thought was another imminent downfall for the movie. It did not happen. The dude tried to kill himself, it didn't happen. And then.. the ending. It made me rate the movie from 4 to 5 stars. it was amazing. The whole ending was just amazing.	5.0	Publish it in 4K quality!	2014-02-19	0	0	0
B00003CWQ2	Fight Club	ANYM4AX1N1HJS	5thlabs	Love this movie! It is one of my number one movies of all time and wouldn't know what to do if it didn't exist	5.0	Number one movie ever	2013-02-24	0	0	0
B00003CWQ2	Fight Club	AK1TMZ8NSAL9Q	"A. Anderson ""ann0314"""	This movie was remarkably well done. It mixes wit and suspense with a &quot;What's wrong with the world these days?&quot; flare. Brad Pitt is outstanding-he plays a bit of a nut, as he did in 12 Monkeys. The person that makes the movie though is Edward Norton...with such movies as Rounders  and American History X..it isn't hard to see how that could be. The movie  had me from the beginning to the very end. It's hard to say much about it  without ruining the movie, so the best I can say is that it is a wild ride  that takes you through the life of a person at his breaking point..if you  liked Falling Down...this is 1,000 times better and had more twists than  6th Sense. Definitly a must see for those who don't like movies that are  predictable, and people who like movies that are fresh in concept. I would  actually buy it [now] just so I could be watching it while everyone  else was waiting for the price to drop..I watched it 4 times in 2  days...it's definitly a movie you watch more than once!	5.0	Take Your Seat..You're in for a RIDE	2000-05-05	1	1	0
B00003CWQ2	Fight Club	A2ZB8WGSAW3Q6E	aaron1736	Because it is the best movie ever,  and personally I have everybody I know read the book and watch this movie.	5.0	Best ever	2014-02-04	0	0	0
B00003CWQ2	Fight Club	ANMD4QBDYLPME	"Aaron ""Aaron"""	"Seriously, if you haven't seen this, stop reading and go buy it NOW.  Because: ""Only after you've lost everything, that your free to do anything."""	5.0	Fight Club: BEST MOVIE EVER	2004-09-19	4	2	2
B00003CWQ2	Fight Club	A13G33EI52T6LN	Aaron	"Fight Club is a wonderful movie.  Even though it gets a little weird and past itself at the end, it is still great to watch.  Fincher is one of the best directors around and never compromises.  Norton and Pitt are top notch as usual.The first half of the film is really the best.  ""The things you own, end up owning you.""  The scene where Pitt threatens the 7-11 clerk to follow his dream of being a veteranarian or he'll kill him.  Why men join the ""fight clubs."" These are themes that I wish the movie would have explored more.  Instead the second half takes us on a rollercoaster plot to blow up a bunch of office buildings.Another great Fincher film.  Doesn't hold a candle to SEVEN though."	4.0	Great film	2003-02-22	0	0	0
B00003CWQ2	Fight Club	A31ANAWPU9UCKS	Aaron Kropp	One of my faves. Great movie. If you haven't seen it. Worth buying for your movie collection. I promise this is a movie you will watch more than once.	5.0	Great movie!	2013-12-30	0	0	0
B00003CWQ2	Fight Club	A2W7YPW7BJGX70	Aaron Seeman	Brad Pitt and Ed Norton are excellent in this movie, this is both of them at their best.  The plot twists are exciting and unexpected.  Each time I watch it I remember the first time and how surprised I was at the ending.  An absolute must see for those that have not watched it before.	5.0	One of my favorites	2006-07-27	0	0	0
B00003CWQ2	Fight Club	A32JKNQ6BABMQ2	"abe ""starman"""	this movie has a suprise twist that is really cool!but its a suprise!the story is that theres this guy who played a skinhead in american history x and brad pitt.the main dude,not pitt,blows his condo up and moves into an abandoned house.then one day after work,pitt wants to fight his friend for fun after work.then some people see and watch.this leads to an underground after hours bar fight club.it reaches bigger and bigger proportions until there are fight clubs all over the country.this leads to operation chaos.they too have a certain dropped out of society mentality and go around blowing up government related things a lot.the kids wont like it and its pretty violent for them anyhow.its a little bit action and a lot psycological.its pretty intellectual but not un-understandable.it looks low budget like american history x but is way better.i cant think of too many other brad pitt movies i like except snatch where he plays a gypsy.this one is far beter.it is my third favorite movie!theres this emotionaly fried chick whose in love with brad and used to do the main guy.shes nothing to get exited about though.both the main characters give off stupendous performances!its way better than anything youve ever heard.belive it!the parts leading up to the big finale are really intense!its an excellent movie.	5.0	killer!!!!!!!!	2004-10-02	5	1	4
B00003CWQ2	Fight Club	A3GA6VQPAVDIS0	Abhijit I. Karmokar	I saw this movie back in my Engineering days .... Back in those days movies were either thrillers/action or comedies or romantic comedies .. and such. This movie was like a breeze of fresh air .. totally standing out from the stereotype ..... What can 1 say about the story .... the more you watch it ... more you fall in love with it .... You walk out for 5 min ... and you totally lose the thread .... Visually compelling .... powerful dialogues ..... and total powerhouse performances .... Brad Pitt and Edward Norton are mind-blowing ..... rarely get to see Brad in such a role (Snatch is his next best) ..... Excellent direction and editing ......This is a must watch for movie-buffs .... not for the light-hearted .....	5.0	Genuinely Different Story and Awesome Performances	2009-08-01	1	1	0
B00003CWQ2	Fight Club	A3R8II176R6NJA	Abraham Lender	Listen and watch carefully. every time you watch this movie you will see and learn something new. A beautiful and sick slant on society. This movie is not for the stupid however. If you think its about guys fighting, stop watching and go back to sleep.	5.0	A psychological and philosophical masterpiece	2003-08-08	7	5	2
