asin	title	reviewer_id	reviewer_name	review_text	rating	summary	review_date	total_votes	helpful_votes	unhelpful_votes
B00005JLF2	24: Season 1	A2QNMV4RYU4JG6		When I first put disk 1 in one night, I thought I would just watch the first hour and that would be it. Big mistake!Ten hours later I was finishing up disk 3 and had stop watching because I had to go to work!If you want some DVDs that will consume your thoughts and make you practically forget time, 24 Season One will do it for you.	5.0	I Was At the Edge of My Seat--For Real	2006-04-09	8	8	0
B00005JLF2	24: Season 1	A36FJ6M503OBXT	1809hatcher	great down time watching with the wife. I would definitely recommend. Didn't see it coming at the end. Good times.	5.0	loved it	2014-05-28	0	0	0
B00005JLF2	24: Season 1	A28TSA976W6NJB	1tuffviewer	I just finished watching seasons 1-3. I heard alot of good things about the show, but because of my work hours I never saw a complete episode. I finally purchased season 1-3 on DVD. Now I know what the talking was about. Wow 24 is a blast of refreshing nonstop action entertainment...I can't wait to purchase seasons 4-8 on DVD.	5.0	Better late than Never !!	2014-01-07	0	0	0
B00005JLF2	24: Season 1	A3EM0J1YDBT674	24 addict	I missed all but the last 3 seasons of 24. I just finished season 1. It's a nail biter too. My experience with ordering through Amazon was great. i will use them for all my on line  dvds and books	5.0	24 season 1	2012-10-03	0	0	0
B00005JLF2	24: Season 1	A1ALOIPRR8Q06J	"2 cents ""meaningless memes"""	"The first season was fun. The concept for ""24"" a novel, exciting one. No other season since was as good. The downside is that ""24"" helped the public get used to the idea that torture is a vital necessity for saving American lives -- an idea which most experts in the real world intelligence community overwhelmingly disagree. In effect, this television program has been successful propaganda for the rightwing and Bush Administration (regardless of what any actor may think of his role or makers of a TV show claim)."	3.0	Thank Goodness for Torture	2008-11-24	2	0	2
B00005JLF2	24: Season 1	A1NU8KJTDSS31	3 delivery	24...Keeps your heart racing! Can't move from your chair. very intense...hear another section begins may 2014...gotta hurry and finish watching the entires series.  Just on season 1, epsid 8.	5.0	24 series great, 24 series, may 2014 coming soon	2014-02-02	0	0	0
B00005JLF2	24: Season 1	A233X0V1MODDAY	56Secure	In today's society, 24 gives us a theatrical look into how we would hope terrorism is handled.  With recent events, it seems possible that the scenarios portrayed in the show could happen, and we could only hope there are people in this world who would give of themselves to try and stop these events.	5.0	I Could Watch This Over and Over	2013-04-24	0	0	0
B00005JLF2	24: Season 1	A3CEC4N9P7346K	"70's teen ""a fan"""	I first saw 24 on network years ago, beginning with Season 3, and was instantly hooked by the frantic pace and intensity.  Season 1 moves much more slowly.  Although the Jack/CTU scenes are good and forecast what's to come in later seasons, there is way too much of his wife/daughter's issues, esp. where unconnected to the main plot, and the same is so for Senator Palmer's family.  Those scenes could have been condensed considerably (or omitted in some cases).  So, Season 1 is good not great, so far (I've watched up to 6 p.m. = 3/4ths of it). I hope the last part will accelerate.	3.0	Starts Slowly But Improves	2013-05-29	0	0	0
B00005JLF2	24: Season 1	A2RQS7X7FI3C6E	AAI	I've had this dvd for about three years and let me tell you I'm always rewatching this season.  I really think that this season is the best amongst all four and if you are new to the series this is the best place to start.  24 is a very addictive show where you can't watch just one episode.  I turned my whole family into believers of Jack Bauer and we all watch this show together.  For the price you are getting 24 episodes spread out over 6 discs.  Thats pretty good considering many television shows have only 12-15 episodes.  Also if you enjoy this show check out seasons two and three, which are also available on DVD.  Those seasons are not as good as the first season but they are thrillers that are addicting and fun to watch.	5.0	The best season of 24	2005-05-31	2	1	1
B00005JLF2	24: Season 1	A3I4O5IG7S2HL6	A. Alters	This stuff isn't meant to be watched straight through.  Watch one hour per week and use the other 167 hours to forget all the details so that you wont be bothered by the inconsistencies, stupid plot shifts, continuity problems, etc.  Think about it: whose life is really interesting 24 hours a day?  It would be better if we had 6 hours of Kiefer sleeping.  At least we could fast forward through that.	2.0	Better in small doses?	2005-01-03	48	11	37
