asin	title	reviewer_id	reviewer_name	review_text	rating	summary	review_date	total_votes	helpful_votes	unhelpful_votes
B000M341QE	The Departed (Single-Disc Widescreen Edition)	AZV5NGPANACNI		This is not a movie that I like at all. It having so many top billing actors probably should have been a clue, It made me sad to see some of my favorites looking so uncomfortable in their roles. I will not give names, because I have no intention of being mean. Here it is: For decades Hollywood was able to produce some really cool movies without resorting to such bad language fill-ins. They were able to direct scenes in a way that could keep an audience on the edge of their seat, without filming every little detail as though their prospective audience had no imagination.. They were able to make us laugh without language that seemed totally unnecessary.Of course, times have changed, and I understand this and do watch movies with what I think is unnecessarily fowl, but sometimes funny.  So, I do admit that an expression such as was seemingly the main essence of The Departed can be fitting, and even add something. Yet, such tactics have lost much of the initial affect.When Clark Gable Said that he did not &#34;give a damn,&#34; it created a wave of interest and made us laugh at the boldness of such a word as damn. What is there to surprise us now? Movies like the poorly marketed &#34;Instinct,&#34; the much criticized but enjoyed by many - &#34;A Beautiful Mind,&#34; the tame named  &#34;Heaven Knows Mr. Allison,&#34; or the unusual plot of &#34;Sixth Sense,&#34; held the interest of this writer. I left the theatre smiling. So, maybe I'm too reserved for &#34;The Departed,&#34; but the producer should be pleased that many enjoyed it enough to give it five stars,There was more, I also found this movie very disconnected and excessively violent. I did stop watching after giving it about 40 minutes to capture my interest. So, there you have it.	2.0	Not my favorite	2014-07-14	0	0	0
B000M341QE	The Departed (Single-Disc Widescreen Edition)	AOS5RZYR5PLG5	1st Ammendment MF	"Upon viewing the film The Departed I was left with one impression;what was all the hype about.Now don't get me wrong it wasn't a bad movie not at all...just over-hyped.Not to draw comparisons to one of Scorcese's best movies but Goodfellas was his baby.Goodfellas was great because you want to see it again immediately after viewing it.The Departed...meh I really couldn't say i would care if I never saw it again.It had it's moments but they were fleeting and the ending fell flat on it's face with contrivances piling up faster than a freeway carwreck.The only scene for me that showed real vision and a bit of the old Scorcese flair was the demise of one of the peripheral character's plummeting off a rooftop right in front of Billy Costigan's(Leonardo DiCaprio's character) viewpoint.Other scenes went nowhere and even one moment of self concious irony occurs when Costigan says to Frank Costello (Jack Nicholson in full on eyes V'ed snarling grimace JACK mode)  ""What the f*%& are we talking about"".The script needed tighting up and nowhere is it more apparent than in this revelatory scene.Scenes where Nicholson pours cocaine on two (I'm assuming) prostitutes and tells them to get numb from it just seems overindulgent and pointless.So in closing was the Departed a good film? yeah! Great film? No where close.Oscar for Scorcese? I'm afraid to say it but Goodfellas was his to win.Too bad a little film called The Silence of the Lambs was released the same year(IMHO Scorcese was robbed...while TSOTL might have been the better movie..and that's a stretch...no way was Jonathan Demme's vision even on par with Scorcese's to win the Oscar).Looks like Scorcese will win the lifetime achievement award when he's old and feeble...kinda like when  they shuffled out Robert Altman a year before he croaked.Unless Scorcese can deliver something on par with his greats than it appears the man from little Italy will always be chasing the impossible dream.This movie is not it!"	3.0	definitely not the best picture of the year	2007-02-18	11	3	8
B000M341QE	The Departed (Single-Disc Widescreen Edition)	A2PZDJCI5YZLIK	"2 Delta ""Rob"""	"BLUF: If you're the kind of character who thinks that any movie with lots of blood and profanity is ""cool,"" then you're twelve...and you would probably enjoy this movie - or at least the status it will give you when you tell all of your school friends that you ACTUALLY saw it.This movie was carried on the backs of Hollywood heavy-hitters, and that's why the film and Scorsese got an award for it.  Period.  A movie with old-timers like Sheen, Nicholson and Baldwin and in vogue faces like Damon, Wahlberg and Dicaprio will NOT fail to be well acted.  So hats off to those guys.  Great job, and frankly, I would have expected no less.So why the ""cheap tricks"" title, you ask?  Scorsese's method for manipulating our emotions and jarring his audience is reminiscent of the Hollywood flop ""Deep Blue Sea"" when the only redeeming quality of the movie was suddenly and needlessly snatched from our lives by the jaws of a great white.  [SPOILER FOLLOWS] No duh, Scorsese...if you kill the main character DEAD, the underdog - the guy we've been cheering for the whole time, without even one blood-gurgling last word, you WILL move your audience one way or another; it's no secret formula - it's a cheap trick.  It would have taken more talent..or simply more thought...to move your audience while maintaning some sense of justice, and I'm not talking about street justice or revenge.[END SPOILER]You wanna retell the story of some epic tragedy in history with an epic film?  Fine...make it unjust.  You wanna expose to the world the corruption of some trusted office for our enlightenment that it may never happen again?  Go ahead, make the violence and gore true to life.  But if you just want to entertain me with a movie about a single crooked cop and a crazy old mob leader in Boston, then at least make it just.  If you're not trying to enlighten me or inspire me, then at least satisfy me while I'm being entertained; otherwise, you're wasting my time."	2.0	Cheap Tricks	2007-03-29	6	3	3
B000M341QE	The Departed (Single-Disc Widescreen Edition)	A3EE0H0NWQ9QVL	"&#34;Rocky Raccoon&#34; ""Hey, Doc, It's Only ..."	"In the mold of other gangster films, like 'Scarface' and 'Goodfellas,' Scorsese delivers more than a feather in his ample directing cap with his brilliant new movie, 'The Departed'.  Featuring an all-star cast, 'The Departed' hits the ground and never stops running.  Jack Nicholson is at his ruthless best as the Irish mafia figurehead, Costello.  Menacingly funny, he delivers one of his most unforgettable performances with the steely subtlety that has made him a legend.  Everyone else puts in their brawling best, especially Di Caprio as the tough, but nervous Billy Costigan, an undercover cop pretending to be Costello's prodigy hitman, and Mark Wahlberg as the tough as nails police administrator, Dignam.  And they deliver this masterpiece without needing any help from Joe Pesci or Robert DiNero.  Amazing!The movie starts us off with the ruthless Frank Costello (Jack Nicholson), the Italian head of Boston's Irish mafia.  Extorting money anywhere from local greasy spoons to government operations with sensitive weapons' information, Costello makes Don Carleone seem like Mr. Rogers.  We first witness a harrowing extortion scene at a neighborhood Boston restaurant during the sixties.  By sharing the extorted loot with a destitute young neighbor boy, Collin Sullivan, he takes upon him a future prodigy (Matt Damon).  In his pocket at the time of Sullivan's police academy graduation, Costello finds the perfect rat to work undercover in the Boston Police Department.  Sullivan proves to be a savvy informant, brilliantly juggling his responsibilities as a quick, ascending officer, while bailing out the Irish mafia via cell phone.  In the meantime, the police have their own well-disguised rat in Billy Costigan (DiCaprio) who convincingly wins Costello over as another promising hitman.  Costigan finds it hard to stomach all the carnage this organized crime unit masters, and it is to everyone's credit that edgy seems to be a trite description for what Costigan witnesses.  (One particularly unnerving scene is when Costello shows Costigan a severed hand from a victim's body bag.)  How both rats tip-toe through their harrowing treason is one of the masterstrokes of playful suspense throughout this clever flick!  Ironically, police chief Oliver Queenan (Martin Mall) is characteristically clueless like most of the leaders when he says, ""We deal in deception. We don't deal in self-deception.""  There's a lot for both sides to figure out in the film's cat and mouse (rat!) equation.  The resolution of this twisty movie should all but satisfy even the hardest core Mafioso movie fans.Nicholson is unrelentingly as the silver-tongued devil, Costello.  And DiCaprio gives an inspired performance as the nerve-wracked, beleaguered Costigan.  Damon and Wahlberg have seldom been better as the tough-as-nails cops.  It is brilliant how DiCaprio's and Damon's characters intersect so long without crossing each other's paths.  Their dating interest is for a woman psychiatrist (Kristen Dalton) who brings both men together.  Not only effective as a plot device, it creates a fascinating tension to the movie.  Ironically, the plot is both complicated, yet easy to follow.  Unlike many similar interlocking plot stories, this one is intricate enough to be fascinating, while seldom taxing its audience.  The editing, which nowadays is taken for granted for slick professionalism, is just perfection.  How Scorsese cuts and focuses, then backs up makes frenetic a lame description.  The dialogue is intelligent: menacing, yet quick and witty.  Without spoiling the movie, the film seems to comment on the excess of rats everywhere, and what seems to be implied by the departed is the body of secrets they take with them to their graves. For all its suspense and hijinx, 'The Departed' is probably the most thoroughly entertaining gangster venue since 'Pulp Fiction'."	5.0	Ruthless and Relentless...You Dirty Rats!... (Identity Theft)	2006-10-10	0	0	0
B000M341QE	The Departed (Single-Disc Widescreen Edition)	A2WGQBPR0ZMJEX	805kingpin	great movie that never looked better!!! this is a must buy for any movie lover, plain and simple for the price its a steal!!!!!	5.0	niceeeee!	2012-10-06	0	0	0
B000M341QE	The Departed (Single-Disc Widescreen Edition)	A1N1SQX0BS0QBL	Aaron	"I guess they got some problems up there. This author Jayme Alan Toomey is supposed to be Leonardo Di'capriobut he thought they were all crazy, so he got chased across the country to CA where the police and military are still terrorizing him. I guess they stole his work and passed it out so they could have weight on him, so he'd have to be a rat. i heard they're all real people. I believe it. In late december of 2011, Jayme got Charles Barkley to ask Jesse Jane out on for him on the Jay Leno show. It's true. I saw it. I'd like to hear his explanation for that one. HBarkley mysteriously turned to the camera and said ""Pirates"" which is one of her movies. i think he should get a chance to go out with her.Look his name up on the internet."	5.0	This movie is based on people from Maine.	2012-10-17	0	0	0
B000M341QE	The Departed (Single-Disc Widescreen Edition)	A2B4BYXDYD63ZC	A. Burns	"Without giving too much away, I found the ending to be needlessly depressing.  I know Scorsese likes to make his movies realistic so you're never gonna get the ""happy Hollywood ending"" with him. But this ending went out of it's way to be as unhappy as possible - so much so that it became unrealistic.  Think of the ""Goodfellas"" or ""Blow"" endings only with more dead people.  It almost seems as though there is no message at the end other than ""everyone dies on both sides of the law.""  Great, glad I spent 2 1/2 hours to learn that."	3.0	Great acting, but the story falters...	2007-02-20	16	5	11
B000M341QE	The Departed (Single-Disc Widescreen Edition)	A29FUUTYWJGVZT	A. Butler	The Departed is a great movie, In my opinion better then Goodfellas. It looks awesome In HD. Reccomend this for anyone who has HD, even if you already own The Departed its worth getting again just for the HD and extras.	5.0	Awesome in HD	2007-09-23	4	2	2
B000M341QE	The Departed (Single-Disc Widescreen Edition)	A12DLQIZPX99IF	A. Chan	This is a re-make of a Chinese multi part movie, although they forced everything into 1 move ( whereas the Asian original was several parts ) I thought this movie was still pretty good. With the HD the movie just looks that much better, the clarity in each scene is amazing.	4.0	pretty good movie...	2008-02-08	2	1	1
B000M341QE	The Departed (Single-Disc Widescreen Edition)	AJVYSYD8AW77S	A. Crisp	At first I didn't know what to expect just because it was an oscar winner didn't necessary mean it would be good or appeal to my tastes - well it was excellent and what an ending, this has it all the love interest, backstabbing, murder, lies, everybody playing everybody - I don't think there has been a crime film this good since HEAT, can't wait for the sequel.	5.0	Brilliant	2007-03-17	8	2	6
