asin	title	reviewer_id	reviewer_name	review_text	rating	summary	review_date	total_votes	helpful_votes	unhelpful_votes
6302526574	Beauty and the Beast (A Walt Disney Classic)  [VHS]	A3UN4DWLYLRIKN	"04Blackram ""Dantie"""	Ordered this for my girlfriend and she loves it.  It was in great shape and the shipping was super fast.  The platinum edition has all the deleted scenes and the upgraded graphics.  Great video in great shape.	5.0	Beauty and The Best	2013-09-02	1	1	0
6302526574	Beauty and the Beast (A Walt Disney Classic)  [VHS]	A3DUWZU118743Z	aaaaaaaa	4 year old girl loves this movie.  as does her mom.  as does her grandmother.  I love it a lot too.	5.0	great movie	2013-06-15	0	0	0
6302526574	Beauty and the Beast (A Walt Disney Classic)  [VHS]	AA9HAEMRIGA85	Aadi	I am very pleased with not only the item itself, but the seller as well. I haven't been able to find this movie for quite some time :) I ordered and rcvd it very quickly.	5.0	Very happy	2013-05-19	2	0	2
6302526574	Beauty and the Beast (A Walt Disney Classic)  [VHS]	AGWR43ROV3OV3	Abby L Lindgren	Love it thanks. Couldn't find it anywhere else for our two yr old and dint wanna wait for a new release	5.0	Beauty and beast	2012-12-30	0	0	0
6302526574	Beauty and the Beast (A Walt Disney Classic)  [VHS]	A23IU7C9VI501H	A. Brown	The movie works great the only thing I notice is that a sign of a video camera pops up in the corner for most of the movie, so maybe the movie has trouble reading? It did not affect the movie, there were no pauses or skips but I cannot understand why this icon shows up.	4.0	A Classic I am glad to own!	2009-06-12	0	0	0
6302526574	Beauty and the Beast (A Walt Disney Classic)  [VHS]	AXX1SQ9NING63	A Collins	This is a clssic movie. I purchased this for my 4 &5 year old girls and they love it. They've watched it 5 times in 2 weeks. I paid $14.99 and got free shipping but saw it cheaper when it was closer to Christmas time.	5.0	classic Disney movie	2011-01-08	0	0	0
6302526574	Beauty and the Beast (A Walt Disney Classic)  [VHS]	A1VQBHHXIKHIGS	A Customer	Yep, Disney animation. All my students see this movie at some point between leaving high school and when I meet them as university students. Sometimes, their Chinese university teachers show it to them in class. So, I thought I'd see why they love it so much. I'm still wondering. This is a two-page short story, not a film. But on the bright side, if you skip all the songs it's under an hour. I've never enjoyed a singing toon in my life.	2.0	Beauty and the Beast	2006-08-27	49	0	49
6302526574	Beauty and the Beast (A Walt Disney Classic)  [VHS]	AT2J7H5TRZM8Z	A Customer	I do believe we all love Disney movies...I do not know how anyone could not. They are normally love stories (which I love), but that is not all that there is to it. These movies are animated, but don't you think that they aren't any good. I think they are some of the best movies around! Oh and yes they are created for children, but that doesn't mean you won't enjoy them. In fact, I enjoy them just as much now as I did when I was young, if not more. The older ones are better though. I do not really like the ones that have come out just recently (The Hunchback of Notre Dame, etc.).Beauty and The Beast is a classic story of a &quot;beast&quot; and a beautiful woman who comes to love the beast for who he is inside, not just what he looks like on the outside...kind of like judging a book from its cover. This is something we can all learn from. When she first meets him, he is quite mean. But with time, he grows and a wonderful creature emerges from deep within. This is probably my favorite Disney movie. My favorite scene is when she is wearing that gold dress...it's just so beautiful. Everyone loves love stories; everyone loves Disney movies--so when you combine the two you get some of the best movies ever created! I would highly reccommend this movie--adults too!	5.0	My Favorite Disney Movie	2002-11-10	4	2	2
6302526574	Beauty and the Beast (A Walt Disney Classic)  [VHS]	A2PPSSY5MEP0W0	Adam Lenz	Perfect condition on arrival and loads of special features to go with the movie. The best version I could hope for!	5.0	excellent!	2014-01-08	0	0	0
6302526574	Beauty and the Beast (A Walt Disney Classic)  [VHS]	ALBBQ185G7AQT	"A. David ""Wonderland*Girl"""	I saw all the Disney Princess movies in theaters growing up.. starting with the Little Mermaid and I can tell you it looks better than ever! Unfortunately Disney only keeps them around 6 months or so before there back in the vault so take advantage of this offer!And I would also add that Amazon shipped me a replacement DVD after I found out my Blu-ray didn't work. Without waiting for me to send my copy back, that's service! Thank you!	5.0	Better than I remember!	2011-01-11	0	0	0
6302526574	Beauty and the Beast (A Walt Disney Classic)  [VHS]	A238HO2IR6JBPA	Adriano	A masterpiece of Disney in a great presentation! He had the 2D version released in my country, Brazil, and I chose to buy the 3D version American, because it is much more complete than the released where I live. Here the 3D version has only 1 disk, with no glove box (it looks like a joke, just in bad taste). So I hope they continue to release these editions neat with audio and subtitle options in my language!	5.0	IN MY OPINION, THE BEST WORK OF DISNEY!!!	2012-11-22	0	0	0
6302526574	Beauty and the Beast (A Walt Disney Classic)  [VHS]	A3A68HJIHD17KA	afurlow	Such a beautiful movie! I recommend getting the blu-ray packaging, because it is a little smaller. A must have for any blu-ray collection!	5.0	Tale as old as time	2012-02-20	0	0	0
