asin	title	reviewer_id	reviewer_name	review_text	rating	summary	review_date	total_votes	helpful_votes	unhelpful_votes
7883706837	Wall-E (Mandarin Chinese Edition)	A2QB4F1510HPL8	13 Ways And Counting	This is my first Blu-Ray movie and I have to say the picture quality was outstanding my 52 inch Toshiba LCD. A visual masterpiece if there ever was one.However, the movie itself is lame. Not my cup of tea. My fiance loved it though. Definetly a kids movie but if you're new to Blu-Ray and want to see the best picture available do yourself a favor and buy this.This movie is a technical showcase - the move itself has little substance if any to be had.	5.0	Awesome Pciture - kind of a weak movie though	2008-12-30	2	0	2
7883706837	Wall-E (Mandarin Chinese Edition)	ACQSE1RQ3QN47	1st08wrx	Once again Pixar killed it with Wall-E.  I already owned this on DVD but needed to have it on Blu Ray!  So do You!  It comes with the dvd as well as the Blu Ray.  Watch the scene where Wall-E drags his hand through the rings around the planet as he travels with Eve.You can't go wrong with a Pixar movie for the kids, or the kid in you.	5.0	Pixar, Need I say more?	2011-10-28	0	0	0
7883706837	Wall-E (Mandarin Chinese Edition)	A1ALOIPRR8Q06J	"2 cents ""meaningless memes"""	"This film looks so great! Really an amazing, first-rate achievement  here.The robots had a bit much personality, really. I mean, on the one hand, whatever. ""It's a movie"" as they always say. But if we're going to think about the movie.. (Unlike the lady that sat behind me who I must confess I would be shocked to hear any observations from other than the roach was gross and WAll-E was cute and funny..) I mean I just casually wondered why a trash compactor would have so much emotion programmed into it. So longing and needy, and so, so alone, the poor thing. I started to really feel for Wall-E. Ahh, well THAT'S why. And because it's a movie, right? Maybe he is like that Short Circut? Perhaps somehow he evolved during the several hundred years he beaverd away at all that garbage. Anyway, it is a story and if your going to have a story about robots falling in love it would be weird if neither had any personality. Lol. Ya know, some people are like that...But if you want compelling romance you need personalities and chemistry.Pixar is fantastic. Man, at this point I'll say those guys are commited to doing art. You know when you watch a Pixar film that vision and imagination have been fully realized. Not compromised one bit! That's the key.Anyway, really dug the film. Consider it a new classic. A friend I saw it with said, ""That's the sweetest movie I've ever seen"" and meant it. He meant ""sweet"" as in touching and you now what? It is a sweet story."	5.0	robot love story	2008-08-19	8	7	1
7883706837	Wall-E (Mandarin Chinese Edition)	A3EE0H0NWQ9QVL	"&#34;Rocky Raccoon&#34; ""Hey, Doc, It's Only ..."	"As original as Pixar's `Wall-E' is, two films came to my mind.  One is a quaint science fiction movie from the seventies, 'Silent Running' starring Bruce Dern, about a lone scientist who keeps the last forest safe on a vessel in outer space.  Significantly, that film had the first robots in memory with two definable personalities, even a few years before 'Star Wars'.  The other film is '2001 - A Space Odyssey,' a science fiction classic that upped the quality of science fiction on the big screen and provided the big budgets we now take for granted.  In that film there was a space station run by a computer with a mind of its own creating a real human disaster and mutiny within the wastes of space.  Unabashedly, they even use some of that soundtrack here.Entering 'Wall-E' I was impressed by the animation and the fluid action scenes.  There are still plenty of new tricks to celebrate in this film, but the real chemistry comes from its two main characters.  This time we follow the titled character (Ben Burtt), a dirty, worn robot who works like a trash compactor at the city dump.  He gathers metal refuse and crushes it on his insides only to spit out building blocks for more city structures.  We learn quickly about his personality when he goes home to a storage room like structure where he likes to unwind his circuits and watch an old videotape of `Hello, Dolly! Widescreen Edition'.  A cockroach is his only companion, one of the few signs of life among the bleak city skyline.  Partly endearing, partly a nuisance, some heart comes to the movie as we see him follow Wall-E around like a pet dog.Enter a space rocket.  It's a source of fear and fascination for Wall-E who's never seen such a thing.  Out of the alien craft comes a probe; one that mechanically searches the data of everything it meets and destroys anything threatening on its sensors.  As the tape gives him new meaning, he overcomes his fear and tries to meet this new robot, whom he learns to call ""Eva"" or ""Eve"".  Wall-E tries to impress her using anything from bubble wrap to egg beaters; his clumsiness showing his softer side. Love blossoms, but is not received until one day the rocket returns and picks Eve up.  Determined not to let a good thing go, Wall-E attaches his mechanical arms to the ship for dear life as he discovers a ""brave new world"" of comfy humans on a displaced technological ""cruise ship"" sent out for a five year journey.  Chaos ensues when Eve returns with a plant found in her inner workings after Wall-E gave it to her as a gift.  It doesn't fit the cruise control they're accustomed to.Without being heavy handed or cynical, `Wall-E' charms us with its contrast.  We get all the themes implied here, but we receive it in such a glowing way, it never leaves the residue of desolation the movie so warmly, yet desperately, persuades us to leave behind.  Although the movie is received differently by children and adults, there's plenty for everyone to appreciate in this wholehearted movie offering.(Anyone familiar with 1981's 'Heartbeeps,' starring Bernadette Peters and Andy Kaufman, knows that this movie idea has been done before.  Without the careful care of Pixar's craftmanship and imagination, 'Heartbeeps' demonstates that, in the wrong hands, these movie ideas can sometimes bring disastrous results.)(More traditional is ""Presto,"" which continues Disney's admirable throwback to fine pre-feature animated entertainment.)"	4.0	A Robotic Love Story with Themes That Do Compute	2008-06-30	17	12	5
7883706837	Wall-E (Mandarin Chinese Edition)	A26KQWFU4Q2Q16	"80 Grama ""Skaters Grama"""	It's a cute story ... I sorta got lost in the middle of it as it didn't make sense to me but in the end it all came together.	4.0	Wall-E	2008-12-22	0	0	0
7883706837	Wall-E (Mandarin Chinese Edition)	AWXRM30V68QYP	aaowood	This is a truly exceptional film both for its technical accomplishments, as well as for a story that is prescient. This film has all of the makings of a classic and I am quite confident it will be remembered as such.	5.0	Timeless	2008-11-22	2	1	1
7883706837	Wall-E (Mandarin Chinese Edition)	A1IM2KPJ6PB6CG	Aardvark78	"I was so excited to get Wall-E for my little guy, who is currently completely and utterly in love with ""ree-bots,"" as he calls them. So imagine my disappointment when the DVD arrives and won't play on a single computer or DVD player in the house.  Even worse, I was able to get the commercials/previews to play on one player, but then the actual movie still froze up.  (Stay classy, Disney.)I guess I should be glad that I've been through this with other DRM-crippled DVDs, and therefore knew to try it out while my son was not present, or there would have been major preschooler tears.But as if that weren't enough, the digital copy included on disc three requires an unlock code that was supposedly included on an insert in the DVD packaging.  I am sitting here looking at every piece of packaging that was in or on the DVD (even the plastic wrap) -- there is no such insert/code included.  Sorry, kid... no ree-bots on the iPad, either.So basically, what I've got here is a 3-Disc Special Edition Coaster Set, and zero ree-bots for my kid.  Thanks for nothing, Disney.[UPDATE:  As I sit here fuming over my serious lack of ree-bots, I just noticed the very, very fine print... ""Digital Copy Activation Code expires November 18, 2009.""  Maybe that's why there wasn't a code in my packaging, but wow, if you're going to do it that way, Disney, maybe don't sell this version after that date?  What a total, utter rip-off."	1.0	DRM Makes this unwatchable	2013-05-08	3	0	3
7883706837	Wall-E (Mandarin Chinese Edition)	A1AWHBGYXM09CL	A. Armenia	Wall-E is one of my favorite Pixar Movies! I would recommend it to any age! I think that it can be enjoyed by anyone. It has something special about it.	5.0	Great!	2008-12-22	0	0	0
7883706837	Wall-E (Mandarin Chinese Edition)	A4L1E2ZGEA361	Aaron E. Los	I A 38 YEAR OLD KID WHO FEEL IN LOVE WITH THIS CUTE MOVIE OF LOVE THAT SPANDS TIME AND SPACE. IT IS A GREAT MOVIE FOR THE WHOLE FAMILY	5.0	IM A KID	2012-04-06	2	1	1
7883706837	Wall-E (Mandarin Chinese Edition)	A104J1AT0BH6E2	Aaron King	WALL-E is the most fun I have had with an animated film in years.  Almost as good as UP.  Amazing how animated robots can have more a realistic romantic relationship than a chick and her vampire beau.	5.0	One of the truly great animated films of our time.	2013-02-12	0	0	0
7883706837	Wall-E (Mandarin Chinese Edition)	A1PIGCPED659KW	Aaron Oppliger	Our family loves Wall-E, and the blu-ray edition of this movie is the perfect way to watch it at home.  Although the story is quiet and slow enough to lose the attention of our youngest (4 years old), the rest of us can enjoy the beautiful animation and touching story. As usual with a Pixar film, the animation is top notch, with rich details and characters that are expressive without needing loads of dialogue.	5.0	Beautiful animation and touching story	2013-12-05	0	0	0
7883706837	Wall-E (Mandarin Chinese Edition)	AU4LLIAZ9PGEJ	"A. Ballard ""Corinthos fan 4 life"""	It was a good movie but not really up their with the standards that they have set  from previous films.  Liked the EVE character best in this film.  The film was kinda slow especially at the beginning.  This is nota must have to add to your disney and pixar collection but it would nice to pick it up if it was on sale for raelly cheap, i would never pay the full price for this film like I would some of the others.	3.0	A good Pixar Addition	2010-06-07	1	0	1
7883706837	Wall-E (Mandarin Chinese Edition)	ABSWT9Y9UUQ6W	"Abel of Christ ""Music Lover and Collector!"""	"Although the (Wall-E) Producers firmly deny the Fact that Wall-E is a spin-off or take off of the Robot number 5 from movie ""SHORT CIRCUIT,"" they can't deny the similarities and identical personalities! Wall-E sounds and acts almost IDENTICAL to Robot Number #5....do you're own comparison, watch both movies back to back and you'll release the strong similarities! I love both movies and strongly recommend them! Give credit where is DUE!"	5.0	"""SHORT CIRCUIT"" number 5 Robot turned Wall-E Animated!"	2013-05-30	0	0	0
7883706837	Wall-E (Mandarin Chinese Edition)	A1GAAMHGKCFFB3	"A. Brown ""Boogieb"""	Oh my gosh! My son loves this movie and so do I. It's one of his favorites! He's 12 and he can watch it over and over. It's  a movie that has great values and we can learn a thing or two from it.	5.0	A classic in my eyes!	2013-11-06	0	0	0
7883706837	Wall-E (Mandarin Chinese Edition)	A3DGB4HN3QCGAL	A. Burchfield	I bought WALL-E several years ago both on the strength of the Pixar reputation and the quality of the animation.The quality of the animation is very good, better than the story. The story itself?, I couldn't help feeling that somehow it needed trimming for length somehow, somewhere. I don't even remember just what the extras were like but being Pixar they'll have something good.	3.0	The movie could've been shorter, the extras help make it worthwhile	2012-11-28	0	0	0
7883706837	Wall-E (Mandarin Chinese Edition)	A1H2V9H86V94M6	A. Burtis	How could you be disappointed with Wall-E. What a sweet movie. A lot of thought went into making this animated movie.	5.0	Sweet movie!	2014-04-02	1	1	0
7883706837	Wall-E (Mandarin Chinese Edition)	A1NY8E3WRXPWCX	"A. Catalano ""Worlds Greatest"""	Wall-E is easily one of the best movies of 2008. 1080P Blu Ray pix looks amazing in almost 3D over 120HZ TVs. Audio over 7.1 Systems is beautiful. Pixar has done an amazing job with the Blu ray technology.Regarding the load times of DISC 1, set your BluRay Players settings to off for BR LIVE content.  If the setting is set to on, during the first viewing BR Live will attempt to update the Wall E content to the disc on your hard drive and this could take 15-90 Minutes depending on your internet connection.  Add Wall E to your collection.	5.0	One of the best films ever made	2008-10-31	8	3	5
7883706837	Wall-E (Mandarin Chinese Edition)	A1EPWGSZXBO5DO	AC/DC	I got this movie for my collection that I collect by Walt Disney and Pixtar. And will keep on buying more of my movies.	5.0	awesome movie	2013-05-09	0	0	0
