asin	title	reviewer_id	reviewer_name	review_text	rating	summary	review_date	total_votes	helpful_votes	unhelpful_votes
B0002ERXC2	The Wire: Season 1	APKQ1KWWMIM5G	1281	Awesome  show	5.0	Five Stars	2014-07-04	0	0	0
B0002ERXC2	The Wire: Season 1	A13YVWKPUEYKVN	"313gb ""313gb"""	I love good drama series especially police drama.  This spends way too much time with adolescent swearing that adds nothing to the story line.  Characters not well developed or interesting enough to hold my interest to watch the next of the series.	2.0	Adolescent language	2013-05-25	6	2	4
B0002ERXC2	The Wire: Season 1	A1XYM0DQWWHQEK	&#354;&#615;&#7709; &#354;&#7709;&#7689;&#615...	Intelligent police style show. good acting, action and intriguing story line.The Wire is an American crime drama television series set and produced in and around Baltimore, Maryland. Created and primarily written by author and former police reporter David Simon, the series was broadcast by the premium cable network HBO in the United States. The Wire premiered on June 2, 2002, and ended on March 9, 2008, comprising 60 episodes over five seasons.Each season of The Wire introduces a different facet of the city of Baltimore. In chronological order they are: the illegal drug trade, the seaport system, the city government and bureaucracy, the school system, and the print news media. The large cast consists mainly of character actors who are little known for their other roles. Simon has said that despite its presentation as a crime drama, the show is &#34;really about the American city, and about how we live together. It's about how institutions have an effect on individuals. Whether one is a cop, a longshoreman, a drug dealer, a politician, a judge or a lawyer, all are ultimately compromised and must contend with whatever institution to which they are committed.&#34;	5.0	Intelligent police style show. good acting, action and intriguing story line.	2014-06-28	1	1	0
B0002ERXC2	The Wire: Season 1	A2E1EFNIZL2FVA	&#9899;   RIZZO   &#9899;	The Wire is an excellent show, great casting, interesting storylines, good scripts, and certainly different from the regular tv cop shows.However, if you are NOT ONE to be committed to EACH episode, faithfully, with dedication to script, observant, with keen awareness, willingness to re-watch for better clarity to plot and characters, you might not wish to begin the series.  The storylines are very complex, and if you don't understand all, you tend to miss important details.  You must also have some awareness for corruption in the system, and some insight into the operations of the drug world.The drama doesn't solve itself each week, it continues, in other words, the bad guy isn't always caught or neither is the murder of the day solved in 60 minutes, neither are there happy endings at season's end.  Storylines are not cut and dried for the viewer to understand, you must work at each show, work to understand what is going on, as there are many characters in the police force, the justice system, and of course the streets where the drug world plays out.  Actors in The Wire tend to mumble a lot, so it is imperative that you pay close attention, as names and associations are not clearly identified.The first season focuses on the drug gang of the streets of Baltimore, where murders, witnesses, money, corrupt politicians, failed justice system, and drugs are a way of life.  Excellent Show....don't fall asleep while viewing!....Rizzo	5.0	A show that takes work to view and follow!	2009-02-08	4	4	0
B0002ERXC2	The Wire: Season 1	A1SJ4I15UI1CPZ	A. Anderson	This might be a good story, but the incessant cursing made me tired and I turned it off in the first episode.  Too bad, as I like the lead actor.	1.0	Serious Language	2014-05-26	18	4	14
B0002ERXC2	The Wire: Season 1	A28JYDV2X23EUP	Aaron Johns	Great	5.0	Five Stars	2014-07-11	0	0	0
B0002ERXC2	The Wire: Season 1	A3K62K0ORI0PCE	Aaron O.	This is about as raw and realistic as it gets.	5.0	Five Stars	2014-07-07	0	0	0
B0002ERXC2	The Wire: Season 1	A1Z2N7V9WAUPYX	ABD	Watching the entire series again. One of the most well written, real series I've ever watched. Great character development thru the 5 seasons.	5.0	one of the best series	2014-06-04	0	0	0
B0002ERXC2	The Wire: Season 1	A3T7W6CALT2MB4	A. Block	The opening scene of season 1, episode 1 is perhaps the best ever written for television.&#34;Got to, man. This is America.&#34;	5.0	Amazing	2014-05-27	0	0	0
B0002ERXC2	The Wire: Season 1	A3CZ45WC5HKVEA	"A. Boots ""kitchen nut"""	Originally recorded in 2002, this season of The Wire would be must-see-TV in 2014.  The writing, acting, directing, and music are all first-rate.  Delighted to watch free via Amazon Prime!	5.0	Still magnificent	2014-06-02	0	0	0
