asin	title	reviewer_id	reviewer_name	review_text	rating	summary	review_date	total_votes	helpful_votes	unhelpful_votes
B00005JPAR	The Fountain (Widescreen Edition)	A3T125OV8K6F7F		Awesome movie and in good condition	5.0	Fountain...a must see!	2014-07-12	0	0	0
B00005JPAR	The Fountain (Widescreen Edition)	A2QB4F1510HPL8	13 Ways And Counting	This movie rocks. Solid story. In HD format the visuals will blow you away. The bigger the TV the better it looks. The HD transfer is stunning! If you're considering this as an upgrade to your standard definition version of the film do not hesitate - add it to your cart already!	5.0	Buddah Bob and his cosmic snow globe	2009-01-06	5	2	3
B00005JPAR	The Fountain (Widescreen Edition)	A1ALOIPRR8Q06J	"2 cents ""meaningless memes"""	"Aronofsky is NOT the Kubrick of his generation. Repeat: Darren Aronofsky is not the Kubrick of his generation. There is one Kubrick and no director working today is as talented as him and nor do any film directors work the way he did. Maybe a problem is that there is too much wanting to copy the master going on with some of these younger guys? (I read an interesting article in EW awhile back that went into that topic.) But anyway, look, this film is bold, highly original and credit is to be given to the director for having guts. But IMHO it just doesn't work. As for the look of the film, it felt....I don't know how to put it--I want to say ""stuffy"" and plastic. It felt like I was in a Christmas store in the mall or something. In anycase the effects didn't take my breath away. What the movie is about is obviously death and fear of death and how life is here, now. OK, message received. And I guess we're supposed to try to come to terms with the three Hugh Jackman/Rachel Weisz stories or at least be interested in how they relate and what it all means. It's so symbolic and stuff."	3.0	a noble failure	2009-02-16	12	2	10
B00005JPAR	The Fountain (Widescreen Edition)	A3EE0H0NWQ9QVL	"&#34;Rocky Raccoon&#34; ""Hey, Doc, It's Only ..."	"New Age fairy tale, `The Fountain,' taps into our most primitive regions by transcending space and time to seek the antidote to man's mighty enemy--Death.  Drawing upon a hodgepodge of religious imagery, the movie intersects four time frames, including ancient times and the biblical Tree of Life; the trappings of Medeival Spain when ascetical practices were sometimes severe, and the Inquisition made ""heresy"" contraband; today, and the future when mankind potentially can reap the benefits of science and meditation.  In the middle times, the conquistador seeks the cure to death with a pilgrimage to Mayan civilization where the pyramid of life can be found and brought back to his queen.  In today's time, that same conquistador is scientist, Tommy (Hugh Jackman), seeking a cure for his terminally ill wife, Izzi (Rachel Weisz), through an experimental rhesus monkey.  The future looks good if only the past times can be linked together in one healing swoop. A plethora of myths connect the story and time differential. The book 'The Fountain' and an eaten lotus make portals to each place and time.Philosophically, there are no enemies in the movie but death.  In medieval times, Franciscan friar, Fr. Avila, lives in a time where he states, ""Bodies are prisons for our souls.""  In today's time, Tommy says ""Death is a disease, and there's a cure, and I will find it.""  Nice stuff.  Who can argue with the idea that death robs us of loved ones, ruins our plans, and creates muddying mystery beyond our imagination?  The movie tries to construct archetypes that pull for our desire to have everlasting life on earth.  Meaningful, the movie is great escapist fare that is cathartic--even if it has to take itself seriously enough to work.`The Fountain' demonstrates effectiveness in ways that Shymalan`s `Lady in the Water` failed to accomplish.  Each scene is shot with easily pleasing panoramic views, and Darren Aronofsky's direction gives the film an essential urgency.  Handled with good, performances by Jackman and Weisz, and an excellent performance by Ellen Burstyn as Tommy's lab supervisor, 'The Fountain' takes the edge off what could have been a disasterous fairy tale gone too fluffy and soft in the head."	3.0	Restoring Eden	2007-05-16	6	1	5
B00005JPAR	The Fountain (Widescreen Edition)	A1G8ICG5K2WVUO	6Shooter	Interesting at first ! Then gets too far fetched into a freeky fiction kid of flick . I give 2 stars due to its off the wall path of strangeness.	2.0	The Fountain	2013-02-10	2	0	2
B00005JPAR	The Fountain (Widescreen Edition)	A3S50DHSAUT0X4	"7SFCW4 ""rfc2307"""	Other than &#34;the Prestige&#34; probably Hugh Jackman's best movie yet.  The story teller or who ever edited the movie could give the viewer a wee bit more to go on in places to make plot comprehension easier, but, after watching it twice, I was satisfied that I had put the pieces together, and enjoyed it each and every time.  Highly recommended.	5.0	Thought provoking, visually intriguing movie	2012-12-25	0	0	0
B00005JPAR	The Fountain (Widescreen Edition)	A2TOTFZW2UZG3O	AA	I wanted to give this 2 stars, but it was so incredibly slow moving and the plot was borderline incoherent at times. This type of storyline is very challenging to create a movie for, but if you dare to try, be prepared for criticism. The movie has some fantastic visuals... and some &#34;B movie moments&#34; (floating meditating yoga man felt like a comedy). It had some great acting, very powerful, but seemingly endless uncomfortable scenes adding little to the plot. In the end, expect a slow moving &#34;yawn&#34; movie with very little reward...	1.0	Requiem for a Movie...	2013-11-14	8	4	4
B00005JPAR	The Fountain (Widescreen Edition)	ASOWNW5TWW6RI	Aaron K Gill	This movie had a great idea behind it, but execution was a little sporadic. The story line was nice, but I had trouble following it. Great actors and great cinematic scenes, but that's about it.	1.0	To hard to follow	2013-10-22	6	2	4
B00005JPAR	The Fountain (Widescreen Edition)	A35R8PJSEURHHF	Aaron Merkel	By the end of the movie you can pretty much figure out what is going on or be able to tell what the filmmaker is trying to convey to the audience, but until then the movie is just a jumbled mess with three storylines...and each story itself jumping around different time periods, with many scenes being played 3-4 times over again.  It's hard to tell what is real and what may be fiction and is very confusing, very boring....but is visually appealing.	3.0	Great Idea gone bad?	2007-05-29	4	2	2
B00005JPAR	The Fountain (Widescreen Edition)	A36SL9UBVGR8DM	Aaron Nixon	This movie explores a complicated emotion in a very complicated way, and it pretty much hits the nail on the head, those who have experienced what this movie portrays in their personal lives will find this movie bringing that feeling back.Though we don't want to feel it again, this movie will help you remember and may even help you understand these sorts of things even better.Needless to say it is absolutely beautiful, perhaps mildly complicated, but the complex parts of the movie are required for the type of thing the movie is helping us experience, I can say that this movie brings to light Hugh Jackman's great skills as an actor also, he seems to understand this role better than any other role I've seen him play.This movie is a must for anybody ready to understand something that is highly complex, and those of us that have an understanding of it may understand ourselves better with this movie also.It's a beautiful movie, if you're wondering if you should buy this movie, buy it. Like most of Aronofsky's movies, there is no regret in purchasing this work of art.	5.0	One of My Favorite Movies	2008-12-24	0	0	0
