asin	title	reviewer_id	reviewer_name	review_text	rating	summary	review_date	total_votes	helpful_votes	unhelpful_votes
B00005JKCH	Spider-Man (Widescreen Special Edition)	A2J9Z35ZLH9EW3	"""0phylus0"""	i've never seen a better superhero movie like this one for a long time. he goes to the museum with his classmates, he gets bitten by a spider that excaped from it's container, and bites him on the hand. later on he goes home and faints. then he wakes up the next morning and he is way stronger than he was and that he didn't need to wear his glasses. then he meets his best friend's dad who turns out to be the evil nemesis, the green goblin. i just love the story line. i don't know why some people hate this movie. what is there to hate? the only thing to hate is some of the actors they put in. like that guy who does the newspaper pics. they could've gotten somebody better.	5.0	an awesome superhero movie (the best, too)	2004-06-09	2	0	2
B00005JKCH	Spider-Man (Widescreen Special Edition)	A155X6KYOPQEZ5	"#1 Cardinal Fan ""Afe"""	"Tobey McGuire stars as an ordinary Peter Parker who happens to be a high school nerd. He also happens to have a major crush on a classmate Mary Jane. One day on a field trip his class goes to a laboratory with genetic engineered ""superspiders"". As he's taking photographs of Mary Jane a ""superspider"" slides down the ceiling and bites Peter. He starts to feel sick and then goes to sleep. He doesn't wake up the same man he was when he fell asleep. From then on he becomes Spider-Man. The web-slinging life saving Spider-Man. Unfortunately, as always, there's a villain in town. There's where the Green Goblin comes in. Then Spiderman has to fight a battle between good and evil.I have never seen any of the Spider-Man comics. In fact, I'm not even a big fan of the cartoons. However, after just seeing the first movie, I wanted more and more of Spiderman. The Spiderman costume for is classic. His abilities are even better:clinging to walls, spraying webs of string from his hand, better jumping capabilities, more strength, faster reflexes, and the special Spidey Sense--which allows Peter to forsee things that are coming at him or coming for him.All of the scenes take place in New York City. During the film, there's a lot of good animation. Spider-Man swinging from building to building requires effects. I was very impressed with all of the effects. If you have seen the comics or just want to tryout a superhero film, I recommend Spider-Man."	5.0	"""And now...the amazing SPIDER-MAN!!!"""	2008-07-23	3	3	0
B00005JKCH	Spider-Man (Widescreen Special Edition)	A2Q4NN103KKTUG	"2crowded ""crowded2"""	For it's entertainment value alone, movie enthusiasts who don't necessarily consider themselves Spider-Man fans, may actually enjoy the movie more than the hardcore Spider-Man fan.The movie is a fairly good adaption of the classic comic. But, there are some innacuracies and a couple of things I would have liked to see. Hardcore Spider-Man fans will first notice technical issues such as the organic web shooters that are inconsistant with Peter Parker's hand made web shooters from the original comics. That seemed to be such a big issue before the movie ever even came out, and such a departure may not be easily overlooked by an original fan. However, I think for this movie it worked pretty well and it may have actually helped tell the story a little better. And, while I realize that there was just too much to include in a 2 hour film, I still would have liked to have seen (or at least had some mention of) more of Spider-Man's many villians. There was absolutely no mention of some of the more infamous bad guys such as Doc Ock, Venom, etc. Of course, the movie ends leaving you with the impression that there is more to come, so perhaps there's a sequel in the works with more of the classic villians for Spidey to battle.In the genre of super hero movies, I think that Spider-Man is one of the better ones out there, if not the best. One reason is Green Goblin's tough guy factor. He seems to be a much stronger adversary than some of the other goofy, wise-cracking super hero villians, such as Superman's Lex Luther, or Batman's Joker or Penguin.Included on the DVD are notes and commentary by Spider-Man creator Stan Lee and many of the other writers and artists, along with background and history of the comic franchise. Overall, with all the extras included, I'd say this DVD is a must have for Spider-Man fans, and a good buy for the regular movie-goer looking for some entertainment value. The DVD extras alone will keep the Spider-Man fans busy, and will introduce many other viewers to the world of Spider-Man comics.	4.0	Good adaptation of the classic comic	2003-01-24	2	2	0
B00005JKCH	Spider-Man (Widescreen Special Edition)	A1EPTOYTJ1K2ZM	Aaron L.	Spiderman was quite possibly the movie of the summer. This web-slinger sure knows how to give people a good time. The movie follows around the at first dorky Peter Parker as he realizes that, after being bitten by a radioactive spider, he has spider-like abilites. This is a great dvd and a good piece for any dvd collection.	5.0	Spiderman is great!	2003-01-06	1	1	0
B00005JKCH	Spider-Man (Widescreen Special Edition)	A3L9SQXSX6I6OH	"""aberfitchgurl206"""	This is the best movie I've ever seen in my entire life! Tobey Maguire is soooo hot! I thought this was going to be a bad movie but I was SO surprised. I've seen it 6 times and each time it gets better and better. I DEFINITLY reccomend this to ANYONE. I have seen this with about 50 different people, all types and ages. Every single one of them said that they absolutly loved this movie and couldnt stop talking about it. Everyone who thought they wouldnt like it loved it. So see it!...	5.0	I swear to God- this is the BEST MOVIE EVER!	2002-09-08	6	0	6
B00005JKCH	Spider-Man (Widescreen Special Edition)	A32JKNQ6BABMQ2	"abe ""starman"""	"dont get me wrong,i l0ved this movie,but i noticed a LOT of errors from the comic book.89 to be exact.there were 30 alone pertaining to the time period in which the comic was set and the modern day movie complete with "" julia roberts in a thong.""[as jjj put it}.most of the weopons and special powers were wrong also.the green goblins entire character from his costume right down to his mental problems were all messed up too.although mary jane was a hottie,she wasnt around until later because pete was with a blonde named gwen stacey who was killed during the brooklyn bridge scene. otherwise,the movie was excellent.it would have gotten more stars if not for the total abandonment of the comic book story.there are movies out there like sleepy hollow,which are excellent and people get fired up about a few minor changes and then this but now no one cares.ya got me.of the recently released mARVEL onslaught,i think nearly all of them except the first x-men were better than this one.another point that needs made is that there are a plethora of good characters/villians spidey spent a lot of time battling that could be a movie including.............hobgoblin,demogoblin,kraven the hunter-who buried him one time for weeks,the lizard,carnage,venom,the sandman,the rhino,electro,the shocker,the puma,the kingpin-yes the black guy whose really white from the daredevil movie,and many many more.hes been in teams,gang wars,fought aliens,battled symbiotes,had extreme cosmic powers,had villians form teams of 6 vand attack him that way.they say trilogy,i say never stop!"	3.0	keeping it real?	2004-07-06	9	2	7
B00005JKCH	Spider-Man (Widescreen Special Edition)	A3NT28K113P007	A. Blackwell	Spider-Man is a good movie, and the special effects and all are pretty cool eye candy. The one big thing that most people will hate about this movie is how predictable it is. You can always guess what's going to happen next. But besides, that, it's amazing to see everyones favourite web-swinger swinging around and beating up the bad guys. If you liked X-Men, you'll like this one. It's a good buy.	5.0	A pretty cool movie	2002-11-09	0	0	0
B00005JKCH	Spider-Man (Widescreen Special Edition)	A1ZA6XCAR2UTA2	Abraham Estrada	I have not seen the movie yet. The movie comes out in May in the USA. But in Puerto Rico where I live, The movies usually arrive here 2 or 3 weeks later. All that I have heard about Spider-Man is excellent. Even though I am a Batman & Superman fan all my life, the only Marvel character that I always liked was Spider-Man. If the movie is faithful to the original storyline, it should be a smash. Anytime you alter the original storyline, it suffers. Hope this review helps.	4.0	Have not seen the movie yet	2002-04-22	19	0	19
B00005JKCH	Spider-Man (Widescreen Special Edition)	A1IEIWUCTWZ59M	A. Brown	This movie was simply perfect from start to finish. I seems like you're only in the theatre for half an hour because it is so entertaining that time flies by so fast! People were so pleased with the movie that they actually applauded at the end. I can't remember the last time a movie that was hyped this much actually surpassed the hype, but Spiderman certainly does just that.	5.0	Awesome for all  ages...	2002-05-06	0	0	0
B00005JKCH	Spider-Man (Widescreen Special Edition)	A3DGB4HN3QCGAL	A. Burchfield	I'm not so wowed by this movie as some people seemed to be but I did think it was pretty good. The plot seems to do a good job of following what I remember of the comic book plot line, the dialog is comic book in nature but all right( after all it is a comic book not real life) and the special effects seem to do all right by me. Some complain that some of the action scenes don't look right but considering that a man is being portrayed swinging on a strand of web (the spider characteristics are the biggest variance from the historical plotline)I think they were well done.I got finished with the movie wanting something more, maybe the next one will do an even better job.The extra's should be a lot of fun to see, if I get it they will be the reason.	3.0	Lot of fun to watch, seems faithfully done, buy for extras	2003-02-07	0	0	0
