asin	title	reviewer_id	reviewer_name	review_text	rating	summary	review_date	total_votes	helpful_votes	unhelpful_votes
B00005JMEW	Kill Bill, Vol. 1	A2TW4CW1BTLCR0	"14-Year-Old ""j7r89320dude7"""	This movie was just about the coolest samurai movie I've seen ever! This movie includes everything you see in a samurai movie: plenty of blood, fighting all the time, and great music!Another great movie made by Quentin Tarantino!Warning: I'm 14 and I would recommend this movie only to people who can endure body parts coming off and buckets of blood.	4.0	Great Action Flick!	2004-08-24	8	3	5
B00005JMEW	Kill Bill, Vol. 1	A3LNC6044XSWVN	47FOX	Actually there are two subtitles, full english captioning and just the translated subtitles, the modes are Subtitle Off, Engligh 1, and English 2.And the aspect ratio is actually letterboxed in 2.35:1 instead of the standard PSP widescreen, so I don't know what is being misprepresented. I've heard more people complain that it is in its original widescreen and not formatted to fill the PSP screen (Spider-Man 2 for example actually was cropped from 2.35:1 down to the PSP's screen size).This is a great UMD, it has great looking animated menus, it actually HAS a scene selection menu, and it has extras too, a Making Of video and music videos. Compared to the rest of the UMD pack this disc is a feature packed jewel.	5.0	There are three subtitle modes	2005-05-04	20	17	3
B00005JMEW	Kill Bill, Vol. 1	ARFA31P6NNWUR	"""5u5hi"""	"While I'm no film critic, I found ""Kill Bill"" absolutely clever and brilliant.  It's one of those films that need to be watched several times to ""get"" everything.  Sure, the violence and gore might be a turn off, but the gore for one thing wasn't meant to be realistic.  The gore is simply a parody, meant to be comical.  Note the crazy stream of blood that appears when body parts are cut off.  In this way, the film reminded me of the schizophrenic comics people will sometimes read on the subway trains in Japan.  ""Kill Bill"" is also a highly stylized type of film, kind of like the Hong Kong kung foo style?  I'm not exactly sure though.  Regardless, I found this film a breath of fresh air from the regular Hollywood fare.  Although the film might not exactly seem like a brainteaser, ""Kill Bill"" does have some interesting dialogue - for example, Oren-ishi's schoolgirl bodyguard who ""penetrates"" the unwitting male guest.  Clearly this film is a revenge film, but I'm interested to see what happens in Vol. 2 especially as we begin to realize that the premise for revenge begins to unravel as the ""Bride's"" child is not dead, but actually alive.  Gore and violence aside, I would recommend this film to anyone who is a mature and responsible adult."	5.0	Avant Garde!	2003-11-01	6	3	3
B00005JMEW	Kill Bill, Vol. 1	A36UBVEFTZ6JGL	Aaron L. Molock	I could watch this movie again and again. Love the action and the story. RIP David Carradine. A lot of combat hours were put in.	5.0	Classic	2014-05-01	0	0	0
B00005JMEW	Kill Bill, Vol. 1	A1RNLPUDOD5ZNG	A. Banaag	This is one of Tarantino's best!!!!!!!!!!This is the story of *bleep* AKA 'The Bride'. After the massacre at her wedding four years earlier in Texas, The Bride seeks revenge on her ex allies responsible for the murders of 9 innocent people in Texas, including her unborn child, or at least she thinks so.She creates a 'Death List 5', a list containing all the people she has to kill: O-Ren, Vernita Green, Budd, Elle Driver and Bill.The movie starts of with a bang -literally- as The Bride and Vernita Green have a knife fight, and ends in a blood bath.In addition to the great acting, Tarantino managed to capture a 70's-like aspect to this flick, with the catchy and intense music, awesome special effects, humor, and setting.If you loved 'Resivior Dogs' and 'Pulp Fiction', you'll absolutley love 'KILL BILL Vol. 1'.	5.0	&quot;Wiggle your big toe.&quot;	2004-07-12	2	0	2
B00005JMEW	Kill Bill, Vol. 1	A33VA0OS0F65QO	"A. Battista ""abattist"""	Even though the postmodern era has ended with september 11th, this movie persists in the motif. It falls in the mindless genre of Japanese action film, and oddly enough, the protagonist weilds a sword while on the airplane. Kill Bill is nuanced and subtle!	2.0	A Postmodern Pootie Tang	2004-04-28	12	0	12
B00005JMEW	Kill Bill, Vol. 1	A2YS56A5OLOWI9	Abby Haun	"This movie is simply amazing. I am 16 and have never seen Tarantino's work, and now I want to rent everything he's ever done. Uma Thurman's portrayal of ""The Bride"" is flawless. During the scene where she wakes up from the hospital bed, you can feel her pain and it literally hurt my heart! This movie is not for everyone. It is not some action flick where you can just zone out and watch explotions. The person I went to see this which left because it was ""too weird and didn't make any sense"". She probably felt this way because the movie proceeds somewhat out of order. I never felt lost, however. The violence in this movie makes any graphic war film look like Mary Poppins, but if you're like me and not really affected by blood then you'll be fine. This is the only movie I have ever been to where the audience applauded at the end. It was well deserved."	5.0	Phenomenal	2003-10-11	3	2	1
B00005JMEW	Kill Bill, Vol. 1	A32JKNQ6BABMQ2	"abe ""starman"""	this is a pretty good film.a chick goes to get married and someone comes and wastes everyone in the joint.she is left for dead.she comes out of her coma and goes to exact revenge.this is far too violent for children.quenten tarentino directs it,so its good but unrelenting and quite violent.it is tarentinos 2nd best film.there are 3 basic types who will enjoy this one.they would be action fans,horror fans and martial arts fan.there is one very messed up theme in which the bride loses her baby.they didnt have to put that in there.wasnt her husband and the entire wedding parties deaths adequete reason to seek revenge.so dead babies=not entertaining.hollywood take note!uma thurman stars.shes alright,but theres this jap chick in a school girl unirorm.ooh la la!it is good despite the baby thing.that knocked it back to 3 stars from what could have been a 4.	3.0	pretty good	2004-07-15	2	0	2
B00005JMEW	Kill Bill, Vol. 1	A20XFUO582WJZ3	"A. Breitweg ""wuxia84"""	Honestly after seeing this movie I wanted to kill Bill and the rest of the cast, basically everyone involved in creating this movie. I felt like I wasted an hour and a half of my life watching this. The martial arts sequences are unrealistic. As much as I like Uma Thurman and David Carradine they could not bring the movie to a decent watchable standard. As much as I, being a woman, like the idea of women warriors, at least have the woman doing actual martial arts, and getting it right. Since when does Chinese Wushu involve a khatana or Samarai sword? I guessI thought somehow this would have some sort of redeeming quality. It may be a good movie if you enjoy severed limbs and fake blood, but to cloak it under any sort of martial arts is degrading to the art itself. The second movie was a little better plot wise, but still not worth the money it costs to rent or watch it at the theater. Go watch a Jet Li or Jackie Chan if you like martial arts, don't waste your time on this.If you are a fan of Tarantino this is the movie for you, it follows in the same vein as his other movies.IE Pulp Fiction, Resevoir dogs, ect. It may be watchable for the cimematic quality, or the dry spagetthi western humor. But if you are a martial arts purist, don't see this it will only disappoint.	1.0	Kill Bill (and the entire cast and crew that made this film)	2004-11-27	22	4	18
B00005JMEW	Kill Bill, Vol. 1	A288U2D5LA45XV	abunaiyo	"First off, I do realize that this is simply entertainment, but my gut reaction to the rampant violence and gore was repulsion.  The glorification and ""coolness"" of vengeance and killing is disturbing, to say the least.  There is already too much vengeange-fueled terrorism and violence going on in the real world; as a result, I was unable to celebrate with Thurman's character as she systematically dispatched her foes.I enjoy watching martial art movies, such as ""Hero"" and ""Crouching Tiger, Hidden Dragon"" because the carefully crafted fight sequences help to propel and illustrate the well written story.  That was not the case with ""Kill Bill"", where the fighting was the major focus, and the story was secondary.  What was the relationship between the sword maker Hattori and his disgruntled apprentice?  How did the bride (Thurman) achieve her level of fighting expertise?  These are but a few of the things that could have helped with the plot and character development.I agree with the other reviewers who expressed surprise at the number of rave reviews by professional critics.  Tarantino may be paying homage to his favorite directors, but I still can't understand how he has become so well respected and revered.One last thing:  for those of you who know who Uma Thurman's father is, I wonder what he think's of his daughter's choice of acting roles, especially in the ""Kill Bill"" series."	2.0	Glorification of senseless violence	2005-01-11	12	6	6
