asin	title	reviewer_id	reviewer_name	review_text	rating	summary	review_date	total_votes	helpful_votes	unhelpful_votes
B00000K3AM	Saving Private Ryan [VHS]	A1YLT08OZK81SF	22	Whoever said you need to rent Full Metal Jacket is right. Private Ryan was great technically, great cinematography, but the plot w/ tom hanks and matt damon was a joke! Don't get me wrong, they're great actors- but you just  can't stick them in a movie like this!  Please, just get Kubrick's Full  metal Jacket- and while you're at it, get the Stanley Kubrick Collection!  And if you want a great commentary- check out Brazil!	2.0	FULL METAL JACKET!	2000-01-02	6	4	2
B00000K3AM	Saving Private Ryan [VHS]	A1166FE81ADOUR	50s sci-fi Fan	"Saving Private Ryan hit me so hard that I could not move for ten minutes after the credits rolled. James Francis Ryan had a wake up call that no 19 year old should have. At his age he should still have had time to be the know-all smart Alec kid that was his prerogative. Instead he stood on a bridge in France with Capt. John Miller telling him, ""James, earn this...earn it,"" with his dying breathe. Be worthy of my death and the deaths of my men to save your life; words that were to haunt and change the rest of his life.And I liked the way Spielberg didn't let us off the hook with the Normandy landing, there were no quick cuts and compressed action shots. We had to ride all the way into beach with Miller and his men. I found the everyday ""normality"" of the sound of the landing craft engine almost maddening as I watched so many the men ride to death. I had a bizarre reaction to the long opening scene on the beach as the men finally took out the machine guns; I knew intellectually that I was watching a movie, but in the pit of my stomach I had a queasy feeling that I was watching CNN live and I just had to sit and watch helplessly.Spielberg uses his effective form of putting ordinary men into extra-ordinary situations with this film too. Captain Miller, a high school English teacher from Pennsylvania is given a tough assignment in the Rangers, who are given the tough assignments in the army.I found the only flaw in the dialogue was when Ryan asks, ""Why me, why should I be saved?"" Miller starts on some talk about that was too dull for me. The point was that it had nothing to do with James...it was all about Sean, Peter and Daniel; his three dead brothers and the nation's refusal to ask more of one family than it humanely should - that is it would not obliterate a family by wiping out its bloodline.For me, this it the best war movie since Lewis Milestone's ""All Quiet On the Western Front."""	5.0	The best war move for seventy years	2007-05-31	2	2	0
B00000K3AM	Saving Private Ryan [VHS]	A1BSTVP3MCRBFU	5 spot	Loved the movie.  I'm always amazed though about our USA strategy at Normandy.  Seems like there should've been a better way to attack.	5.0	Loved the movie	2014-07-01	0	0	0
B00000K3AM	Saving Private Ryan [VHS]	A1K6PUNFAJCUHY	74th Colonel	Best motion picture ever made. Realistic, patriotic, and inspiring. I only wish all movies wew as good as Saving Private Ryan.	5.0	Awesome!	2014-02-10	0	0	0
B00000K3AM	Saving Private Ryan [VHS]	A19XY14J27WCOG	Aaron	This movie reminds viewers that war is a terribly frightning thing.  The Speilbergian touch (Upham) is enough to make me want to re-edit the movie, though.  It's loosly based on historical events, but each of the characters are so distincly written-in to the story that it watches more like PROPAGANDA than a homage to the fallen.	4.0	Refreshing	2003-09-30	4	2	2
B00000K3AM	Saving Private Ryan [VHS]	A25TM6Q7ROIR0Y	ABC317	This is a wonderful movie!!  The cinematography is awesome!  The actors are perfect for their roles!!  This movie is a must have!!	5.0	A Great Movie!!  Awesome story & directing!	2012-11-15	0	0	0
B00000K3AM	Saving Private Ryan [VHS]	A2KK0YGK535IN2	"A. Boyer ""consumer"""	Saving Private Ryan is a very well made movie, but is somewhat 'hollywoodized'. Spielburg is not one to make beauiful movies, but he puts quite a bit of depth into Saving Private Ryan. I would not call it the best war movie of all time, if you think it is please see The Thin Red Line, but it is definatly one of the the best. I won't forget to mention it is one of the more graphic war movies. I've been known to have a 'different' taste in movies but I think everyone can agree that this is a very well made movie that deserves credit.(although I'm still sour with Spielburg because of A.I.!  why did Kubrick have to die?!?!!?!!)	4.0	Great Movie, awesome acting	2002-07-09	3	1	2
B00000K3AM	Saving Private Ryan [VHS]	A3GVX0FTK3P053	a Canadian Viewer	You seem to forget Monty's debacle called &quot;Market Garden&quot;. Because of Monty's indecision in taking the port or Anthwerp and it's ajacent estuary in July 44, thousands of Canadian and Brittish soldiers lost their lives during the campaign. Saving Private Ryan isn't meant as a reflexion on the entire war, but just a snapshot of it.	5.0	re: All-American Entertainment	2004-06-07	2	0	2
B00000K3AM	Saving Private Ryan [VHS]	A2TQST4IPVA0EC	ACAR	Is this the best WWII movie ever made? Certainly a classic if not the definitive movie. Great performances and direction.	5.0	definitive WWII movie?	2012-12-01	0	0	0
B00000K3AM	Saving Private Ryan [VHS]	A2XUUUG3ZTVC5C	Ace	The best movie of the year! Captain Miller{Tom Hanks} and 7 other soldiers try to find Private Ryan. Very heart warming in it's own right. Great Action and a great follow up story too. Make sure you see this movie you  don't want to miss out!	5.0	Spielberg does it once again!	2000-01-02	3	2	1
B00000K3AM	Saving Private Ryan [VHS]	A2J7FTKQCWQY7E	a Chef	This is film I enjoy watching over and over again.  The blu ray release is very enjoyable and of high quality.	5.0	Classic Film	2013-01-24	0	0	0
B00000K3AM	Saving Private Ryan [VHS]	A169II3KWQLHY4	acn	Another perfect gift for my dad.  The price was right, shipping time superb and I am very pleased with this purchase.	4.0	Wonderful gift~	2014-01-20	0	0	0
B00000K3AM	Saving Private Ryan [VHS]	A1IUKCH5SSWUFD	actiondude	This is not 'just anoter war movie' as some previous reviewers have called it nor is it 'just another Spielberg movie'The film opens with a WWII  vet along with his family visiting one of the U.S. D-Day cemetaries in  France.  It then moves to the invasion day itself in one of the many  landing crafts transporting a few of the many GI's that served on that day  and follows one Capt. Miller and his squad from their day on the beach  through their 'politically correct' orders of locating and extracting Pvt.  Ryan, who's mother will be notified of the deaths of three out of four sons  all on the same day.  Ryan's three older brothers, all serving in the U.S.  Army were killed in action the previous week and the Army is trying to  avoid the publicity of getting a whole family killed.The film is a  stark, graphic and brutal portrayal of landing on the beach and surviving  the next hours only to be givin the Herculean task of locating a single GI  who's unit is out of contact 'somewhere out there' in an area dominated by  the Wehrmacht and returning him safely to an Allied-controlled zone.  The  portrayal of the characters in the squad are complex and diverse.I am no  fan of Mr. Spielberg's work however this movie stands alone for several  reasons:First, being an amature WWII historian of the European theater,  I found this film to be so remarkably consistent with accounts I have read  from numerous airborne and amphibious assault GI's as well as pilots who  were involved in the June 6, 1944 D-Day invasion which is the largest  amphibious assault in military history.  The fact that many, many WWII vets  who served on D-Day who saw the movie and were moved to deep emotion is  anoter testimony to it's authenticity.Second, It is presented in such a  way that the average moviegoer can grasp some of the unbelievable,  superhuman tasks and actions that the rank and file GI's were called upon  to do and did without regard for their own lives.  I have always been eager  to talk to surviving WWII vets but now I make it a special task to shake  their hand and tell them 'thank you' for the job done so selflessly by so  many.Third it is an important work because it highlights only one of the  many, many stories of a handful of average guys thrown together doing the  impossible on D-Day and the weeks afterwards.Several other reviewers  have taken great pains to point out the film's shortcommings but I believe  that these points, most of them correct, are not the truth and only point  to the validity of the movie as a seperate entity from the screenwriters,  director, and actors. By itself, examining it as a whole, it is a character  study and human conflict all rolled into one and portrayed in vivid,  engrossing detail.Incidentily, Hanks and several others spent several  weeks in a condensed bootcamp lead by real U.S. military Drill Instructors,  living in the field, eating K-rations, and being exposed to the realities  of a GI's life.  All this brings about excellent performances from the  actors who's names are both large and small.	5.0	Not just a movie, a film.	2000-08-14	4	2	2
B00000K3AM	Saving Private Ryan [VHS]	A24G0WYP655MLV	A Customer	First, let me say that Spielberg did an outstanding job and this is an important film with great acting.  It is up there among great war films, but ones such as Das Boot, Apocalypse Now, Catch-22, and Full Metal Jacket  still stand out as the tops.  I urge you to check those out first before or  in addition to Saving Private Ryan.I would say that Saving Private  Ryan had impeccable and more realism in the D-Day and battle scenes.  Yet  in a way it detracted from the real suspense and horror of war by just  handing the viewer graphical depictions -- limbs on a silver platter, if  you will.  The other movies I mentioned show the real face of war -- it's  atrocities and absurdities.  While the plot of Saving Private Ryan dances  around those things also, I believe it gets buried in the audio and video  technological wizardry.  It becomes a case of &quot;less is more&quot; in  my opinion.	4.0	A Great Film But Not the Best War Film	2000-06-21	2	2	0
